  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      302603.78      170.68445  0.00056405259      886.44217      1.0344     -1
    25      0           0         133   Coal      1     -1      279070.27      129.66989  0.00046464961      1076.0797      1.0402     -1
    25      1         133       166.2   Coal      0     -1       158213.5      28.485205  0.00018004282      2777.1171      1.1058     -1
    25      1         133       166.2   Coal      1     -1      146880.64   0.0011264302  7.6690172e-09       65197402      1.1231     -1
    25      2       166.2      207.68   Coal      0     -1      247723.39      29.180476  0.00011779459       4244.677      1.1934     -1
    25      2       166.2      207.68   Coal      1     -1      228626.95      10.436325  4.5647834e-05      10953.422      1.2255     -1
    25      3      207.68      259.53   Coal      0     -1      379611.26      42.732182  0.00011256827      4441.7491      1.2236     -1
    25      3      207.68      259.53   Coal      1     -1      359851.51      3.3598482  9.3367627e-06      53551.752       1.261     -1
    25      4      259.53      324.31   Coal      0     -1      597691.43      30.872718  5.1653273e-05      9679.9288      1.4032     -1
    25      4      259.53      324.31   Coal      1     -1      568729.59      18.902222  3.3235869e-05      15043.988       1.463     -1
    25      5      324.31      405.26   Coal      0     -1      919775.48      148.39903  0.00016134267      3098.9942      1.4801     -1
    25      5      324.31      405.26   Coal      1     -1      895328.22      11.063601  1.2357033e-05      40462.786      1.5466     -1
    25      6      405.26      506.42   Coal      0     -1      1396991.5      171.06525   0.0001224526      4083.2125      1.5977     -1
    25      6      405.26      506.42   Coal      1     -1      1390213.6      113.16059  8.1397987e-05       6142.658      1.6619     -1
    25      7      506.42      632.82   Coal      0     -1      2119364.4      412.35802  0.00019456683      2569.8111       1.809     -1
    25      7      506.42      632.82   Coal      1     -1      2129096.6      261.79108  0.00012295876      4066.4041      1.8894     -1
    25      8      632.82      790.79   Coal      0     -1      3102408.4      889.19862  0.00028661559      1744.4969      1.9643     -1
    25      8      632.82      790.79   Coal      1     -1      3248178.7      269.15421  8.2863118e-05      6034.0476      2.0986     -1
    25      9      790.79      988.18   Coal      0     -1        4427188      1299.2265   0.0002934654      1703.7783      2.2236     -1
    25      9      790.79      988.18   Coal      1     -1      4886237.4       564.3219  0.00011549212      4329.2998      2.4155     -1
    25     10      988.18      1234.8   Coal      0     -1      6456277.8      1405.1061  0.00021763408      2297.4343      2.4426     -1
    25     10      988.18      1234.8   Coal      1     -1      7320468.3       336.3104  4.5941104e-05        10883.5      2.6888     -1
    25     11      1234.8      1543.1   Coal      0     -1        9690967        2182.27  0.00022518599      2220.3868      2.7931     -1
    25     11      1234.8      1543.1   Coal      1     -1       10761017      332.70977   3.091806e-05      16171.778       3.166     -1
    25     12      1543.1      1928.2   Coal      0     -1       14650497        2730.49  0.00018637524      2682.7598      3.1526     -1
    25     12      1543.1      1928.2   Coal      1     -1       15449030      391.01427  2.5309956e-05      19755.072      3.6127     -1
    25     13      1928.2      2409.6   Coal      0     -1       23235243        2812.45  0.00012104242      4130.7833      3.7234     -1
    25     13      1928.2      2409.6   Coal      1     -1       21523741      641.24018  2.9792227e-05      16782.901      4.3659     -1
    25     14      2409.6        3011   Coal      0     -1       37507132         3620.2   9.652031e-05      5180.2569      4.2404     -1
    25     14      2409.6        3011   Coal      1     -1       29744045      684.19636  2.3002802e-05      21736.483      4.9801     -1
    25     15        3011      3762.6   Coal      0     -1       58793557        4478.89  7.6179946e-05      6563.4071      4.9627     -1
    25     15        3011      3762.6   Coal      1     -1       41820661      1013.0546  2.4223783e-05      20640.872      5.8796     -1
    25     16      3762.6      4701.8   Coal      0     -1       89110481        5600.11  6.2844572e-05      7956.1367      5.9623     -1
    25     16      3762.6      4701.8   Coal      1     -1       60564210      1820.6703  3.0061818e-05      16632.394      6.9747     -1
    25     17      4701.8      5875.5   Coal      0     -1  1.2932223e+08        7867.37  6.0835405e-05      8218.8982      7.3272     -1
    25     17      4701.8      5875.5   Coal      1     -1       88596975      3426.1753   3.867147e-05      12929.428      8.4651     -1
    25     18      5875.5      7342.1   Coal      0     -1  1.8653519e+08        7682.56  4.1185579e-05      12140.172      8.7244     -1
    25     18      5875.5      7342.1   Coal      1     -1  1.3005867e+08      4328.5044  3.3281167e-05      15023.512       9.991     -1
    25     19      7342.1      9174.7   Coal      0     -1  2.7470688e+08         7521.1  2.7378637e-05      18262.414      10.826     -1
    25     19      7342.1      9174.7   Coal      1     -1  1.9369572e+08      4924.7661  2.5425271e-05      19665.474      12.324     -1
    25     20      9174.7       11465   Coal      0     -1  4.1213314e+08      7843.9627  1.9032594e-05      26270.723      12.698     -1
    25     20      9174.7       11465   Coal      1     -1  2.9264099e+08      6045.9249   2.065987e-05      24201.507      14.128     -1
    25     21       11465       14327   Coal      0     -1  1.7973173e+09       37704.32   2.097811e-05      23834.369      15.542     -1
    25     21       11465       14327   Coal      1     -1            122      7.7708704    0.063695659      7.8498285           1     -1
    25     22       14327       17903   Coal      0     -1  2.3531491e+09       44330.72  1.8838891e-05       26540.84      17.886     -1
    25     22       14327       17903   Coal      1     -1            122      7.7709324    0.063696167      7.8497659           1     -1
    25     23       17903       22372   Coal      0     -1   2.983324e+09       63424.86  2.1259796e-05       23518.57      20.763     -1
    25     23       17903       22372   Coal      1     -1            122      7.7712423    0.063698707      7.8494529           1     -1
    25     24       22372       27956   Coal      0     -1  3.5263606e+09       85230.71  2.4169596e-05      20687.148      24.463     -1
    25     24       22372       27956   Coal      1     -1            122      7.7715704    0.063701397      7.8491214           1     -1
    25     25       27956       34934   Coal      0     -1  3.8235303e+09      108227.64  2.8305684e-05      17664.297      27.136     -1
