  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      346088.34      2.0015332  5.7833014e-06      86455.809      1.0256     -1
    25      0           0         133   Coal      1     -1       314666.1      27.729691  8.8124178e-05      5673.8118      1.0238     -1
    25      1         133       166.2   Coal      0     -1      184454.73  0.00023078058  1.2511503e-09  3.9963226e+08      1.0778     -1
    25      1         133       166.2   Coal      1     -1      162555.22      1.0167147  6.2545803e-06      79941.415       1.073     -1
    25      2       166.2      207.68   Coal      0     -1      286856.89     0.71014541  2.4756087e-06      201970.53      1.1427     -1
    25      2       166.2      207.68   Coal      1     -1      254674.69      18.755783  7.3646044e-05      6789.2309      1.1398     -1
    25      3      207.68      259.53   Coal      0     -1      444299.38      2.6633189  5.9944241e-06      83410.848      1.2026     -1
    25      3      207.68      259.53   Coal      1     -1      397324.85      0.2976512  7.4913814e-07      667433.65      1.2023     -1
    25      4      259.53      324.31   Coal      0     -1      694197.51      1.0565213  1.5219318e-06      328529.82      1.2696     -1
    25      4      259.53      324.31   Coal      1     -1      616341.23      25.855688  4.1950281e-05      11918.871       1.275     -1
    25      5      324.31      405.26   Coal      0     -1      1086627.9      3.4084454  3.1367181e-06      159402.28      1.4511     -1
    25      5      324.31      405.26   Coal      1     -1      957374.36      8.6349442   9.019402e-06      55436.048      1.4621     -1
    25      6      405.26      506.42   Coal      0     -1      1694741.4       1.473653  8.6954444e-07      575013.74      1.4523     -1
    25      6      405.26      506.42   Coal      1     -1        1476526      75.520644  5.1147519e-05      9775.6452      1.4633     -1
    25      7      506.42      632.82   Coal      0     -1      2646082.1      10.073664  3.8070112e-06      131336.62      1.7633     -1
    25      7      506.42      632.82   Coal      1     -1      2284613.9      101.99221  4.4643083e-05      11199.943      1.7929     -1
    25      8      632.82      790.79   Coal      0     -1      4116784.6      304.84772  7.4049956e-05      6752.1985      1.9178     -1
    25      8      632.82      790.79   Coal      1     -1      3511720.2      88.674195  2.5250929e-05      19801.252      1.9714     -1
    25      9      790.79      988.18   Coal      0     -1      6325271.4      600.35209  9.4913253e-05      5267.9682      2.2075     -1
    25      9      790.79      988.18   Coal      1     -1      5331409.7      126.65825  2.3756991e-05      21046.436      2.3044     -1
    25     10      988.18      1234.8   Coal      0     -1      9721889.2      1489.1843  0.00015317849      3264.1659      2.3401     -1
    25     10      988.18      1234.8   Coal      1     -1      7865020.8      140.11713  1.7815227e-05      28065.879      2.4548     -1
    25     11      1234.8      1543.1   Coal      0     -1       15029972         2536.4  0.00016875613      2962.8553      2.5727     -1
    25     11      1234.8      1543.1   Coal      1     -1       11100653      122.48919  1.1034413e-05      45312.786      2.7163     -1
    25     12      1543.1      1928.2   Coal      0     -1       23278931        3703.21   0.0001590799      3143.0746      2.8605     -1
    25     12      1543.1      1928.2   Coal      1     -1       15076654       164.8978  1.0937294e-05      45715.147      3.0642     -1
    25     13      1928.2      2409.6   Coal      0     -1       37269701        4495.53  0.00012062157      4145.1955      3.2741     -1
    25     13      1928.2      2409.6   Coal      1     -1       19277431      247.23462  1.2825081e-05      38986.108       3.557     -1
    25     14      2409.6        3011   Coal      0     -1       59671749        5844.88  9.7950539e-05      5104.6171      3.6993     -1
    25     14      2409.6        3011   Coal      1     -1       24250687      422.33437  1.7415357e-05      28710.293      4.0366     -1
    25     15        3011      3762.6   Coal      0     -1       91675290        6988.76  7.6233847e-05      6558.7665      4.7675     -1
    25     15        3011      3762.6   Coal      1     -1       31439512       726.7253  2.3115031e-05      21630.946      5.3552     -1
    25     16      3762.6      4701.8   Coal      0     -1  1.3436459e+08        8684.73  6.4635556e-05      7735.6803      5.5128     -1
    25     16      3762.6      4701.8   Coal      1     -1       43760028      1436.3727  3.2823853e-05      15232.825      6.1341     -1
    25     17      4701.8      5875.5   Coal      0     -1   1.866703e+08       11067.19  5.9287364e-05      8433.5003      6.8019     -1
    25     17      4701.8      5875.5   Coal      1     -1       64872641       2456.174  3.7861477e-05      13206.035      7.5736     -1
    25     18      5875.5      7342.1   Coal      0     -1  2.5856754e+08       10589.89  4.0955992e-05      12208.226      7.6685     -1
    25     18      5875.5      7342.1   Coal      1     -1       98281079      3185.5541   3.241269e-05      15426.057      8.3873     -1
