  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      324236.16      25.187599  7.7682879e-05      6436.4246      1.0315     -1
    25      0           0         133   Coal      1     -1      307154.69      28.943277  9.4230296e-05      5306.1491      1.0324     -1
    25      1         133       166.2   Coal      0     -1      174721.26      22.263954  0.00012742556      3923.8596      1.1117     -1
    25      1         133       166.2   Coal      1     -1      161357.48      21.844851  0.00013538171      3693.2612      1.1157     -1
    25      2       166.2      207.68   Coal      0     -1      273169.11  0.00014584891  5.3391437e-10  9.3647975e+08      1.1411     -1
    25      2       166.2      207.68   Coal      1     -1      250795.88      15.189009  6.0563231e-05      8255.8343      1.1474     -1
    25      3      207.68      259.53   Coal      0     -1      433638.82      2.1215763  4.8924964e-06      102197.32      1.2561     -1
    25      3      207.68      259.53   Coal      1     -1      396442.08      17.562384  4.4300001e-05      11286.682      1.2676     -1
    25      4      259.53      324.31   Coal      0     -1      674551.95      8.4593249  1.2540657e-05      39870.318       1.296     -1
    25      4      259.53      324.31   Coal      1     -1       625145.1     0.66690236  1.0667961e-06      468693.12      1.3155     -1
    25      5      324.31      405.26   Coal      0     -1      1049499.7       41.56117  3.9600936e-05      12625.964      1.4469     -1
    25      5      324.31      405.26   Coal      1     -1      987983.18      25.592959  2.5904246e-05      19301.855      1.4749     -1
    25      6      405.26      506.42   Coal      0     -1      1607159.3      50.842488  3.1635001e-05      15805.278      1.6009     -1
    25      6      405.26      506.42   Coal      1     -1      1544541.9      59.182502  3.8317188e-05      13048.974      1.6268     -1
    25      7      506.42      632.82   Coal      0     -1        2485807      109.33523  4.3983799e-05      11367.822      1.8138     -1
    25      7      506.42      632.82   Coal      1     -1      2379005.6      109.32658  4.5954738e-05      10880.271      1.8517     -1
    25      8      632.82      790.79   Coal      0     -1      3770771.3      495.91336   0.0001315151      3801.8449      2.0321     -1
    25      8      632.82      790.79   Coal      1     -1      3651364.6      86.209392  2.3610185e-05      21177.302       2.105     -1
    25      9      790.79      988.18   Coal      0     -1      5574928.6         1212.2  0.00021743777      2299.5085      2.2498     -1
    25      9      790.79      988.18   Coal      1     -1      5586266.9      174.07872  3.1161906e-05      16045.231      2.3587     -1
    25     10      988.18      1234.8   Coal      0     -1      8043449.7        2171.36  0.00026995382      1852.1686      2.4451     -1
    25     10      988.18      1234.8   Coal      1     -1      8358057.3      152.08673  1.8196421e-05      27477.931       2.616     -1
    25     11      1234.8      1543.1   Coal      0     -1       11809377      2785.0564  0.00023583433      2120.1324      2.5323     -1
    25     11      1234.8      1543.1   Coal      1     -1       11973111      131.50502  1.0983363e-05      45523.399      2.7585     -1
    25     12      1543.1      1928.2   Coal      0     -1       18321651         3507.1  0.00019141833        2612.08      2.9207     -1
    25     12      1543.1      1928.2   Coal      1     -1       16240890      270.92999  1.6681967e-05      29972.485      3.2705     -1
    25     13      1928.2      2409.6   Coal      0     -1       29957527        4184.17  0.00013967008      3579.8649      3.6483     -1
    25     13      1928.2      2409.6   Coal      1     -1       20860587      249.35904  1.1953597e-05      41828.415      4.2376     -1
    25     14      2409.6        3011   Coal      0     -1       48603739        5116.56  0.00010527091        4749.65      3.7771     -1
    25     14      2409.6        3011   Coal      1     -1       26864478      440.71804  1.6405234e-05      30478.078      4.3032     -1
    25     15        3011      3762.6   Coal      0     -1       76010639        6164.69  8.1102989e-05      6165.0009      4.4959     -1
    25     15        3011      3762.6   Coal      1     -1       35857105      790.18594  2.2037081e-05       22689.03      5.1138     -1
    25     16      3762.6      4701.8   Coal      0     -1  1.1215898e+08         8168.3  7.2827875e-05      6865.5031      5.8088     -1
    25     16      3762.6      4701.8   Coal      1     -1       50244616      1513.0338  3.0113351e-05      16603.931      6.5833     -1
    25     17      4701.8      5875.5   Coal      0     -1  1.5753728e+08       10110.06  6.4175668e-05      7791.1149      6.6843     -1
    25     17      4701.8      5875.5   Coal      1     -1       73330316      2901.0468  3.9561357e-05      12638.596      7.5542     -1
    25     18      5875.5      7342.1   Coal      0     -1  2.2198406e+08        9354.04  4.2138342e-05      11865.678      8.0738     -1
    25     18      5875.5      7342.1   Coal      1     -1  1.0956825e+08        3351.89  3.0591801e-05      16344.249      9.0928     -1
    25     19      7342.1      9174.7   Coal      0     -1  3.2210829e+08        8671.41  2.6920791e-05      18573.005      9.5586     -1
    25     19      7342.1      9174.7   Coal      1     -1  1.6658416e+08        4048.38  2.4302311e-05      20574.175      10.591     -1
    25     20      9174.7       11465   Coal      0     -1  4.7749892e+08         9269.7  1.9413028e-05      25755.899      11.955     -1
    25     20      9174.7       11465   Coal      1     -1  2.5740445e+08        4589.58  1.7830228e-05      28042.266      13.146     -1
    25     21       11465       14327   Coal      0     -1  1.8427425e+09        37233.1  2.0205264e-05      24746.026      14.295     -1
    25     21       11465       14327   Coal      1     -1            122      7.7685182    0.063676379      7.8522053           1     -1
    25     22       14327       17903   Coal      0     -1  2.4299237e+09       43667.54  1.7970746e-05      27822.997      16.581     -1
    25     22       14327       17903   Coal      1     -1            122      7.7685802    0.063676887      7.8521426           1     -1
    25     23       17903       22372   Coal      0     -1  3.0961222e+09       63774.14  2.0598069e-05       24274.12       19.88     -1
    25     23       17903       22372   Coal      1     -1            122      7.7688902    0.063679428      7.8518293           1     -1
    25     24       22372       27956   Coal      0     -1  3.6673204e+09       86268.24  2.3523508e-05      21255.333      21.515     -1
    25     24       22372       27956   Coal      1     -1            122      7.7692184    0.063682118      7.8514977           1     -1
    25     25       27956       34934   Coal      0     -1  3.9736298e+09      111143.34   2.797023e-05      17876.149      25.514     -1
    25     25       27956       34934   Coal      1     -1            122      7.7696872    0.063685961      7.8510239           1     -1
    25     26       34934       43654   Coal      0     -1  3.9286672e+09      124214.21  3.1617392e-05      15814.081      27.585     -1
    25     26       34934       43654   Coal      1     -1            122        7.77013     0.06368959      7.8505765           1     -1
    25     27       43654       54551   Coal      0     -1  3.5274687e+09      129616.32  3.6744854e-05      13607.348      30.507     -1
    25     27       43654       54551   Coal      1     -1            122      7.7707501    0.063694673        7.84995           1     -1
    25     28       54551       68167   Coal      0     -1  2.9099416e+09      112950.87  3.8815511e-05      12881.448      32.606     -1
    25     28       54551       68167   Coal      1     -1            122      7.7711176    0.063697685      7.8495788           1     -1
    25     29       68167       85183   Coal      0     -1  2.3100773e+09       84516.76  3.6586118e-05      13666.386      32.245     -1
    25     29       68167       85183   Coal      1     -1            122      7.7711176    0.063697685      7.8495788           1     -1
    25     30       85183  1.0645e+05   Coal      0     -1  2.1899142e+09       41868.93  1.9118982e-05       26152.02      31.211     -1
    25     30       85183  1.0645e+05   Coal      1     -1            122      7.7693552    0.063683239      7.8513594           1     -1
    25     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.3184081e+09       40589.86  1.7507642e-05      28558.957      34.932     -1
    25     31  1.0645e+05  1.3302e+05   Coal      1     -1            122      7.7693552    0.063683239      7.8513594           1     -1
    25     32  1.3302e+05       1e+99   Coal      0     -1  6.2512583e+09      104088.48  1.6650804e-05      30028.579       33.25     -1
    25     32  1.3302e+05       1e+99   Coal      1     -1            122      7.7693552    0.063683239      7.8513594           1     -1
    25     -1           0       1e+99  Delay     -1     -1  2.6003261e+09              0              0              0           1     -1
    25     -1           0       1e+99   LogL     -1     -1              1      -31516403      -31516403              0           1     -1
    25      0           0         133   Migr      0      1      186887.47   0.0002713136  1.4517485e-09              0      1.0436     -1
    25      0           0         133   Migr      1      0         178032     0.11085612  6.2267525e-07              0      1.0451     -1
    25      1         133       166.2   Migr      0      1       87933.94  0.00044732164  5.0870192e-09              0       1.112     -1
