  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      351247.82     0.00012653  3.6023001e-10  1.3880021e+09      1.0302     -1
    25      0           0         133   Coal      1     -1       299390.9        40.5088  0.00013530404       3695.381      1.0272     -1
    25      1         133       166.2   Coal      0     -1      188164.83      6.4738263  3.4405082e-05      14532.737      1.0945     -1
    25      1         133       166.2   Coal      1     -1      158488.06      11.346692  7.1593356e-05      6983.8883      1.0899     -1
    25      2       166.2      207.68   Coal      0     -1      292909.04      9.7445143  3.3268056e-05      15029.432      1.1499     -1
    25      2       166.2      207.68   Coal      1     -1      248820.66       4.653463  1.8702077e-05      26734.999      1.1464     -1
    25      3      207.68      259.53   Coal      0     -1      457295.83      9.6149975  2.1025771e-05      23780.341      1.1854     -1
    25      3      207.68      259.53   Coal      1     -1      388948.11      14.263179  3.6671161e-05      13634.692      1.1895     -1
    25      4      259.53      324.31   Coal      0     -1      716848.86       48.87291  6.8177426e-05      7333.8058      1.2631     -1
    25      4      259.53      324.31   Coal      1     -1      602067.85      11.408974  1.8949648e-05      26385.714      1.2761     -1
    25      5      324.31      405.26   Coal      0     -1      1112152.9      52.940284  4.7601624e-05      10503.843      1.4506     -1
    25      5      324.31      405.26   Coal      1     -1       943423.4      5.4137742  5.7384354e-06      87131.764      1.4641     -1
    25      6      405.26      506.42   Coal      0     -1      1714149.5      285.62407  0.00016662728      3000.7091      1.5794     -1
    25      6      405.26      506.42   Coal      1     -1      1466658.5      58.106404  3.9618222e-05      12620.455      1.6093     -1
    25      7      506.42      632.82   Coal      0     -1      2584734.5      319.73344  0.00012370069      4042.0147      1.7393     -1
    25      7      506.42      632.82   Coal      1     -1      2280694.2      22.049698  9.6679765e-06      51717.131      1.7913     -1
    25      8      632.82      790.79   Coal      0     -1      3758429.8      1144.2359  0.00030444519      1642.3317      1.9481     -1
    25      8      632.82      790.79   Coal      1     -1      3518977.6      81.395003  2.3130299e-05      21616.668      2.0378     -1
    25      9      790.79      988.18   Coal      0     -1      5410346.4      1342.6608  0.00024816541      2014.7852      2.0084     -1
    25      9      790.79      988.18   Coal      1     -1      5340387.6      132.22195  2.4758869e-05      20194.784      2.1239     -1
    25     10      988.18      1234.8   Coal      0     -1      8067069.5      1813.3667   0.0002247863      2224.3348      2.3081     -1
    25     10      988.18      1234.8   Coal      1     -1      7764504.7      189.46738  2.4401734e-05      20490.347       2.497     -1
    25     11      1234.8      1543.1   Coal      0     -1       12735720      2011.4043  0.00015793409      3165.8776      2.6161     -1
    25     11      1234.8      1543.1   Coal      1     -1       10782424      175.19175    1.62479e-05      30773.208       2.865     -1
    25     12      1543.1      1928.2   Coal      0     -1       20864286      2963.5641  0.00014204005       3520.134      3.0995     -1
    25     12      1543.1      1928.2   Coal      1     -1       14300974      151.52585  1.0595492e-05      47189.881      3.4522     -1
    25     13      1928.2      2409.6   Coal      0     -1       34050022        3716.85  0.00010915852      4580.4945      3.5628     -1
    25     13      1928.2      2409.6   Coal      1     -1       18644390      222.02053  1.1908168e-05      41987.987      4.0447     -1
    25     14      2409.6        3011   Coal      0     -1       54871007        5002.32  9.1165085e-05      5484.5558      4.1346     -1
    25     14      2409.6        3011   Coal      1     -1       24226370      451.42409  1.8633583e-05      26833.271      4.7322     -1
    25     15        3011      3762.6   Coal      0     -1       83817899        6472.81  7.7224675e-05      6474.6145       4.971     -1
    25     15        3011      3762.6   Coal      1     -1       32641399        856.776   2.624814e-05      19048.969      5.7088     -1
    25     16      3762.6      4701.8   Coal      0     -1  1.2135253e+08        8252.22  6.8002042e-05      7352.7204      5.3852     -1
    25     16      3762.6      4701.8   Coal      1     -1       46811171      1422.5907  3.0389983e-05       16452.79      6.0903     -1
    25     17      4701.8      5875.5   Coal      0     -1  1.6887387e+08       10651.24  6.3072163e-05      7927.4275      7.0607     -1
    25     17      4701.8      5875.5   Coal      1     -1       68638587      2825.1238  4.1159411e-05       12147.89      7.9306     -1
    25     18      5875.5      7342.1   Coal      0     -1    2.35047e+08         9849.8  4.1905662e-05      11931.562      7.9271     -1
    25     18      5875.5      7342.1   Coal      1     -1  1.0277536e+08      3465.6758  3.3720881e-05      14827.608      8.7877     -1
    25     19      7342.1      9174.7   Coal      0     -1  3.3877636e+08        8763.55  2.5868245e-05      19328.717      9.4452     -1
    25     19      7342.1      9174.7   Coal      1     -1   1.576475e+08       3758.125  2.3838786e-05      20974.223      10.316     -1
    25     20      9174.7       11465   Coal      0     -1  5.0096096e+08         9234.9  1.8434371e-05      27123.248      12.381     -1
    25     20      9174.7       11465   Coal      1     -1  2.4646011e+08      4368.6598  1.7725626e-05      28207.749      13.274     -1
    25     21       11465       14327   Coal      0     -1  1.8495905e+09       38245.81  2.0677987e-05      24180.303       13.99     -1
    25     21       11465       14327   Coal      1     -1            120      7.7619006    0.064682505      7.7300655           1     -1
    25     22       14327       17903   Coal      0     -1   2.421707e+09       44814.24  1.8505228e-05      27019.391      16.144     -1
    25     22       14327       17903   Coal      1     -1            120      7.7619613    0.064683011       7.730005           1     -1
    25     23       17903       22372   Coal      0     -1  3.0706236e+09       64091.05  2.0872324e-05      23955.167      19.499     -1
    25     23       17903       22372   Coal      1     -1            120      7.7622653    0.064685544      7.7297023           1     -1
    25     24       22372       27956   Coal      0     -1  3.6269873e+09       86513.93  2.3852835e-05      20961.869      22.652     -1
    25     24       22372       27956   Coal      1     -1            120      7.7625878    0.064688232      7.7293811           1     -1
    25     25       27956       34934   Coal      0     -1   3.906074e+09      111540.87  2.8555749e-05      17509.609       24.31     -1
    25     25       27956       34934   Coal      1     -1            120       7.763048    0.064692067      7.7289229           1     -1
    25     26       34934       43654   Coal      0     -1  3.8467851e+09      123155.43  3.2015158e-05      15617.602      27.413     -1
    25     26       34934       43654   Coal      1     -1            120      7.7634823    0.064695686      7.7284906           1     -1
    25     27       43654       54551   Coal      0     -1  3.4560893e+09      127438.71  3.6873674e-05       13559.81      31.717     -1
    25     27       43654       54551   Coal      1     -1            120      7.7640906    0.064700755      7.7278851           1     -1
    25     28       54551       68167   Coal      0     -1  2.8537714e+09      110910.34  3.8864479e-05      12865.218      30.348     -1
    25     28       54551       68167   Coal      1     -1            120      7.7644516    0.064703763      7.7275258           1     -1
    25     29       68167       85183   Coal      0     -1  2.2759066e+09        82786.5  3.6375175e-05      13745.638      30.022     -1
    25     29       68167       85183   Coal      1     -1            120      7.7644516    0.064703763      7.7275258           1     -1
    25     30       85183  1.0645e+05   Coal      0     -1  2.1665349e+09       41638.49  1.9218934e-05      26016.011      29.658     -1
    25     30       85183  1.0645e+05   Coal      1     -1            120      7.7627216    0.064689347      7.7292479           1     -1
    25     31  1.0645e+05  1.3302e+05   Coal      0     -1  2.2942152e+09       39805.03  1.7350173e-05      28818.157      34.121     -1
    25     31  1.0645e+05  1.3302e+05   Coal      1     -1            120      7.7627216    0.064689347      7.7292479           1     -1
    25     32  1.3302e+05       1e+99   Coal      0     -1  6.1585518e+09      102719.45  1.6679157e-05      29977.535      31.683     -1
    25     32  1.3302e+05       1e+99   Coal      1     -1            120      7.7627216    0.064689347      7.7292479           1     -1
    25     -1           0       1e+99  Delay     -1     -1  2.6005456e+09              0              0              0           1     -1
    25     -1           0       1e+99   LogL     -1     -1              1      -31329417      -31329417              0           1     -1
    25      0           0         133   Migr      0      1      194782.74  0.00020937461  1.0749136e-09              0      1.0417     -1
    25      0           0         133   Migr      1      0      175980.96      56.502049   0.0003210691              0      1.0407     -1
    25      1         133       166.2   Migr      0      1       90897.23      1.0009514  1.1011902e-05              0      1.0943     -1
    25      1         133       166.2   Migr      1      0       81612.09      1.0004793   1.225896e-05              0      1.0903     -1
    25      2       166.2      207.68   Migr      0      1      141482.86  0.00029215717  2.0649651e-09              0      1.1501     -1
    25      2       166.2      207.68   Migr      1      0         127923   0.0069212269  5.4104633e-08              0      1.1467     -1
    25      3      207.68      259.53   Migr      0      1      220829.42     0.12033805  5.4493668e-07              0      1.1865     -1
    25      3      207.68      259.53   Migr      1      0      199530.23     0.19019854  9.5323168e-07              0      1.1896     -1
    25      4      259.53      324.31   Migr      0      1      346480.28      1.0002025  2.8867515e-06              0       1.264     -1
    25      4      259.53      324.31   Migr      1      0      309080.42     0.99519997  3.2198739e-06              0      1.2762     -1
    25      5      324.31      405.26   Migr      0      1      537951.11     0.94044982  1.7482069e-06              0      1.4515     -1
    25      5      324.31      405.26   Migr      1      0      484025.75   0.0002171077  4.4854577e-10              0      1.4646     -1
    25      6      405.26      506.42   Migr      0      1      833702.44      1.4710642  1.7644954e-06              0      1.5806     -1
    25      6      405.26      506.42   Migr      1      0      752430.46    0.029427571  3.9110021e-08              0      1.6101     -1
    25      7      506.42      632.82   Migr      0      1        1267234      1.5882593  1.2533275e-06              0      1.7411     -1
    25      7      506.42      632.82   Migr      1      0      1171068.4      11.527834  9.8438604e-06              0      1.7918     -1
    25      8      632.82      790.79   Migr      0      1      1874319.1      2.6939343  1.4372869e-06              0      1.9471     -1
    25      8      632.82      790.79   Migr      1      0      1812936.2      54.234055  2.9915039e-05              0      2.0394     -1
    25      9      790.79      988.18   Migr      0      1        2746732      15.318265  5.5769054e-06              0      2.0046     -1
    25      9      790.79      988.18   Migr      1      0      2780371.2      283.57533   0.0001019919              0      2.1276     -1
    25     10      988.18      1234.8   Migr      0      1      4097431.1      33.260863  8.1174919e-06              0       2.301     -1
