  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      325783.97      43.419343  0.00013327649      3751.5995      1.0285     -1
    25      0           0         133   Coal      1     -1      320614.88      41.431039  0.00012922369      3869.2595      1.0285     -1
    25      1         133       166.2   Coal      0     -1      170110.04  0.00078289686  4.6022966e-09  1.0864141e+08      1.0772     -1
    25      1         133       166.2   Coal      1     -1      171203.35      2.0085488  1.1731948e-05      42618.668      1.0787     -1
    25      2       166.2      207.68   Coal      0     -1      264971.38      13.961285  5.2689786e-05      9489.5052      1.0963     -1
    25      2       166.2      207.68   Coal      1     -1      265191.85      1.9452821  7.3353767e-06      68162.825      1.1011     -1
    25      3      207.68      259.53   Coal      0     -1      414818.54      3.5896457  8.6535324e-06      57779.873       1.178     -1
    25      3      207.68      259.53   Coal      1     -1      416613.31     0.97881611  2.3494595e-06       212814.9      1.1844     -1
    25      4      259.53      324.31   Coal      0     -1      644479.25      4.1941407  6.5077979e-06      76830.905      1.2842     -1
    25      4      259.53      324.31   Coal      1     -1      643692.16      13.584838  2.1104557e-05      23691.566       1.299     -1
    25      5      324.31      405.26   Coal      0     -1      1008018.7      0.1087692  1.0790395e-07      4633750.9      1.4484     -1
    25      5      324.31      405.26   Coal      1     -1      1004343.6       23.50185   2.340021e-05       21367.33      1.4681     -1
    25      6      405.26      506.42   Coal      0     -1      1571663.5      32.683354  2.0795388e-05      24043.792      1.6348     -1
    25      6      405.26      506.42   Coal      1     -1      1559427.8      10.831022  6.9455101e-06      71988.953      1.6565     -1
    25      7      506.42      632.82   Coal      0     -1      2457615.8      102.77339   4.181833e-05      11956.479      1.7098     -1
    25      7      506.42      632.82   Coal      1     -1      2398545.3       241.2345  0.00010057534      4971.3976      1.7355     -1
    25      8      632.82      790.79   Coal      0     -1      3783853.5      325.34734   8.598307e-05      5815.0983      1.8887     -1
    25      8      632.82      790.79   Coal      1     -1      3629375.8      326.94853  9.0083957e-05      5550.3778      1.9276     -1
    25      9      790.79      988.18   Coal      0     -1      5794135.3      652.68006  0.00011264495      4438.7255      2.0986     -1
    25      9      790.79      988.18   Coal      1     -1      5447424.3       374.5903  6.8764663e-05      7271.1765      2.1744     -1
    25     10      988.18      1234.8   Coal      0     -1      8780400.5      1306.5332  0.00014880109      3360.1904      2.4405     -1
    25     10      988.18      1234.8   Coal      1     -1      8030360.3      415.13125  5.1695221e-05      9672.0739      2.5628     -1
