  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    25      0           0         133   Coal      0     -1      331475.92      28.219028  8.5131456e-05      5873.2697      1.0292     -1
    25      0           0         133   Coal      1     -1      316718.94      14.297714  4.5143224e-05      11075.859       1.032     -1
    25      1         133       166.2   Coal      0     -1      182768.74      2.7636825  1.5121199e-05      33066.161      1.0828     -1
    25      1         133       166.2   Coal      1     -1      164474.82   0.0050585133  3.0755549e-08       16257229      1.0912     -1
    25      2       166.2      207.68   Coal      0     -1      288540.19      27.621306  9.5727758e-05      5223.1454      1.1275     -1
    25      2       166.2      207.68   Coal      1     -1      260006.53  0.00025566674  9.8330891e-10   5.084872e+08      1.1391     -1
    25      3      207.68      259.53   Coal      0     -1      445433.25      9.6765824  2.1723979e-05      23016.042      1.1985     -1
    25      3      207.68      259.53   Coal      1     -1      407780.96     0.70067958  1.7182744e-06      290989.61      1.2063     -1
    25      4      259.53      324.31   Coal      0     -1      696358.15      3.8465366  5.5237906e-06      90517.551      1.1993     -1
    25      4      259.53      324.31   Coal      1     -1      635587.94     0.11011981  1.7325661e-07      2885892.7      1.2081     -1
    25      5      324.31      405.26   Coal      0     -1      1083649.8      4.9095434  4.5305628e-06      110361.56      1.3203     -1
    25      5      324.31      405.26   Coal      1     -1      983161.78      13.478402  1.3709242e-05      36471.748       1.335     -1
    25      6      405.26      506.42   Coal      0     -1      1684169.2      24.602007    1.46078e-05      34228.289      1.4898     -1
    25      6      405.26      506.42   Coal      1     -1      1531738.9      14.895498  9.7245667e-06      51416.172      1.5052     -1
    25      7      506.42      632.82   Coal      0     -1      2659160.6      59.446954  2.2355533e-05      22365.827      1.7445     -1
    25      7      506.42      632.82   Coal      1     -1      2364873.5      45.608001  1.9285598e-05      25926.082      1.7657     -1
    25      8      632.82      790.79   Coal      0     -1      4163643.8      290.66907  6.9811225e-05       7162.172      1.8904     -1
    25      8      632.82      790.79   Coal      1     -1      3587374.4      242.75918  6.7670434e-05      7388.7512      1.9153     -1
    25      9      790.79      988.18   Coal      0     -1      6577222.8       603.8935   9.181588e-05      5445.6811      2.2461     -1
    25      9      790.79      988.18   Coal      1     -1      5213465.8      220.57515  4.2308737e-05       11817.89      2.2917     -1
    25     10      988.18      1234.8   Coal      0     -1       10603388      1392.9045  0.00013136409      3806.2153      2.4356     -1
    25     10      988.18      1234.8   Coal      1     -1      7265273.8      363.88185  5.0085083e-05      9983.0122      2.5254     -1
    25     11      1234.8      1543.1   Coal      0     -1       17103095       2231.688  0.00013048446       3831.874      2.6019     -1
    25     11      1234.8      1543.1   Coal      1     -1        9607944      406.10254  4.2267371e-05      11829.456      2.6999     -1
