time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.9677e-06	2021.19	0.0291392	20996.6
1	1.9677e-06	3.98651e-06	6184.62	169.505	22365.4
2	3.98651e-06	6.05916e-06	2031.63	2.27315	4464.61
3	6.05916e-06	8.1886e-06	1729.68	17.6227	5253.14
4	8.1886e-06	1.0378e-05	3907.67	164.915	5042.75
5	1.0378e-05	1.26309e-05	5326.34	428.381	4893.23
6	1.26309e-05	1.49511e-05	7031.75	578.182	2971.74
7	1.49511e-05	1.73427e-05	9048.11	729.613	1731.36
8	1.73427e-05	1.98102e-05	10912.3	941.235	1267.28
9	1.98102e-05	2.23586e-05	12547.6	1135.23	1253.35
10	2.23586e-05	2.49934e-05	12143.1	1125.69	1359.87
11	2.49934e-05	2.77207e-05	12143.1	1125.69	1359.87
12	2.77207e-05	3.05472e-05	10101.9	1072.39	1719.43
13	3.05472e-05	3.34804e-05	10101.9	1072.39	1719.43
14	3.34804e-05	3.65286e-05	7732.23	1092.37	1754.55
15	3.65286e-05	3.97013e-05	7732.23	1092.37	1754.55
16	3.97013e-05	4.3009e-05	5889	1150.88	1520.8
17	4.3009e-05	4.64638e-05	5889	1150.88	1520.8
18	4.64638e-05	5.00793e-05	4674.96	1208.45	1437.36
19	5.00793e-05	5.38713e-05	4674.96	1208.45	1437.36
20	5.38713e-05	5.78578e-05	3566.18	1180.57	1468.16
21	5.78578e-05	6.20599e-05	3566.18	1180.57	1468.16
22	6.20599e-05	6.65022e-05	2698.55	1112.08	1404.37
23	6.65022e-05	7.1214e-05	2698.55	1112.08	1404.37
24	7.1214e-05	7.62299e-05	2026.46	1050.63	1197.02
25	7.62299e-05	8.1592e-05	2026.46	1050.63	1197.02
26	8.1592e-05	8.73517e-05	1603.03	1019.26	1064.08
27	8.73517e-05	9.35726e-05	1603.03	1019.26	1064.08
28	9.35726e-05	0.000100335	1331.45	986.725	1019.89
29	0.000100335	0.000107743	1331.45	986.725	1019.89
30	0.000107743	0.000115931	1159.21	955.878	987.55
31	0.000115931	0.000125085	1159.21	955.878	987.55
32	0.000125085	0.000135463	1158.58	1029.8	1024.47
33	0.000135463	0.000147444	1158.58	1029.8	1024.47
34	0.000147444	0.000161614	1510.42	1399.4	1376.6
35	0.000161614	0.000178957	1510.42	1399.4	1376.6
36	0.000178957	0.000201315	2635.9	2482.23	2783.92
37	0.000201315	0.000232828	2635.9	2482.23	2783.92
38	0.000232828	0.000286699	138.918	129.08	149.275
39	0.000286699	inf	138.918	129.08	149.275
