time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.85975e-06	0.0871984	3.0487	52.0965
1	1.85975e-06	3.76781e-06	2886.52	422.152	5299.49
2	3.76781e-06	5.72676e-06	430.439	5.55877	1861.53
3	5.72676e-06	7.73939e-06	1163.34	6.84738	2731.18
4	7.73939e-06	9.80871e-06	3567.08	32.2371	2251.23
5	9.80871e-06	1.1938e-05	7920.03	138.067	2107.87
6	1.1938e-05	1.41309e-05	13016.8	436.288	1938.12
7	1.41309e-05	1.63913e-05	15768.4	971.3	1820.11
8	1.63913e-05	1.87234e-05	16069.9	1644.79	1926.14
9	1.87234e-05	2.1132e-05	16076.7	2325.57	2396.5
10	2.1132e-05	2.36223e-05	14055.4	2890.4	2702.53
11	2.36223e-05	2.62e-05	14055.4	2890.4	2702.53
12	2.62e-05	2.88714e-05	11486.9	3431.35	2633.83
13	2.88714e-05	3.16437e-05	11486.9	3431.35	2633.83
14	3.16437e-05	3.45247e-05	9175.75	3608.3	2193.45
15	3.45247e-05	3.75233e-05	9175.75	3608.3	2193.45
16	3.75233e-05	4.06496e-05	7558.97	3266.74	1931.14
17	4.06496e-05	4.39149e-05	7558.97	3266.74	1931.14
18	4.39149e-05	4.7332e-05	6364.22	2732.73	1898.99
19	4.7332e-05	5.0916e-05	6364.22	2732.73	1898.99
20	5.0916e-05	5.46838e-05	5010.75	2211.13	1799.19
21	5.46838e-05	5.86554e-05	5010.75	2211.13	1799.19
22	5.86554e-05	6.2854e-05	3726.92	1774.48	1517.27
23	6.2854e-05	6.73073e-05	3726.92	1774.48	1517.27
24	6.73073e-05	7.2048e-05	2721.11	1438.08	1207.19
25	7.2048e-05	7.7116e-05	2721.11	1438.08	1207.19
26	7.7116e-05	8.25597e-05	2048.03	1227.51	1062.43
27	8.25597e-05	8.84393e-05	2048.03	1227.51	1062.43
28	8.84393e-05	9.48308e-05	1539.51	1087.17	981.926
29	9.48308e-05	0.000101832	1539.51	1087.17	981.926
30	0.000101832	0.000109571	1202.61	1001.83	914.568
31	0.000109571	0.000118223	1202.61	1001.83	914.568
32	0.000118223	0.000128032	1148.68	1026.71	929.484
33	0.000128032	0.000139355	1148.68	1026.71	929.484
34	0.000139355	0.000152748	1424.53	1297.12	1243.89
35	0.000152748	0.000169139	1424.53	1297.12	1243.89
36	0.000169139	0.000190271	2270.65	2334.28	2397.92
37	0.000190271	0.000220055	2270.65	2334.28	2397.92
38	0.000220055	0.000270971	159.366	138.936	151.999
39	0.000270971	inf	159.366	138.936	151.999
