time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.79113e-06	34475.8	0.161574	1.96305e-05
1	1.79113e-06	3.6288e-06	35213.7	192.143	253.088
2	3.6288e-06	5.51547e-06	6910.78	2.89634	2491.01
3	5.51547e-06	7.45384e-06	21910.8	1.23602	2868.08
4	7.45384e-06	9.44682e-06	23172.5	4.69136	1921.95
5	9.44682e-06	1.14976e-05	20953.2	26.6481	1885.53
6	1.14976e-05	1.36095e-05	18752	124.193	1539.55
7	1.36095e-05	1.57865e-05	16154	410.678	1355.3
8	1.57865e-05	1.80326e-05	15012.3	979.537	1485.59
9	1.80326e-05	2.03524e-05	15497.8	1842.25	2028.28
10	2.03524e-05	2.27508e-05	13800.2	2857.42	2513.12
11	2.27508e-05	2.52333e-05	13800.2	2857.42	2513.12
12	2.52333e-05	2.78062e-05	12238.3	3626.27	2855.4
13	2.78062e-05	3.04762e-05	12238.3	3626.27	2855.4
14	3.04762e-05	3.32509e-05	10520.6	3771.95	2728.17
15	3.32509e-05	3.61389e-05	10520.6	3771.95	2728.17
16	3.61389e-05	3.91498e-05	8422.64	3460.53	2417.98
17	3.91498e-05	4.22946e-05	8422.64	3460.53	2417.98
18	4.22946e-05	4.55857e-05	6795.06	2891.2	2101.25
19	4.55857e-05	4.90374e-05	6795.06	2891.2	2101.25
20	4.90374e-05	5.26662e-05	5197.65	2267.23	1637.18
21	5.26662e-05	5.64912e-05	5197.65	2267.23	1637.18
22	5.64912e-05	6.0535e-05	3861.84	1806.71	1295.28
23	6.0535e-05	6.48239e-05	3861.84	1806.71	1295.28
24	6.48239e-05	6.93898e-05	2855.59	1477.28	1080.69
25	6.93898e-05	7.42707e-05	2855.59	1477.28	1080.69
26	7.42707e-05	7.95136e-05	2225.13	1274.2	962.542
27	7.95136e-05	8.51763e-05	2225.13	1274.2	962.542
28	8.51763e-05	9.1332e-05	1763.3	1132.16	873.788
29	9.1332e-05	9.80748e-05	1763.3	1132.16	873.788
30	9.80748e-05	0.000105529	1387.72	1035.19	837.61
31	0.000105529	0.000113861	1387.72	1035.19	837.61
32	0.000113861	0.000123308	1197.13	1008.42	931.665
33	0.000123308	0.000134214	1197.13	1008.42	931.665
34	0.000134214	0.000147112	1271.45	1261.99	1252.53
35	0.000147112	0.000162899	1271.45	1261.99	1252.53
36	0.000162899	0.000183251	2069.38	2350.12	2630.85
37	0.000183251	0.000211936	2069.38	2350.12	2630.85
38	0.000211936	0.000260974	166.501	143.47	150.06
39	0.000260974	inf	166.501	143.47	150.06
