time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.97513e-06	1580.25	0.0121408	17430.8
1	1.97513e-06	4.00157e-06	780.576	291.391	25777
2	4.00157e-06	6.08205e-06	606.227	40.7054	3235.58
3	6.08205e-06	8.21954e-06	1443.15	72.0799	5503.13
4	8.21954e-06	1.04172e-05	2133.07	132.982	4449.27
5	1.04172e-05	1.26787e-05	3926.11	219.39	4622.53
6	1.26787e-05	1.50076e-05	7639.21	370.961	3196.28
7	1.50076e-05	1.74082e-05	11061.6	572.106	1853.94
8	1.74082e-05	1.9885e-05	12533.8	804.407	1312.11
9	1.9885e-05	2.24431e-05	13210.7	1062.91	1304.45
10	2.24431e-05	2.50879e-05	11668.7	1201.39	1392.04
11	2.50879e-05	2.78254e-05	11668.7	1201.39	1392.04
12	2.78254e-05	3.06626e-05	9884.8	1248.75	1733.2
13	3.06626e-05	3.36069e-05	9884.8	1248.75	1733.2
14	3.36069e-05	3.66666e-05	7979.12	1297.23	1803.96
15	3.66666e-05	3.98513e-05	7979.12	1297.23	1803.96
16	3.98513e-05	4.31715e-05	6040.38	1282.48	1561.11
17	4.31715e-05	4.66393e-05	6040.38	1282.48	1561.11
18	4.66393e-05	5.02685e-05	4619.22	1232.63	1518.41
19	5.02685e-05	5.40748e-05	4619.22	1232.63	1518.41
20	5.40748e-05	5.80764e-05	3382.22	1165.09	1547.95
21	5.80764e-05	6.22943e-05	3382.22	1165.09	1547.95
22	6.22943e-05	6.67535e-05	2577.17	1092.93	1429.02
23	6.67535e-05	7.1483e-05	2577.17	1092.93	1429.02
24	7.1483e-05	7.65179e-05	1995.42	1010.59	1164.3
25	7.65179e-05	8.19003e-05	1995.42	1010.59	1164.3
26	8.19003e-05	8.76817e-05	1604.87	963.876	992.737
27	8.76817e-05	9.39261e-05	1604.87	963.876	992.737
28	9.39261e-05	0.000100714	1342.55	947.148	908.369
29	0.000100714	0.00010815	1342.55	947.148	908.369
30	0.00010815	0.000116369	1163.01	938.162	892.479
31	0.000116369	0.000125558	1163.01	938.162	892.479
32	0.000125558	0.000135975	1154.45	1027.04	992.745
33	0.000135975	0.000148001	1154.45	1027.04	992.745
34	0.000148001	0.000162224	1495.61	1401.46	1406.28
35	0.000162224	0.000179633	1495.61	1401.46	1406.28
36	0.000179633	0.000202076	2796.97	2466.83	2871.51
37	0.000202076	0.000233707	2796.97	2466.83	2871.51
38	0.000233707	0.000287782	137.407	125.814	148.973
39	0.000287782	inf	137.407	125.814	148.973
