time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.82659e-06	1225.27	5.88612	0.0256473
1	1.82659e-06	3.70064e-06	5096.28	349.847	2755.17
2	3.70064e-06	5.62466e-06	16638.4	0.766285	2174.02
3	5.62466e-06	7.6014e-06	20192.4	1.60932	3115.85
4	7.6014e-06	9.63384e-06	17550.7	11.2544	1889.67
5	9.63384e-06	1.17252e-05	17716	57.4956	1930.27
6	1.17252e-05	1.3879e-05	16539.1	225.544	1967.54
7	1.3879e-05	1.6099e-05	15240.4	624.966	1902.44
8	1.6099e-05	1.83896e-05	14616.6	1264.14	1907.58
9	1.83896e-05	2.07553e-05	15005.9	2036.38	2284.45
10	2.07553e-05	2.32012e-05	12917.7	2904.96	2576.38
11	2.32012e-05	2.57329e-05	12917.7	2904.96	2576.38
12	2.57329e-05	2.83567e-05	11269.9	3479.74	2950.44
13	2.83567e-05	3.10795e-05	11269.9	3479.74	2950.44
14	3.10795e-05	3.39092e-05	9920.3	3450.39	2690.47
15	3.39092e-05	3.68543e-05	9920.3	3450.39	2690.47
16	3.68543e-05	3.99249e-05	8300.33	3189.08	2193.32
17	3.99249e-05	4.31319e-05	8300.33	3189.08	2193.32
18	4.31319e-05	4.64882e-05	6799.44	2781.87	1919.99
19	4.64882e-05	5.00082e-05	6799.44	2781.87	1919.99
20	5.00082e-05	5.37088e-05	5094.51	2288.08	1694.44
21	5.37088e-05	5.76096e-05	5094.51	2288.08	1694.44
22	5.76096e-05	6.17334e-05	3653.39	1828.65	1436.71
23	6.17334e-05	6.61073e-05	3653.39	1828.65	1436.71
24	6.61073e-05	7.07635e-05	2580.15	1476.81	1181.3
25	7.07635e-05	7.57411e-05	2580.15	1476.81	1181.3
26	7.57411e-05	8.10877e-05	1918.63	1271.1	1045.44
27	8.10877e-05	8.68625e-05	1918.63	1271.1	1045.44
28	8.68625e-05	9.31401e-05	1504.62	1139.75	989.281
29	9.31401e-05	0.000100016	1504.62	1139.75	989.281
30	0.000100016	0.000107618	1251.84	1047.44	931.471
31	0.000107618	0.000116115	1251.84	1047.44	931.471
32	0.000116115	0.000125749	1182.59	1048.28	964.864
33	0.000125749	0.000136871	1182.59	1048.28	964.864
34	0.000136871	0.000150025	1420.6	1300.1	1275.95
35	0.000150025	0.000166124	1420.6	1300.1	1275.95
36	0.000166124	0.000186879	2390.76	2330.95	2271.14
37	0.000186879	0.000216132	2390.76	2330.95	2271.14
38	0.000216132	0.00026614	165.616	141.21	159.097
39	0.00026614	inf	165.616	141.21	159.097
