time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	-0	1.93831e-06	5602.73	14.7779	3049.23
1	1.93831e-06	3.92697e-06	9397.45	348.67	11181.3
2	3.92697e-06	5.96867e-06	829.27	7.72853	1620.69
3	5.96867e-06	8.06631e-06	2674.38	13.9938	466.059
4	8.06631e-06	1.02231e-05	6488.68	49.6308	877.979
5	1.02231e-05	1.24423e-05	8923.14	134.079	1801.21
6	1.24423e-05	1.47278e-05	11376.1	352.293	1327.73
7	1.47278e-05	1.70837e-05	13249.1	688.29	774.749
8	1.70837e-05	1.95143e-05	13789.7	1084.26	592.172
9	1.95143e-05	2.20247e-05	13708.6	1516.56	638.13
10	2.20247e-05	2.46202e-05	12053.1	1893.46	819.525
11	2.46202e-05	2.73067e-05	12053.1	1893.46	819.525
12	2.73067e-05	3.0091e-05	10115.5	2195.65	1187.35
13	3.0091e-05	3.29804e-05	10115.5	2195.65	1187.35
14	3.29804e-05	3.59831e-05	8417.48	2356.26	1480.86
15	3.59831e-05	3.91084e-05	8417.48	2356.26	1480.86
16	3.91084e-05	4.23667e-05	7030.59	2242.49	1462.77
17	4.23667e-05	4.57699e-05	7030.59	2242.49	1462.77
18	4.57699e-05	4.93314e-05	5616.45	1985.01	1464.21
19	4.93314e-05	5.30668e-05	5616.45	1985.01	1464.21
20	5.30668e-05	5.69938e-05	4120.79	1683.33	1420.2
21	5.69938e-05	6.11331e-05	4120.79	1683.33	1420.2
22	6.11331e-05	6.55091e-05	3053.05	1421.81	1262.23
23	6.55091e-05	7.01505e-05	3053.05	1421.81	1262.23
24	7.01505e-05	7.50915e-05	2278.05	1216.36	1028.18
25	7.50915e-05	8.03735e-05	2278.05	1216.36	1028.18
26	8.03735e-05	8.60472e-05	1765.41	1105.97	876.03
27	8.60472e-05	9.21752e-05	1765.41	1105.97	876.03
28	9.21752e-05	9.88367e-05	1386.33	1036.03	817.79
29	9.88367e-05	0.000106134	1386.33	1036.03	817.79
30	0.000106134	0.0001142	1177.76	996.307	814.858
31	0.0001142	0.000123217	1177.76	996.307	814.858
32	0.000123217	0.00013344	1159.45	1043.42	927.39
33	0.00013344	0.000145242	1159.45	1043.42	927.39
34	0.000145242	0.0001592	1393.87	1373.53	1353.18
35	0.0001592	0.000176284	1393.87	1373.53	1353.18
36	0.000176284	0.000198309	2388.23	2508.5	2628.78
37	0.000198309	0.000229351	2388.23	2508.5	2628.78
38	0.000229351	0.000282418	142.277	124.167	141.507
39	0.000282418	inf	142.277	124.167	141.507
