  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     5      0           0         133   Coal      0     -1      571080.51  0.00023819085  4.1708804e-10  1.1987877e+09      1.0032     -1
     5      0           0         133   Coal      1     -1      536458.92  6.3461484e-05  1.1829701e-10  4.2266497e+09      1.0026     -1
     5      1         133       166.2   Coal      0     -1      278423.26  0.00047844657  1.7184145e-09  2.9096589e+08      1.0033     -1
     5      1         133       166.2   Coal      1     -1      255341.68      23.088049  9.0420214e-05       5529.737      1.0029     -1
     5      2       166.2      207.68   Coal      0     -1      439045.93      3.0002964  6.8336731e-06      73167.094       1.003     -1
     5      2       166.2      207.68   Coal      1     -1      397632.61   8.636694e-05  2.1720286e-10  2.3019955e+09      1.0029     -1
     5      3      207.68      259.53   Coal      0     -1      686166.43      2.0001938  2.9150272e-06      171524.99      1.0028     -1
     5      3      207.68      259.53   Coal      1     -1      615327.07      15.011242  2.4395549e-05      20495.542      1.0029     -1
     5      4      259.53      324.31   Coal      0     -1      1067143.2      14.011365  1.3129788e-05      38081.345      1.0027     -1
     5      4      259.53      324.31   Coal      1     -1      953773.44      9.0036732  9.4400544e-06      52965.796      1.0029     -1
     5      5      324.31      405.26   Coal      0     -1      1644484.7      13.318177  8.0986931e-06      61738.357       1.003     -1
     5      5      324.31      405.26   Coal      1     -1      1482899.9      24.019998   1.619799e-05      30868.028      1.0033     -1
     5      6      405.26      506.42   Coal      0     -1      2551802.5      77.048751  3.0193854e-05      16559.662      1.0028     -1
     5      6      405.26      506.42   Coal      1     -1      2309830.3      42.310789  1.8317705e-05      27295.997      1.0031     -1
     5      7      506.42      632.82   Coal      0     -1        3879288       180.4388   4.651338e-05      10749.595      1.0042     -1
     5      7      506.42      632.82   Coal      1     -1      3545175.3      50.918107  1.4362649e-05       34812.52      1.0046     -1
     5      8      632.82      790.79   Coal      0     -1      5747712.3         490.84  8.5397455e-05      5854.9754      1.0068     -1
     5      8      632.82      790.79   Coal      1     -1      5423302.8      191.55505  3.5320737e-05       14155.99      1.0071     -1
     5      9      790.79      988.18   Coal      0     -1      8175296.1         910.98  0.00011143083      4487.0887       1.007     -1
     5      9      790.79      988.18   Coal      1     -1      8267935.7      256.94499  3.1077284e-05      16088.922      1.0075     -1
     5     10      988.18      1234.8   Coal      0     -1       11427947        1317.66  0.00011530155       4336.455      1.0148     -1
     5     10      988.18      1234.8   Coal      1     -1       12631670       399.6744  3.1640662e-05      15802.451      1.0164     -1
     5     11      1234.8      1543.1   Coal      0     -1       15453850        1898.24  0.00012283282      4070.5732      1.0301     -1
     5     11      1234.8      1543.1   Coal      1     -1       19008272      525.16996  2.7628496e-05      18097.258      1.0344     -1
     5     12      1543.1      1928.2   Coal      0     -1       20407425        2380.77  0.00011666195      4285.8874      1.0387     -1
     5     12      1543.1      1928.2   Coal      1     -1       28684331         664.04  2.3149921e-05      21598.346      1.0452     -1
     5     13      1928.2      2409.6   Coal      0     -1       26724379        2750.01  0.00010290267      4858.9604      1.0646     -1
     5     13      1928.2      2409.6   Coal      1     -1       43482884        1140.17  2.6221122e-05      19068.597      1.0767     -1
     5     14      2409.6        3011   Coal      0     -1       35534283        2878.46  8.1005153e-05      6172.4468      1.1061     -1
     5     14      2409.6        3011   Coal      1     -1       65303452         1859.7  2.8477821e-05      17557.523      1.1236     -1
     5     15        3011      3762.6   Coal      0     -1       46924147        3646.66  7.7713932e-05      6433.8528      1.1885     -1
     5     15        3011      3762.6   Coal      1     -1       96948617        2627.12  2.7098066e-05      18451.501       1.214     -1
     5     16      3762.6      4701.8   Coal      0     -1       60412530        3935.77   6.514824e-05      7674.8045      1.2595     -1
     5     16      3762.6      4701.8   Coal      1     -1  1.4407028e+08        3752.42   2.604576e-05      19196.982      1.2932     -1
     5     17      4701.8      5875.5   Coal      0     -1       74835027        4533.13  6.0574977e-05      8254.2335      1.3073     -1
     5     17      4701.8      5875.5   Coal      1     -1  2.1398201e+08        6378.54  2.9808767e-05      16773.589      1.3381     -1
     5     18      5875.5      7342.1   Coal      0     -1       91375685        3649.62  3.9940822e-05       12518.52      1.4562     -1
     5     18      5875.5      7342.1   Coal      1     -1  3.1638113e+08        7936.53  2.5085346e-05      19931.955      1.4879     -1
     5     19      7342.1      9174.7   Coal      0     -1  1.1350957e+08        3176.19  2.7981695e-05      17868.825      1.6889     -1
     5     19      7342.1      9174.7   Coal      1     -1  4.7441461e+08        9860.45  2.0784457e-05      24056.438       1.717     -1
     5     20      9174.7       11465   Coal      0     -1  1.4357388e+08         2858.1  1.9906824e-05      25117.015      1.7828     -1
     5     20      9174.7       11465   Coal      1     -1  6.9773669e+08       13432.37  1.9251345e-05      25972.211       1.801     -1
     5     21       11465       14327   Coal      0     -1   1.871823e+09       29148.56  1.5572284e-05      32108.328      2.2297     -1
     5     21       11465       14327   Coal      1     -1            100      1.6351968    0.016351968      30.577359           1     -1
     5     22       14327       17903   Coal      0     -1  2.2943853e+09       36453.13  1.5887972e-05      31470.347      2.5394     -1
     5     22       14327       17903   Coal      1     -1            100      1.6352531    0.016352531      30.576307           1     -1
     5     23       17903       22372   Coal      0     -1  2.6541266e+09        49588.8   1.868366e-05      26761.351      2.8705     -1
     5     23       17903       22372   Coal      1     -1            100      1.6355348    0.016355348       30.57104           1     -1
     5     24       22372       27956   Coal      0     -1  2.8310055e+09       61400.79  2.1688687e-05      23053.494      3.2229     -1
