  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     5      0           0         133   Coal      0     -1      584139.71  5.6613332e-05  9.6917451e-11  5.1590296e+09      1.0021     -1
     5      0           0         133   Coal      1     -1      581548.87      13.002258   2.235798e-05       22363.38       1.001     -1
     5      1         133       166.2   Coal      0     -1      277976.13   0.0004542721  1.6342126e-09  3.0595774e+08       1.002     -1
     5      1         133       166.2   Coal      1     -1      276892.73      1.0004799  3.6132402e-06      138379.95      1.0014     -1
     5      2       166.2      207.68   Coal      0     -1      434322.98  7.2838044e-05  1.6770479e-10  2.9814295e+09       1.002     -1
     5      2       166.2      207.68   Coal      1     -1      428109.37      10.032198  2.3433726e-05      21336.769      1.0014     -1
     5      3      207.68      259.53   Coal      0     -1      681795.61       5.009906  7.3481054e-06      68044.751      1.0019     -1
     5      3      207.68      259.53   Coal      1     -1      664994.74      11.044038  1.6607707e-05      30106.504      1.0015     -1
     5      4      259.53      324.31   Coal      0     -1      1073936.4      12.002143  1.1175841e-05      44739.363      1.0019     -1
     5      4      259.53      324.31   Coal      1     -1      1020937.8      19.003825  1.8614087e-05      26861.376      1.0015     -1
     5      5      324.31      405.26   Coal      0     -1      1698210.7      47.005807  2.7679607e-05       18063.84       1.002     -1
     5      5      324.31      405.26   Coal      1     -1      1542851.7      34.005521  2.2040693e-05      22685.312      1.0016     -1
     5      6      405.26      506.42   Coal      0     -1      2624931.5       94.09854  3.5847999e-05       13947.78      1.0019     -1
     5      6      405.26      506.42   Coal      1     -1        2355327      32.002178  1.3587148e-05      36799.481      1.0017     -1
     5      7      506.42      632.82   Coal      0     -1        4057440      204.11235  5.0305697e-05      9939.2321      1.0026     -1
     5      7      506.42      632.82   Coal      1     -1      3613957.9      77.066222  2.1324604e-05      23447.094       1.002     -1
     5      8      632.82      790.79   Coal      0     -1        6084824         614.78  0.00010103497      4948.7817      1.0041     -1
     5      8      632.82      790.79   Coal      1     -1      5429221.7      133.02497  2.4501664e-05      20406.777      1.0029     -1
     5      9      790.79      988.18   Coal      0     -1      8894176.3         773.44  8.6960273e-05      5749.7519      1.0056     -1
     5      9      790.79      988.18   Coal      1     -1      8121416.2      346.36004   4.264774e-05      11723.951      1.0046     -1
     5     10      988.18      1234.8   Coal      0     -1       13085611        1032.61  7.8911867e-05      6336.1827      1.0129     -1
     5     10      988.18      1234.8   Coal      1     -1       11922060      410.33919   3.441848e-05       14527.08       1.013     -1
     5     11      1234.8      1543.1   Coal      0     -1       19003533        1510.23   7.947101e-05      6291.6024      1.0139     -1
     5     11      1234.8      1543.1   Coal      1     -1       17369598         611.59  3.5210372e-05      14200.361      1.0143     -1
     5     12      1543.1      1928.2   Coal      0     -1       27004286        1689.65  6.2569697e-05      7991.0887      1.0376     -1
     5     12      1543.1      1928.2   Coal      1     -1       25451156         850.08  3.3400447e-05      14969.859      1.0404     -1
     5     13      1928.2      2409.6   Coal      0     -1       38100732        2325.04  6.1023499e-05      8193.5648      1.0573     -1
     5     13      1928.2      2409.6   Coal      1     -1       36856868        1286.74  3.4911811e-05      14321.801      1.0609     -1
     5     14      2409.6        3011   Coal      0     -1       54037109        2612.17  4.8340298e-05      10343.337      1.0809     -1
     5     14      2409.6        3011   Coal      1     -1       52310284           1944  3.7162865e-05      13454.291      1.0851     -1
     5     15        3011      3762.6   Coal      0     -1       76264671        3329.83  4.3661501e-05      11451.736      1.1681     -1
     5     15        3011      3762.6   Coal      1     -1       73256736        2579.52  3.5212052e-05      14199.684      1.1763     -1
     5     16      3762.6      4701.8   Coal      0     -1  1.0545137e+08        4555.18  4.3196972e-05      11574.885      1.2188     -1
     5     16      3762.6      4701.8   Coal      1     -1  1.0227601e+08        3642.36  3.5613042e-05        14039.8      1.2237     -1
     5     17      4701.8      5875.5   Coal      0     -1  1.4233968e+08           5793  4.0698421e-05      12285.489      1.3387     -1
     5     17      4701.8      5875.5   Coal      1     -1  1.3746221e+08        5541.18  4.0310568e-05      12403.695      1.3458     -1
     5     18      5875.5      7342.1   Coal      0     -1  1.9590308e+08         5913.4  3.0185335e-05      16564.335        1.43     -1
     5     18      5875.5      7342.1   Coal      1     -1  1.8454365e+08        5649.81  3.0615033e-05      16331.846      1.4395     -1
     5     19      7342.1      9174.7   Coal      0     -1  2.8066854e+08        5682.46   2.024616e-05      24696.042      1.6013     -1
     5     19      7342.1      9174.7   Coal      1     -1  2.5686534e+08        5826.01  2.2681183e-05      22044.705      1.6091     -1
     5     20      9174.7       11465   Coal      0     -1  4.0962745e+08         6497.6  1.5862218e-05      31521.443      1.7775     -1
     5     20      9174.7       11465   Coal      1     -1  3.6405095e+08        6602.09  1.8135071e-05      27570.887      1.7875     -1
     5     21       11465       14327   Coal      0     -1  1.8917299e+09       36442.37  1.9264045e-05      25955.089      2.0893     -1
     5     21       11465       14327   Coal      1     -1            100      1.6351968    0.016351968      30.577359           1     -1
     5     22       14327       17903   Coal      0     -1  2.2153807e+09       38067.71  1.7183372e-05      29097.898       2.375     -1
     5     22       14327       17903   Coal      1     -1            100      1.6352531    0.016352531      30.576307           1     -1
     5     23       17903       22372   Coal      0     -1  2.5605303e+09        47903.2  1.8708312e-05      26726.088      2.7625     -1
     5     23       17903       22372   Coal      1     -1            100      1.6355348    0.016355348       30.57104           1     -1
     5     24       22372       27956   Coal      0     -1  2.7710094e+09       59201.82  2.1364713e-05      23403.076      3.2354     -1
     5     24       22372       27956   Coal      1     -1            100      1.6358329    0.016358329      30.565469           1     -1
     5     25       27956       34934   Coal      0     -1  2.7453236e+09       70736.38  2.5766135e-05      19405.316        3.57     -1
     5     25       27956       34934   Coal      1     -1            100      1.6362589    0.016362589      30.557511           1     -1
     5     26       34934       43654   Coal      0     -1  2.5131026e+09       74286.21  2.9559561e-05      16915.001      4.1246     -1
     5     26       34934       43654   Coal      1     -1            100      1.6366612    0.016366612          30.55           1     -1
     5     27       43654       54551   Coal      0     -1  2.1636471e+09       74018.31  3.4209973e-05      14615.621        4.57     -1
     5     27       43654       54551   Coal      1     -1            100      1.6372244    0.016372244      30.539491           1     -1
     5     28       54551       68167   Coal      0     -1  1.8046095e+09       64129.08  3.5536264e-05      14070.134      5.2778     -1
     5     28       54551       68167   Coal      1     -1            100      1.6375587    0.016375587      30.533257           1     -1
     5     29       68167       85183   Coal      0     -1  1.5144034e+09       50869.25  3.3590291e-05      14885.254      5.3714     -1
     5     29       68167       85183   Coal      1     -1            100      1.6375587    0.016375587      30.533257           1     -1
     5     30       85183  1.0645e+05   Coal      0     -1  1.4985238e+09       28645.59  1.9115872e-05      26156.274      7.1096     -1
     5     30       85183  1.0645e+05   Coal      1     -1            100      1.6359572    0.016359572      30.563147           1     -1
     5     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.5350802e+09       30056.56  1.9579797e-05      25536.526      7.2777     -1
     5     31  1.0645e+05  1.3302e+05   Coal      1     -1            100      1.6359572    0.016359572      30.563147           1     -1
     5     32  1.3302e+05       1e+99   Coal      0     -1  3.1378696e+09       63216.09  2.0146181e-05      24818.599      10.528     -1
     5     32  1.3302e+05       1e+99   Coal      1     -1            100      1.6359572    0.016359572      30.563147           1     -1
     5     -1           0       1e+99  Delay     -1     -1  9.9999992e+08              0              0              0           1     -1
     5     -1           0       1e+99   LogL     -1     -1              1      -27832549      -27832549              0           1     -1
     5      0           0         133   Migr      0      1       179469.7      8.0054541   4.460616e-05              0      1.0017     -1
     5      0           0         133   Migr      1      0      178667.31      3.0028918   1.680717e-05              0      1.0008     -1
     5      1         133       166.2   Migr      0      1       69493.33      2.0033147  2.8827439e-05              0       1.002     -1
     5      1         133       166.2   Migr      1      0        70038.9      25.064362  0.00035786344              0      1.0014     -1
     5      2       166.2      207.68   Migr      0      1      107974.67        1.00116  9.2721744e-06              0      1.0019     -1
     5      2       166.2      207.68   Migr      1      0      108800.04      5.0040976  4.5993528e-05              0      1.0015     -1
     5      3      207.68      259.53   Migr      0      1      168836.61      5.0170598  2.9715473e-05              0      1.0019     -1
     5      3      207.68      259.53   Migr      1      0      169808.54      40.031023   0.0002357421              0      1.0016     -1
     5      4      259.53      324.31   Migr      0      1      263987.65      12.003345  4.5469344e-05              0      1.0019     -1
     5      4      259.53      324.31   Migr      1      0      262689.03      56.672865  0.00021574127              0      1.0016     -1
     5      5      324.31      405.26   Migr      0      1      414947.38      23.007817  5.5447553e-05              0      1.0019     -1
     5      5      324.31      405.26   Migr      1      0      400554.83      80.098995  0.00019997011              0      1.0016     -1
     5      6      405.26      506.42   Migr      0      1      641071.51      29.939229  4.6701855e-05              0      1.0019     -1
     5      6      405.26      506.42   Migr      1      0      613944.45      24.011157  3.9109657e-05              0      1.0018     -1
     5      7      506.42      632.82   Migr      0      1      991596.37      86.044962   8.677418e-05              0      1.0026     -1
     5      7      506.42      632.82   Migr      1      0      945864.38      169.58669  0.00017929281              0      1.0021     -1
     5      8      632.82      790.79   Migr      0      1      1496183.4      114.77806  7.6713895e-05              0       1.004     -1
     5      8      632.82      790.79   Migr      1      0      1436322.8      182.02532  0.00012673009              0       1.003     -1
     5      9      790.79      988.18   Migr      0      1      2220978.1      144.42593  6.5028076e-05              0      1.0057     -1
     5      9      790.79      988.18   Migr      1      0      2176476.2      296.28987  0.00013613283              0      1.0048     -1
     5     10      988.18      1234.8   Migr      0      1      3312582.8      300.69139  9.0772492e-05              0      1.0134     -1
     5     10      988.18      1234.8   Migr      1      0      3257995.7      497.46015  0.00015268901              0      1.0132     -1
     5     11      1234.8      1543.1   Migr      0      1      4890348.1         563.32  0.00011519016              0      1.0145     -1
     5     11      1234.8      1543.1   Migr      1      0      4852855.2          728.4  0.00015009721              0      1.0148     -1
     5     12      1543.1      1928.2   Migr      0      1      7139631.2         734.86  0.00010292688              0      1.0398     -1
     5     12      1543.1      1928.2   Migr      1      0      7213974.4         878.73  0.00012180941              0      1.0421     -1
     5     13      1928.2      2409.6   Migr      0      1       10376223        1040.32  0.00010025998              0      1.0609     -1
     5     13      1928.2      2409.6   Migr      1      0       10668608        1248.88  0.00011706119              0      1.0633     -1
     5     14      2409.6        3011   Migr      0      1       15157706         1371.8   9.050182e-05              0      1.0856     -1
     5     14      2409.6        3011   Migr      1      0       15561839        1662.27  0.00010681707              0      1.0891     -1
     5     15        3011      3762.6   Migr      0      1       22118731        1656.89   7.490891e-05              0      1.1771     -1
     5     15        3011      3762.6   Migr      1      0       22448345        1838.51  8.1899581e-05              0      1.1847     -1
     5     16      3762.6      4701.8   Migr      0      1       31991090        1797.26  5.6180017e-05              0      1.2309     -1
     5     16      3762.6      4701.8   Migr      1      0       32396467        2136.16  6.5938054e-05              0      1.2357     -1
     5     17      4701.8      5875.5   Migr      0      1       45621713        1910.73  4.1882031e-05              0      1.3567     -1
     5     17      4701.8      5875.5   Migr      1      0       45716945        1891.15    4.13665e-05              0      1.3634     -1
     5     18      5875.5      7342.1   Migr      0      1       65834796        1839.23   2.793705e-05              0      1.4541     -1
     5     18      5875.5      7342.1   Migr      1      0       64884571        2036.98  3.1393904e-05              0      1.4619     -1
     5     19      7342.1      9174.7   Migr      0      1       97513194        1960.61    2.01061e-05              0      1.6322     -1
     5     19      7342.1      9174.7   Migr      1      0       94516544        2197.57  2.3250639e-05              0      1.6389     -1
     5     20      9174.7       11465   Migr      0      1  1.4651148e+08        2504.56  1.7094633e-05              0      1.8148     -1
     5     20      9174.7       11465   Migr      1      0  1.3910677e+08        2567.31   1.845568e-05              0      1.8238     -1
     5     21       11465       14327   Migr      0      1  3.9536167e+08              0              0              0      2.1533     -1
     5     21       11465       14327   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     22       14327       17903   Migr      0      1  5.1872163e+08              0              0              0      2.4513     -1
     5     22       14327       17903   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     23       17903       22372   Migr      0      1  6.7633678e+08              0              0              0      2.8533     -1
     5     23       17903       22372   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     24       22372       27956   Migr      0      1  8.5175442e+08              0              0              0      3.3422     -1
     5     24       22372       27956   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     25       27956       34934   Migr      0      1  1.0356689e+09              0              0              0      3.6796     -1
     5     25       27956       34934   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     26       34934       43654   Migr      0      1  1.2367373e+09              0              0              0      4.2213     -1
     5     26       34934       43654   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     27       43654       54551   Migr      0      1  1.4442289e+09              0              0              0       4.596     -1
     5     27       43654       54551   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     28       54551       68167   Migr      0      1  1.5904195e+09              0              0              0      5.1231     -1
     5     28       54551       68167   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     29       68167       85183   Migr      0      1  1.6123264e+09              0              0              0      5.0667     -1
     5     29       68167       85183   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     30       85183  1.0645e+05   Migr      0      1  1.6770806e+09              0              0              0      6.3603     -1
     5     30       85183  1.0645e+05   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     31  1.0645e+05  1.3302e+05   Migr      0      1  1.7723524e+09              0              0              0      6.4502     -1
     5     31  1.0645e+05  1.3302e+05   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     32  1.3302e+05       1e+99   Migr      0      1  4.2569044e+09              0              0              0      9.1647     -1
     5     32  1.3302e+05       1e+99   Migr      1      0            100      1.6355348    0.016355348              0           1     -1
     5     -1           0       1e+99 Recomb     -1     -1           3300   9.900001e-06  3.0000003e-09              0           1     -1
     5     -1           0       1e+99 Resamp     -1     -1  9.9999992e+08        1651961   0.0016519611              0           1     -1
     4      0           0         133   Coal      0     -1      588892.32   5.860566e-05  9.9518465e-11  5.0241932e+09      1.0021     -1
     4      0           0         133   Coal      1     -1      581150.12      12.001986  2.0652126e-05      24210.582      1.0015     -1
     4      1         133       166.2   Coal      0     -1      293705.36      1.0008912  3.4078069e-06      146721.93      1.0021     -1
     4      1         133       166.2   Coal      1     -1      275164.08      1.0006112  3.6364163e-06      137498.01      1.0019     -1
     4      2       166.2      207.68   Coal      0     -1      457738.91  7.5219279e-05  1.6432791e-10  3.0426967e+09      1.0021     -1
     4      2       166.2      207.68   Coal      1     -1       424964.1      10.001104  2.3533997e-05      21245.859      1.0021     -1
     4      3      207.68      259.53   Coal      0     -1      713297.68       9.003004  1.2621664e-05      39614.427      1.0019     -1
     4      3      207.68      259.53   Coal      1     -1      655213.93      15.003972  2.2899348e-05      21834.683      1.0021     -1
     4      4      259.53      324.31   Coal      0     -1      1114452.7       20.01173  1.7956554e-05      27844.987       1.002     -1
     4      4      259.53      324.31   Coal      1     -1      1002092.9      25.002581  2.4950364e-05      20039.788      1.0019     -1
     4      5      324.31      405.26   Coal      0     -1      1744262.5       41.02203  2.3518266e-05      21260.071      1.0021     -1
     4      5      324.31      405.26   Coal      1     -1      1530962.3      41.015019  2.6790352e-05      18663.435       1.002     -1
     4      6      405.26      506.42   Coal      0     -1      2715014.7      88.942838  3.2759616e-05      15262.694      1.0018     -1
     4      6      405.26      506.42   Coal      1     -1        2328108      28.023498  1.2037027e-05      41538.498       1.002     -1
     4      7      506.42      632.82   Coal      0     -1      4166867.3      210.21121  5.0448261e-05      9911.1444      1.0024     -1
     4      7      506.42      632.82   Coal      1     -1      3568569.1      75.079536  2.1039115e-05      23765.258      1.0021     -1
     4      8      632.82      790.79   Coal      0     -1      6227241.9         608.36   9.769333e-05      5118.0567      1.0032     -1
     4      8      632.82      790.79   Coal      1     -1      5441613.9      124.12514  2.2810355e-05       21919.87      1.0032     -1
     4      9      790.79      988.18   Coal      0     -1      9047039.1         788.64  8.7171062e-05      5735.8485      1.0048     -1
     4      9      790.79      988.18   Coal      1     -1      8118843.8      345.21677  4.2520435e-05      11759.052      1.0039     -1
     4     10      988.18      1234.8   Coal      0     -1       13063273        1053.98   8.068269e-05      6197.1161      1.0149     -1
     4     10      988.18      1234.8   Coal      1     -1       11938589          414.6  3.4727721e-05       14397.72      1.0139     -1
     4     11      1234.8      1543.1   Coal      0     -1       18666351        1418.99  7.6018609e-05      6577.3369      1.0241     -1
     4     11      1234.8      1543.1   Coal      1     -1       17559992         639.71  3.6429972e-05      13724.963      1.0249     -1
     4     12      1543.1      1928.2   Coal      0     -1       26719349        1697.18  6.3518763e-05      7871.6898      1.0346     -1
     4     12      1543.1      1928.2   Coal      1     -1       25951330         863.96   3.329155e-05      15018.826      1.0361     -1
     4     13      1928.2      2409.6   Coal      0     -1       37835838        2281.54   6.030103e-05      8291.7324      1.0578     -1
     4     13      1928.2      2409.6   Coal      1     -1       37759583        1314.56  3.4813944e-05      14362.061      1.0594     -1
     4     14      2409.6        3011   Coal      0     -1       53518091        2550.38   4.765454e-05       10492.18      1.0998     -1
     4     14      2409.6        3011   Coal      1     -1       53909666        1929.11  3.5784121e-05      13972.678      1.1025     -1
     4     15        3011      3762.6   Coal      0     -1       75574488        3370.84  4.4602882e-05      11210.038      1.1759     -1
     4     15        3011      3762.6   Coal      1     -1       75107196        2644.56  3.5210475e-05       14200.32      1.1804     -1
     4     16      3762.6      4701.8   Coal      0     -1  1.0486501e+08        4650.83  4.4350637e-05      11273.795      1.2344     -1
     4     16      3762.6      4701.8   Coal      1     -1  1.0439595e+08        3691.11  3.5356831e-05      14141.539      1.2369     -1
     4     17      4701.8      5875.5   Coal      0     -1  1.4130615e+08        5757.24  4.0743024e-05       12272.04      1.3627     -1
     4     17      4701.8      5875.5   Coal      1     -1  1.4081012e+08        5648.97  4.0117642e-05      12463.345      1.3627     -1
     4     18      5875.5      7342.1   Coal      0     -1  1.9408723e+08         5881.7  3.0304416e-05      16499.246      1.4472     -1
