  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     5      0           0         133   Coal      0     -1      598946.78      1.0006116  1.6706186e-06      299290.34       1.001     -1
     5      0           0         133   Coal      1     -1      516120.91      9.0023834  1.7442392e-05      28665.792      1.0018     -1
     5      1         133       166.2   Coal      0     -1      283799.76      1.0011262  3.5275795e-06      141740.25      1.0011     -1
     5      1         133       166.2   Coal      1     -1      244647.41      10.003419  4.0889126e-05       12228.19      1.0023     -1
     5      2       166.2      207.68   Coal      0     -1      439938.52      1.0009714  2.2752529e-06      219755.79      1.0012     -1
     5      2       166.2      207.68   Coal      1     -1      381383.83  8.4577565e-05  2.2176495e-10  2.2546395e+09      1.0025     -1
     5      3      207.68      259.53   Coal      0     -1      680746.84      1.0000502  1.4690486e-06      340356.35      1.0015     -1
     5      3      207.68      259.53   Coal      1     -1      591321.58      36.012036  6.0900933e-05      8210.0548      1.0024     -1
     5      4      259.53      324.31   Coal      0     -1      1056842.4       5.002204  4.7331601e-06      105637.67      1.0015     -1
     5      4      259.53      324.31   Coal      1     -1      927500.21      17.005214  1.8334458e-05      27271.054      1.0025     -1
     5      5      324.31      405.26   Coal      0     -1      1624818.9      33.012861  2.0317872e-05      24608.877      1.0016     -1
     5      5      324.31      405.26   Coal      1     -1      1452006.3      7.1047049  4.8930263e-06      102186.25      1.0025     -1
     5      6      405.26      506.42   Coal      0     -1      2474171.7      126.33931  5.1063274e-05      9791.7733      1.0017     -1
     5      6      405.26      506.42   Coal      1     -1        2254492       73.14006  3.2441925e-05      15412.156      1.0026     -1
     5      7      506.42      632.82   Coal      0     -1      3731883.7      209.06662  5.6021739e-05      8925.1068      1.0023     -1
     5      7      506.42      632.82   Coal      1     -1      3476969.8      83.097837  2.3899499e-05      20920.941      1.0029     -1
     5      8      632.82      790.79   Coal      0     -1      5497008.3         570.06  0.00010370368      4821.4296      1.0039     -1
     5      8      632.82      790.79   Coal      1     -1      5328659.2       205.1557  3.8500435e-05      12986.866      1.0048     -1
     5      9      790.79      988.18   Coal      0     -1      7847740.9         770.28  9.8153087e-05      5094.0833      1.0058     -1
     5      9      790.79      988.18   Coal      1     -1      8135805.5      238.72151  2.9342086e-05       17040.37      1.0064     -1
     5     10      988.18      1234.8   Coal      0     -1       10900451        1253.27  0.00011497414      4348.8039       1.013     -1
     5     10      988.18      1234.8   Coal      1     -1       12493822      322.66726  2.5826146e-05      19360.225       1.015     -1
     5     11      1234.8      1543.1   Coal      0     -1       14875711        1433.34  9.6354383e-05      5189.1775      1.0236     -1
     5     11      1234.8      1543.1   Coal      1     -1       19129690          531.2  2.7768353e-05      18006.109      1.0269     -1
     5     12      1543.1      1928.2   Coal      0     -1       20303812        1547.11  7.6198007e-05      6561.8514      1.0409     -1
     5     12      1543.1      1928.2   Coal      1     -1       29482273         750.12  2.5443085e-05      19651.705      1.0478     -1
     5     13      1928.2      2409.6   Coal      0     -1       27233624        2089.68  7.6731616e-05      6516.2188      1.0868     -1
     5     13      1928.2      2409.6   Coal      1     -1       45168986         1259.8  2.7890819e-05      17927.046      1.1008     -1
     5     14      2409.6        3011   Coal      0     -1       36007850        2097.58  5.8253408e-05      8583.1888      1.1061     -1
     5     14      2409.6        3011   Coal      1     -1       69285384        1877.33  2.7095614e-05      18453.171      1.1215     -1
     5     15        3011      3762.6   Coal      0     -1       46908265        2222.75  4.7385039e-05      10551.854      1.1804     -1
     5     15        3011      3762.6   Coal      1     -1   1.064348e+08        3108.19   2.920276e-05      17121.669      1.1979     -1
     5     16      3762.6      4701.8   Coal      0     -1       60040065        2732.59  4.5512775e-05      10985.926      1.2596     -1
     5     16      3762.6      4701.8   Coal      1     -1  1.6138808e+08        5082.18   3.149043e-05       15877.84      1.2776     -1
     5     17      4701.8      5875.5   Coal      0     -1       76091360        3048.27  4.0060659e-05      12481.073      1.3222     -1
     5     17      4701.8      5875.5   Coal      1     -1  2.3455504e+08        7839.41  3.3422475e-05      14959.993      1.3392     -1
     5     18      5875.5      7342.1   Coal      0     -1   1.006577e+08        2586.23  2.5693314e-05      19460.316      1.4616     -1
     5     18      5875.5      7342.1   Coal      1     -1  3.3183517e+08        9168.19  2.7628747e-05      18097.093      1.4733     -1
     5     19      7342.1      9174.7   Coal      0     -1  1.3998185e+08        2395.49  1.7112862e-05       29217.79      1.5742     -1
     5     19      7342.1      9174.7   Coal      1     -1  4.7253015e+08       10109.32  2.1394021e-05      23371.016      1.5833     -1
     5     20      9174.7       11465   Coal      0     -1   1.981096e+08         2654.4  1.3398644e-05      37317.209       1.917     -1
     5     20      9174.7       11465   Coal      1     -1  6.7674968e+08        11993.6  1.7722358e-05       28212.95      1.9282     -1
     5     21       11465       14327   Coal      0     -1  1.9712715e+09       36885.94   1.871175e-05      26721.178      2.1185     -1
     5     21       11465       14327   Coal      1     -1            100      1.6351968    0.016351968      30.577359           1     -1
     5     22       14327       17903   Coal      0     -1  2.3040372e+09       38905.91  1.6885973e-05      29610.376      2.4386     -1
     5     22       14327       17903   Coal      1     -1            100      1.6352531    0.016352531      30.576307           1     -1
     5     23       17903       22372   Coal      0     -1  2.6472807e+09       49881.14  1.8842407e-05      26535.888      2.6915     -1
     5     23       17903       22372   Coal      1     -1            100      1.6355348    0.016355348       30.57104           1     -1
     5     24       22372       27956   Coal      0     -1  2.8264087e+09       61293.66  2.1686057e-05      23056.289      3.1752     -1
     5     24       22372       27956   Coal      1     -1            100      1.6358329    0.016358329      30.565469           1     -1
