  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     5      0           0         133   Coal      0     -1       477425.3      10.405806  2.1795674e-05      22940.332      1.0132     -1
     5      1         133       166.2   Coal      0     -1      240044.39      1.0189804  4.2449664e-06      117786.56      1.0236     -1
     5      2       166.2      207.68   Coal      0     -1      367970.98      4.1982626  1.1409222e-05      43824.197       1.036     -1
     5      3      207.68      259.53   Coal      0     -1      564224.65      12.682222  2.2477255e-05      22244.709      1.0669     -1
     5      4      259.53      324.31   Coal      0     -1      871374.74      5.4876878  6.2977357e-06      79393.614      1.1197     -1
     5      5      324.31      405.26   Coal      0     -1      1375993.1      16.371212  1.1897743e-05      42024.778      1.1922     -1
     5      6      405.26      506.42   Coal      0     -1      2147451.2      33.812649  1.5745479e-05      31755.146      1.1815     -1
     5      7      506.42      632.82   Coal      0     -1      3317686.9      63.776051  1.9223047e-05      26010.445       1.389     -1
     5      8      632.82      790.79   Coal      0     -1      5054047.4      141.72386  2.8041656e-05      17830.616      1.4279     -1
     5      9      790.79      988.18   Coal      0     -1      7752887.7         155.74  2.0087999e-05      24890.483      1.5559     -1
     5     10      988.18      1234.8   Coal      0     -1       11731366         321.46  2.7401754e-05      18247.007      1.9349     -1
     5     11      1234.8      1543.1   Coal      0     -1       17683049         450.67  2.5485989e-05      19618.622      2.1182     -1
     5     12      1543.1      1928.2   Coal      0     -1       26710787         631.17  2.3629779e-05       21159.74      2.2737     -1
     5     13      1928.2      2409.6   Coal      0     -1       39993072         980.06  2.4505745e-05      20403.379      2.8856     -1
     5     14      2409.6        3011   Coal      0     -1       59220284        1573.62  2.6572314e-05      18816.577      3.3825     -1
     5     15        3011      3762.6   Coal      0     -1       86780513        2126.87  2.4508613e-05      20400.991      4.1234     -1
     5     16      3762.6      4701.8   Coal      0     -1  1.2574658e+08        3229.89  2.5685708e-05      19466.078      4.2677     -1
     5     17      4701.8      5875.5   Coal      0     -1  1.7860213e+08           4716  2.6405061e-05      18935.764      5.1044     -1
     5     18      5875.5      7342.1   Coal      0     -1  2.5309998e+08        5368.74  2.1211934e-05      23571.637       5.744     -1
     5     19      7342.1      9174.7   Coal      0     -1  3.6280068e+08        6104.59  1.6826291e-05      29715.401      8.4804     -1
     5     20      9174.7       11465   Coal      0     -1  5.2274259e+08        7486.79  1.4322135e-05      34910.996       9.892     -1
     5     21       11465       14327   Coal      0     -1  7.4743555e+08        10167.9  1.3603715e-05      36754.667      10.823     -1
     5     22       14327       17903   Coal      0     -1  1.0352698e+09       15594.94  1.5063648e-05       33192.49       11.55     -1
     5     23       17903       22372   Coal      0     -1  1.3480034e+09       24569.17  1.8226341e-05      27432.824      15.467     -1
     5     24       22372       27956   Coal      0     -1  1.6241036e+09       35133.94   2.163282e-05       23113.03      17.096     -1
     5     25       27956       34934   Coal      0     -1  1.7819567e+09       46730.35  2.6224178e-05      19066.375      19.374     -1
     5     26       34934       43654   Coal      0     -1  1.7924523e+09       53156.12  2.9655528e-05      16860.263      22.783     -1
     5     27       43654       54551   Coal      0     -1  1.6623874e+09       56532.04  3.4006537e-05      14703.055      24.923     -1
     5     28       54551       68167   Coal      0     -1  1.4456987e+09       50983.23   3.526546e-05      14178.179      25.598     -1
     5     29       68167       85183   Coal      0     -1  1.2220217e+09       40847.14  3.3425872e-05      14958.473       25.89     -1
     5     30       85183  1.0645e+05   Coal      0     -1   1.203121e+09       22648.78  1.8825022e-05      26560.393      25.215     -1
     5     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.2289994e+09       23593.26  1.9197129e-05      26045.561       27.09     -1
     5     32  1.3302e+05       1e+99   Coal      0     -1  2.5255451e+09       50456.19  1.9978336e-05      25027.109      26.222     -1
     5     -1           0       1e+99  Delay     -1     -1  9.9999937e+08              0              0              0           1     -1
     5     -1           0       1e+99   LogL     -1     -1              1      -18167679      -18167679              0           1     -1
     5     -1           0       1e+99 Recomb     -1     -1           3300   9.900001e-06  3.0000003e-09              0           1     -1
     5     -1           0       1e+99 Resamp     -1     -1  9.9999937e+08        1169222   0.0011692227              0           1     -1
     4      0           0         133   Coal      0     -1      480874.21      10.131152  2.1068195e-05      23732.456      1.0145     -1
     4      1         133       166.2   Coal      0     -1      238541.04      1.1205366  4.6974583e-06      106440.54      1.0351     -1
     4      2       166.2      207.68   Coal      0     -1      367199.23      4.0011909  1.0896512e-05      45886.243      1.0276     -1
     4      3      207.68      259.53   Coal      0     -1       572550.5      11.772993  2.0562366e-05      24316.268      1.0583     -1
     4      4      259.53      324.31   Coal      0     -1      887424.11      5.7353385  6.4629059e-06       77364.58      1.1059     -1
     4      5      324.31      405.26   Coal      0     -1      1355640.5      23.182371  1.7100678e-05      29238.608      1.1684     -1
     4      6      405.26      506.42   Coal      0     -1      2089870.6      30.927461  1.4798745e-05       33786.65      1.2343     -1
     4      7      506.42      632.82   Coal      0     -1      3221160.9      63.643238  1.9757858e-05      25306.387      1.3451     -1
     4      8      632.82      790.79   Coal      0     -1      4924126.5       132.6499  2.6938767e-05      18560.612      1.5578     -1
     4      9      790.79      988.18   Coal      0     -1      7550647.9      162.21222  2.1483219e-05       23273.98      1.6135     -1
     4     10      988.18      1234.8   Coal      0     -1       11476039         318.98  2.7795305e-05       17988.65       1.802     -1
     4     11      1234.8      1543.1   Coal      0     -1       17341588         481.47  2.7763893e-05      18009.002      2.1292     -1
     4     12      1543.1      1928.2   Coal      0     -1       26159877         656.33  2.5089185e-05      19928.905      2.2723     -1
     4     13      1928.2      2409.6   Coal      0     -1       39321004         969.25  2.4649675e-05      20284.243      2.6634     -1
     4     14      2409.6        3011   Coal      0     -1       58369033        1545.31  2.6474826e-05      18885.865      3.1865     -1
     4     15        3011      3762.6   Coal      0     -1       85741356        2150.95  2.5086494e-05      19931.043      3.9379     -1
     4     16      3762.6      4701.8   Coal      0     -1  1.2423204e+08        3301.48  2.6575109e-05      18814.599      4.3019     -1
     4     17      4701.8      5875.5   Coal      0     -1  1.7659214e+08         4818.4  2.7285472e-05       18324.77      4.9376     -1
     4     18      5875.5      7342.1   Coal      0     -1  2.5040912e+08        5365.82  2.1428213e-05      23333.723      6.3467     -1
     4     19      7342.1      9174.7   Coal      0     -1  3.6012868e+08        6029.76  1.6743349e-05      29862.605      7.0182     -1
     4     20      9174.7       11465   Coal      0     -1  5.1970856e+08        7447.76  1.4330647e-05      34890.259      9.0079     -1
     4     21       11465       14327   Coal      0     -1  7.4348458e+08       10071.45   1.354628e-05      36910.504      10.847     -1
     4     22       14327       17903   Coal      0     -1  1.0317797e+09       15389.62  1.4915606e-05      33521.936      13.097     -1
     4     23       17903       22372   Coal      0     -1  1.3485862e+09       24344.13  1.8051594e-05      27698.385      15.007     -1
     4     24       22372       27956   Coal      0     -1  1.6289455e+09       34971.89  2.1469036e-05      23289.355      16.327     -1
     4     25       27956       34934   Coal      0     -1  1.7906204e+09       46619.02  2.6035121e-05      19204.827      20.287     -1
     4     26       34934       43654   Coal      0     -1  1.8055954e+09       53253.67  2.9493689e-05      16952.779      23.111     -1
     4     27       43654       54551   Coal      0     -1  1.6714142e+09       56910.11  3.4049077e-05      14684.686      25.776     -1
     4     28       54551       68167   Coal      0     -1  1.4450415e+09       51375.82  3.5553179e-05       14063.44      26.312     -1
     4     29       68167       85183   Coal      0     -1  1.2125423e+09       41026.81  3.3835365e-05      14777.438      28.279     -1
     4     30       85183  1.0645e+05   Coal      0     -1  1.1905086e+09       22684.02  1.9054058e-05      26241.129      26.103     -1
     4     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.2134046e+09       23476.15  1.9347339e-05      25843.348      27.477     -1
     4     32  1.3302e+05       1e+99   Coal      0     -1  2.4826474e+09       49821.97  2.0068081e-05      24915.187      25.715     -1
