  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     5      0           0         133   Coal      0     -1      475026.52      14.095342  2.9672748e-05      16850.478      1.0144     -1
     5      1         133       166.2   Coal      0     -1      242041.21      2.0001342  8.2636101e-06      60506.243      1.0278     -1
     5      2       166.2      207.68   Coal      0     -1      368843.75      27.938661  7.5746603e-05       6600.956      1.0549     -1
     5      3      207.68      259.53   Coal      0     -1      571287.83      4.0906866  7.1604652e-06      69827.865      1.0525     -1
     5      4      259.53      324.31   Coal      0     -1      881143.25      3.3007002  3.7459292e-06      133478.23      1.0856     -1
     5      5      324.31      405.26   Coal      0     -1      1355534.7      20.545342  1.5156633e-05      32988.857       1.168     -1
     5      6      405.26      506.42   Coal      0     -1      2072516.8      46.279324  2.2330011e-05       22391.39      1.2834     -1
     5      7      506.42      632.82   Coal      0     -1      3184746.9      77.570691  2.4356941e-05       20528.03      1.3253     -1
     5      8      632.82      790.79   Coal      0     -1        4828698       201.4231  4.1713749e-05      11986.456      1.4128     -1
     5      9      790.79      988.18   Coal      0     -1      7305545.3         204.01  2.7925362e-05      17904.871      1.5511     -1
     5     10      988.18      1234.8   Coal      0     -1       11114990          294.3  2.6477756e-05      18883.776      1.8602     -1
     5     11      1234.8      1543.1   Coal      0     -1       16927865         399.81  2.3618455e-05      21169.886      2.0995     -1
     5     12      1543.1      1928.2   Coal      0     -1       25754873          523.7  2.0334016e-05      24589.338      2.6501     -1
     5     13      1928.2      2409.6   Coal      0     -1       38935902         780.95  2.0057324e-05       24928.55      2.8357     -1
     5     14      2409.6        3011   Coal      0     -1       58549657        1130.33  1.9305493e-05      25899.364      3.2909     -1
     5     15        3011      3762.6   Coal      0     -1       87656946         1679.6   1.916106e-05       26094.59       4.023     -1
     5     16      3762.6      4701.8   Coal      0     -1  1.2939662e+08        2742.29  2.1192904e-05      23592.803      4.4847     -1
     5     17      4701.8      5875.5   Coal      0     -1  1.8633897e+08        4410.07  2.3666923e-05      21126.532      5.4397     -1
     5     18      5875.5      7342.1   Coal      0     -1  2.6659241e+08        4973.81  1.8656983e-05      26799.617      6.5051     -1
     5     19      7342.1      9174.7   Coal      0     -1   3.842736e+08        5986.79  1.5579499e-05      32093.459      7.7337     -1
     5     20      9174.7       11465   Coal      0     -1  5.5149175e+08        7738.08   1.403118e-05      35634.922        9.77     -1
     5     21       11465       14327   Coal      0     -1  7.8338886e+08       10529.73  1.3441256e-05      37198.906      11.345     -1
     5     22       14327       17903   Coal      0     -1  1.0807356e+09       15899.92  1.4712128e-05      33985.567      12.937     -1
     5     23       17903       22372   Coal      0     -1  1.3999001e+09       25799.33  1.8429408e-05      27130.551      15.329     -1
     5     24       22372       27956   Coal      0     -1  1.6725571e+09       36340.57  2.1727551e-05      23012.257      16.967     -1
     5     25       27956       34934   Coal      0     -1  1.8257678e+09       47912.65  2.6242467e-05      19053.087      21.184     -1
     5     26       34934       43654   Coal      0     -1   1.828925e+09       54307.38  2.9693607e-05      16838.641      22.904     -1
     5     27       43654       54551   Coal      0     -1  1.6888647e+09        57661.4  3.4142108e-05      14644.673      25.643     -1
     5     28       54551       68167   Coal      0     -1  1.4623547e+09       51752.22  3.5389649e-05      14128.425      26.008     -1
     5     29       68167       85183   Coal      0     -1  1.2323434e+09       41531.46  3.3701206e-05      14836.264      29.008     -1
     5     30       85183  1.0645e+05   Coal      0     -1    1.21136e+09          22823  1.8840807e-05      26538.141      29.419     -1
     5     31  1.0645e+05  1.3302e+05   Coal      0     -1    1.24291e+09       23755.71  1.9112977e-05      26160.237      31.805     -1
     5     32  1.3302e+05       1e+99   Coal      0     -1  2.5594751e+09       51222.93  2.0013061e-05      24983.685      27.345     -1
     5     -1           0       1e+99  Delay     -1     -1  9.9999982e+08              0              0              0           1     -1
     5     -1           0       1e+99   LogL     -1     -1              1      -18425625      -18425625              0           1     -1
     5     -1           0       1e+99 Recomb     -1     -1           3300   9.900001e-06  3.0000003e-09              0           1     -1
     5     -1           0       1e+99 Resamp     -1     -1  9.9999982e+08        1182201   0.0011822012              0           1     -1
     4      0           0         133   Coal      0     -1      479538.68      11.066446  2.3077275e-05      21666.336      1.0115     -1
     4      1         133       166.2   Coal      0     -1      243531.42  0.00013173369  5.4093098e-10  9.2433234e+08      1.0236     -1
     4      2       166.2      207.68   Coal      0     -1      372333.77       19.43226  5.2190432e-05         9580.3      1.0346     -1
     4      3      207.68      259.53   Coal      0     -1      568871.86      5.4304871  9.5460639e-06      52377.609      1.0566     -1
     4      4      259.53      324.31   Coal      0     -1      873020.82       3.028799  3.4693319e-06      144119.97      1.0678     -1
     4      5      324.31      405.26   Coal      0     -1      1358570.1      17.407497  1.2813102e-05      39022.557      1.1354     -1
     4      6      405.26      506.42   Coal      0     -1        2068048      49.084687  2.3734791e-05      21066.122      1.3056     -1
     4      7      506.42      632.82   Coal      0     -1      3163631.7      91.046627  2.8779148e-05       17373.69      1.3914     -1
     4      8      632.82      790.79   Coal      0     -1        4809866      181.29055  3.7691393e-05      13265.628       1.403     -1
     4      9      790.79      988.18   Coal      0     -1      7350243.6       196.2997  2.6706557e-05      18721.994      1.5587     -1
     4     10      988.18      1234.8   Coal      0     -1       11156167         293.06  2.6268878e-05      19033.931      1.7765     -1
     4     11      1234.8      1543.1   Coal      0     -1       16994651          414.7  2.4401796e-05      20490.295      2.1251     -1
     4     12      1543.1      1928.2   Coal      0     -1       25798429         537.57  2.0837315e-05      23995.414      2.6466     -1
     4     13      1928.2      2409.6   Coal      0     -1       38918200         806.09  2.0712417e-05      24140.108      2.9124     -1
     4     14      2409.6        3011   Coal      0     -1       58427468        1194.45  2.0443295e-05      24457.896      3.2834     -1
     4     15        3011      3762.6   Coal      0     -1       86849897        1775.54  2.0443778e-05      24457.319      3.4953     -1
     4     16      3762.6      4701.8   Coal      0     -1  1.2816439e+08        2790.22  2.1770634e-05      22966.718      4.5303     -1
     4     17      4701.8      5875.5   Coal      0     -1  1.8416879e+08         4464.4  2.4240807e-05      20626.376       5.379     -1
     4     18      5875.5      7342.1   Coal      0     -1  2.6327476e+08        5053.84  1.9196067e-05      26047.002      6.2254     -1
     4     19      7342.1      9174.7   Coal      0     -1  3.7991208e+08        5976.15   1.573035e-05      31785.688      8.0389     -1
     4     20      9174.7       11465   Coal      0     -1  5.4739613e+08        7663.77   1.400041e-05      35713.241      8.5626     -1
     4     21       11465       14327   Coal      0     -1  7.7925904e+08       10416.05  1.3366608e-05      37406.649      10.555     -1
     4     22       14327       17903   Coal      0     -1  1.0778664e+09       15748.48   1.461079e-05      34221.284      13.668     -1
     4     23       17903       22372   Coal      0     -1  1.4001237e+09       25474.36  1.8194364e-05      27481.038       14.92     -1
     4     24       22372       27956   Coal      0     -1  1.6785268e+09       36189.48  2.1560264e-05      23190.811      17.455     -1
     4     25       27956       34934   Coal      0     -1  1.8328307e+09       47794.91    2.60771e-05      19173.911      20.167     -1
     4     26       34934       43654   Coal      0     -1  1.8369332e+09       54378.71  2.9602987e-05      16890.187      21.884     -1
     4     27       43654       54551   Coal      0     -1  1.6956029e+09       57964.31  3.4185073e-05      14626.267      24.842     -1
     4     28       54551       68167   Coal      0     -1   1.463234e+09       52141.61  3.5634499e-05      14031.346      25.074     -1
     4     29       68167       85183   Coal      0     -1   1.225462e+09       41733.38  3.4055221e-05      14682.037      25.731     -1
     4     30       85183  1.0645e+05   Coal      0     -1  1.2013491e+09       22877.45  1.9043133e-05      26256.184      25.994     -1
     4     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.2313016e+09       23745.21  1.9284642e-05      25927.368      26.517     -1
     4     32  1.3302e+05       1e+99   Coal      0     -1  2.5262416e+09       50761.21  2.0093569e-05      24883.583      24.434     -1
     4     -1           0       1e+99  Delay     -1     -1  9.9999982e+08              0              0              0           1     -1
     4     -1           0       1e+99   LogL     -1     -1              1      -18425613      -18425613              0           1     -1
     4     -1           0       1e+99 Recomb     -1     -1           3300   9.900001e-06  3.0000003e-09              0           1     -1
     4     -1           0       1e+99 Resamp     -1     -1  9.9999982e+08        1180374   0.0011803742              0           1     -1
     3      0           0         133   Coal      0     -1      497951.09      8.2576903  1.6583336e-05      30150.749      1.0156     -1
     3      1         133       166.2   Coal      0     -1      253143.91   0.0001433668  5.6634505e-10  8.8285402e+08      1.0325     -1
     3      2       166.2      207.68   Coal      0     -1       382680.8      15.337076  4.0077986e-05      12475.677      1.0307     -1
     3      3      207.68      259.53   Coal      0     -1      580730.13      6.0296452   1.038287e-05      48156.244      1.0776     -1
     3      4      259.53      324.31   Coal      0     -1      895193.77      2.2201591  2.4800878e-06      201605.77      1.1036     -1
     3      5      324.31      405.26   Coal      0     -1      1378155.9      18.415497  1.3362419e-05      37418.375      1.1683     -1
     3      6      405.26      506.42   Coal      0     -1        2093594      39.698371  1.8961829e-05      26368.764      1.2931     -1
     3      7      506.42      632.82   Coal      0     -1      3217073.7      80.102961  2.4899324e-05      20080.866      1.4352     -1
     3      8      632.82      790.79   Coal      0     -1      4872573.5      177.87208  3.6504751e-05      13696.847      1.5075     -1
     3      9      790.79      988.18   Coal      0     -1      7363380.8      198.84164  2.7004123e-05      18515.691      1.6329     -1
     3     10      988.18      1234.8   Coal      0     -1       11170072         297.19  2.6605915e-05      18792.814      1.9736     -1
     3     11      1234.8      1543.1   Coal      0     -1       16964627         426.26  2.5126399e-05      19899.389      2.2548     -1
     3     12      1543.1      1928.2   Coal      0     -1       25719264         544.43   2.116818e-05      23620.359      2.4917     -1
     3     13      1928.2      2409.6   Coal      0     -1       38742607         854.66  2.2059951e-05      22665.509      3.0493     -1
     3     14      2409.6        3011   Coal      0     -1       58032015        1228.14  2.1163146e-05      23625.977      3.3636     -1
     3     15        3011      3762.6   Coal      0     -1       86401348        1810.23  2.0951409e-05      23864.743      3.8955     -1
     3     16      3762.6      4701.8   Coal      0     -1   1.270013e+08        2943.53  2.3177165e-05      21572.958      4.5893     -1
     3     17      4701.8      5875.5   Coal      0     -1  1.8227537e+08        4543.22  2.4925035e-05      20060.152      5.1983     -1
     3     18      5875.5      7342.1   Coal      0     -1  2.6033096e+08        5200.54  1.9976649e-05      25029.223      6.2016     -1
     3     19      7342.1      9174.7   Coal      0     -1  3.7518494e+08        5993.16  1.5973882e-05      31301.095      7.4213     -1
     3     20      9174.7       11465   Coal      0     -1   5.423714e+08        7608.24  1.4027731e-05      35643.684      9.2832     -1
     3     21       11465       14327   Coal      0     -1  7.7473449e+08        10316.4  1.3316046e-05      37548.684      10.168     -1
     3     22       14327       17903   Coal      0     -1   1.072874e+09       15615.84  1.4555148e-05      34352.107      13.715     -1
     3     23       17903       22372   Coal      0     -1  1.3978155e+09       25174.69  1.8010023e-05      27762.319      14.777     -1
     3     24       22372       27956   Coal      0     -1  1.6787521e+09        35843.9  2.1351514e-05      23417.543      18.609     -1
     3     25       27956       34934   Coal      0     -1  1.8407844e+09       47553.86  2.5833476e-05      19354.732      20.765     -1
     3     26       34934       43654   Coal      0     -1  1.8502159e+09       54501.83  2.9457011e-05      16973.888      23.333     -1
