  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    20      0           0         133   Coal      0     -1      583993.05  5.9744399e-05  1.0230327e-10  4.8874293e+09      1.0019     -1
    20      0           0         133   Coal      1     -1      575695.03      15.005941  2.6065782e-05      19182.237      1.0015     -1
    20      1         133       166.2   Coal      0     -1      304453.66  0.00011313951  3.7161488e-10   1.345479e+09      1.0021     -1
    20      1         133       166.2   Coal      1     -1      302010.06      10.003731  3.3123833e-05      15094.871      1.0018     -1
    20      2       166.2      207.68   Coal      0     -1      470061.72      1.0151682  2.1596488e-06      231519.12      1.0021     -1
    20      2       166.2      207.68   Coal      1     -1      459336.31      16.006235  3.4846439e-05      14348.668       1.002     -1
    20      3      207.68      259.53   Coal      0     -1       726526.4  4.6456227e-05   6.394293e-11  7.8194727e+09       1.002     -1
    20      3      207.68      259.53   Coal      1     -1      708693.08  0.00019130532    2.69941e-10  1.8522566e+09      1.0023     -1
    20      4      259.53      324.31   Coal      0     -1      1125913.7   2.941453e-05  2.6125031e-11  1.9138733e+10      1.0021     -1
    20      4      259.53      324.31   Coal      1     -1      1082948.5      11.004275  1.0161402e-05      49205.807      1.0023     -1
    20      5      324.31      405.26   Coal      0     -1      1751972.7      19.018828  1.0855664e-05      46058.904       1.002     -1
    20      5      324.31      405.26   Coal      1     -1      1655278.5      23.029782  1.3912935e-05      35937.781      1.0022     -1
    20      6      405.26      506.42   Coal      0     -1        2693604      88.574762  3.2883365e-05      15205.257      1.0022     -1
    20      6      405.26      506.42   Coal      1     -1      2570818.6      22.013855  8.5629751e-06      58390.921      1.0024     -1
    20      7      506.42      632.82   Coal      0     -1      4069060.6      317.44079  7.8013286e-05      6409.1647      1.0026     -1
    20      7      506.42      632.82   Coal      1     -1      3932058.9      59.008109  1.5006924e-05      33317.954      1.0029     -1
    20      8      632.82      790.79   Coal      0     -1        6076969         731.65  0.00012039719      4152.9208      1.0046     -1
    20      8      632.82      790.79   Coal      1     -1      5743004.8       298.2135  5.1926388e-05      9629.0155      1.0044     -1
    20      9      790.79      988.18   Coal      0     -1        8887317         1115.5  0.00012551595      3983.5576      1.0068     -1
    20      9      790.79      988.18   Coal      1     -1      8238811.3      361.39497  4.3864941e-05      11398.625      1.0068     -1
    20     10      988.18      1234.8   Coal      0     -1       13395991        1476.35  0.00011020834      4536.8616      1.0127     -1
    20     10      988.18      1234.8   Coal      1     -1       11237700         702.63  6.2524362e-05      7996.8829      1.0126     -1
    20     11      1234.8      1543.1   Coal      0     -1       22137030        1419.89  6.4140943e-05      7795.3328      1.0271     -1
    20     11      1234.8      1543.1   Coal      1     -1       13516592         974.57  7.2101754e-05       6934.644       1.027     -1
    20     12      1543.1      1928.2   Coal      0     -1       38140128        2583.71  6.7742562e-05      7380.8841      1.0679     -1
    20     12      1543.1      1928.2   Coal      1     -1       14665543         815.08  5.5577895e-05      8996.3825      1.0693     -1
    20     13      1928.2      2409.6   Coal      0     -1       63292307        4508.05  7.1225876e-05      7019.9207      1.0784     -1
    20     13      1928.2      2409.6   Coal      1     -1       14316604         862.14  6.0219586e-05      8302.9464      1.0801     -1
    20     14      2409.6        3011   Coal      0     -1       96477307        6604.69  6.8458482e-05      7303.6968      1.1314     -1
    20     14      2409.6        3011   Coal      1     -1       12972196          775.3  5.9766286e-05      8365.9206      1.1339     -1
    20     15        3011      3762.6   Coal      0     -1   1.311712e+08        7717.53  5.8835552e-05      8498.2631      1.1758     -1
    20     15        3011      3762.6   Coal      1     -1       14603136         880.84  6.0318551e-05      8289.3238       1.185     -1
    20     16      3762.6      4701.8   Coal      0     -1  1.6507826e+08        8179.15  4.9547106e-05      10091.407      1.2726     -1
    20     16      3762.6      4701.8   Coal      1     -1       21586262        1172.48  5.4316029e-05      9205.3858      1.2956     -1
    20     17      4701.8      5875.5   Coal      0     -1  2.1352158e+08        7895.29  3.6976544e-05      13522.086      1.3595     -1
    20     17      4701.8      5875.5   Coal      1     -1       32179703        1700.85  5.2854745e-05      9459.8885      1.3884     -1
    20     18      5875.5      7342.1   Coal      0     -1  2.9852218e+08        6160.68   2.063726e-05      24228.022      1.6491     -1
    20     18      5875.5      7342.1   Coal      1     -1       47721709        1408.53  2.9515498e-05      16940.253      1.6839     -1
    20     19      7342.1      9174.7   Coal      0     -1  4.4804095e+08        4860.86  1.0849142e-05      46086.593      1.9176     -1
    20     19      7342.1      9174.7   Coal      1     -1       73059430        1391.28  1.9043127e-05      26256.192      1.9655     -1
    20     20      9174.7       11465   Coal      0     -1  6.9369253e+08        4540.25  6.5450467e-06      76393.649      1.9982     -1
    20     20      9174.7       11465   Coal      1     -1   1.125555e+08        1649.01  1.4650639e-05      34128.204       2.037     -1
    20     21       11465       14327   Coal      0     -1  1.5220776e+09       47312.26     3.1084e-05      16085.446      2.2079     -1
    20     21       11465       14327   Coal      1     -1            100      6.2147452    0.062147452      8.0453821           1     -1
    20     22       14327       17903   Coal      0     -1  1.7117225e+09       28206.39  1.6478366e-05      30342.815      2.6296     -1
    20     22       14327       17903   Coal      1     -1            100      6.2147965    0.062147965      8.0453157           1     -1
    20     23       17903       22372   Coal      0     -1  2.1204229e+09       36634.65  1.7277049e-05      28940.128      3.1017     -1
    20     23       17903       22372   Coal      1     -1            100      6.2150513    0.062150513      8.0449859           1     -1
    20     24       22372       27956   Coal      0     -1   2.452058e+09       49156.72  2.0047127e-05      24941.229      3.6655     -1
    20     24       22372       27956   Coal      1     -1            100      6.2153211    0.062153211      8.0446367           1     -1
    20     25       27956       34934   Coal      0     -1  2.5302167e+09       65150.32  2.5748909e-05      19418.299        4.09     -1
    20     25       27956       34934   Coal      1     -1            100      6.2157069    0.062157069      8.0441373           1     -1
    20     26       34934       43654   Coal      0     -1  2.3237602e+09       72115.21  3.1033843e-05      16111.443      4.3702     -1
