  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    20      0           0         133   Coal      0     -1      533060.79  6.0541417e-05  1.1357319e-10  4.4024473e+09      1.0012     -1
    20      0           0         133   Coal      1     -1      550410.24  6.1685656e-05  1.1207214e-10  4.4614119e+09      1.0011     -1
    20      1         133       166.2   Coal      0     -1      271114.85   0.0028442838  1.0491066e-08       47659600      1.0017     -1
    20      1         133       166.2   Coal      1     -1      284023.89      9.0019552  3.1694359e-05      15775.678      1.0015     -1
    20      2       166.2      207.68   Coal      0     -1       416496.1      1.0095226  2.4238466e-06      206283.69      1.0016     -1
    20      2       166.2      207.68   Coal      1     -1      430221.07      18.009297  4.1860565e-05      11944.416      1.0016     -1
    20      3      207.68      259.53   Coal      0     -1      644850.88  0.00095298019  1.4778303e-09  3.3833383e+08      1.0017     -1
    20      3      207.68      259.53   Coal      1     -1      655523.47       54.01261   8.239615e-05      6068.2447      1.0019     -1
    20      4      259.53      324.31   Coal      0     -1      1022759.4      1.0164294   9.938109e-07      503113.82      1.0017     -1
    20      4      259.53      324.31   Coal      1     -1      1005329.7      1.0008862  9.9558012e-07      502219.75       1.002     -1
    20      5      324.31      405.26   Coal      0     -1      1599470.1      5.0011318   3.126743e-06      159910.81      1.0019     -1
    20      5      324.31      405.26   Coal      1     -1      1541924.6      32.034653  2.0775759e-05       24066.51      1.0023     -1
    20      6      405.26      506.42   Coal      0     -1      2484747.8      39.015209  1.5701879e-05      31843.323      1.0022     -1
    20      6      405.26      506.42   Coal      1     -1      2382214.5         38.024  1.5961619e-05      31325.144      1.0028     -1
    20      7      506.42      632.82   Coal      0     -1      3814628.7      127.39507  3.3396454e-05      14971.649      1.0035     -1
    20      7      506.42      632.82   Coal      1     -1      3671084.4      68.460844  1.8648671e-05      26811.563      1.0047     -1
    20      8      632.82      790.79   Coal      0     -1      5662649.8      436.75283  7.7128703e-05       6482.671      1.0049     -1
    20      8      632.82      790.79   Coal      1     -1      5559589.3      261.10069  4.6964024e-05      10646.447      1.0057     -1
    20      9      790.79      988.18   Coal      0     -1      7982327.3        1016.92  0.00012739643      3924.7568       1.007     -1
    20      9      790.79      988.18   Coal      1     -1      8401255.6      246.56378  2.9348444e-05      17036.679      1.0076     -1
    20     10      988.18      1234.8   Coal      0     -1       11024695        1212.53  0.00010998309      4546.1535      1.0177     -1
    20     10      988.18      1234.8   Coal      1     -1       12781134      268.85399  2.1035222e-05      23769.656      1.0192     -1
    20     11      1234.8      1543.1   Coal      0     -1       14834006        2067.97  0.00013940739      3586.6105      1.0192     -1
    20     11      1234.8      1543.1   Coal      1     -1       19443057         493.35  2.5374096e-05      19705.136      1.0212     -1
    20     12      1543.1      1928.2   Coal      0     -1       20180048        1817.21  9.0049836e-05      5552.4809      1.0413     -1
    20     12      1543.1      1928.2   Coal      1     -1       29306128         762.59   2.602152e-05      19214.865      1.0469     -1
    20     13      1928.2      2409.6   Coal      0     -1       27695799        2600.94  9.3910995e-05      5324.1902      1.0658     -1
    20     13      1928.2      2409.6   Coal      1     -1       43678295         1382.5  3.1651876e-05      15796.852      1.0763     -1
    20     14      2409.6        3011   Coal      0     -1       38165154        2560.88  6.7099952e-05      7451.5702      1.0966     -1
    20     14      2409.6        3011   Coal      1     -1       64004795        1929.62  3.0148054e-05      16584.819      1.1126     -1
    20     15        3011      3762.6   Coal      0     -1       53910463        3137.78  5.8203544e-05      8590.5422      1.2059     -1
    20     15        3011      3762.6   Coal      1     -1       90739347        3350.75    3.69272e-05      13540.155      1.2339     -1
    20     16      3762.6      4701.8   Coal      0     -1       76929377        3494.85  4.5429329e-05      11006.106      1.2381     -1
    20     16      3762.6      4701.8   Coal      1     -1  1.2585963e+08        4515.28  3.5875524e-05      13937.079       1.264     -1
    20     17      4701.8      5875.5   Coal      0     -1  1.1152434e+08        3802.44  3.4095159e-05      14664.838      1.3954     -1
    20     17      4701.8      5875.5   Coal      1     -1  1.6870043e+08        6476.06  3.8387928e-05      13024.928      1.4225     -1
    20     18      5875.5      7342.1   Coal      0     -1  1.6566487e+08        4372.58  2.6394129e-05      18943.607      1.5168     -1
    20     18      5875.5      7342.1   Coal      1     -1  2.2257681e+08        7097.41  3.1887464e-05      15680.143      1.5393     -1
    20     19      7342.1      9174.7   Coal      0     -1  2.4562814e+08        5786.53  2.3558091e-05      21224.131      1.7254     -1
    20     19      7342.1      9174.7   Coal      1     -1  2.9334631e+08        8530.99  2.9081634e-05      17192.982      1.7438     -1
    20     20      9174.7       11465   Coal      0     -1  3.7114866e+08        7678.39  2.0688179e-05      24168.391      1.9361     -1
    20     20      9174.7       11465   Coal      1     -1  3.7000226e+08        9866.07  2.6664891e-05      18751.248      1.9537     -1
    20     21       11465       14327   Coal      0     -1  1.8883902e+09       30031.81  1.5903392e-05      31439.834      2.1541     -1
    20     21       11465       14327   Coal      1     -1            100      6.2231909    0.062231909      8.0344635           1     -1
    20     22       14327       17903   Coal      0     -1  2.3075912e+09       36571.27  1.5848245e-05      31549.235      2.3528     -1
    20     22       14327       17903   Coal      1     -1            100      6.2232421    0.062232421      8.0343974           1     -1
    20     23       17903       22372   Coal      0     -1  2.6735437e+09       49674.26  1.8579932e-05      26910.755      2.8595     -1
    20     23       17903       22372   Coal      1     -1            100       6.223497     0.06223497      8.0340683           1     -1
    20     24       22372       27956   Coal      0     -1  2.8406266e+09       62630.52  2.2048135e-05      22677.655      3.3124     -1
    20     24       22372       27956   Coal      1     -1            100      6.2237669    0.062237669      8.0337199           1     -1
    20     25       27956       34934   Coal      0     -1  2.7464286e+09        73241.8  2.6668016e-05      18749.052      3.7413     -1
