  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     5      0           0         133   Coal      0     -1       484129.5      2.1239108  4.3870716e-06      113971.24       1.015     -1
     5      1         133       166.2   Coal      0     -1      245143.38       7.071079  2.8844667e-05      17334.227       1.027     -1
     5      2       166.2      207.68   Coal      0     -1       374405.8      4.0102924  1.0711085e-05      46680.612      1.0351     -1
     5      3      207.68      259.53   Coal      0     -1      572203.48      16.455645   2.875838e-05      17386.237      1.0641     -1
     5      4      259.53      324.31   Coal      0     -1      880170.56      4.9025329  5.5699806e-06       89766.92      1.1181     -1
     5      5      324.31      405.26   Coal      0     -1        1368804      20.813777  1.5205812e-05      32882.163      1.1265     -1
     5      6      405.26      506.42   Coal      0     -1        2106651      41.241773  1.9576937e-05      25540.257      1.2498     -1
     5      7      506.42      632.82   Coal      0     -1      3250986.3      58.789421  1.8083565e-05      27649.416      1.4662     -1
     5      8      632.82      790.79   Coal      0     -1      4973809.8      143.68002  2.8887317e-05      17308.634      1.4264     -1
     5      9      790.79      988.18   Coal      0     -1        7531552      240.38921  3.1917619e-05      15665.329      1.6386     -1
     5     10      988.18      1234.8   Coal      0     -1       11382295         363.92  3.1972461e-05      15638.458      1.7412     -1
     5     11      1234.8      1543.1   Coal      0     -1       17071366         532.81  3.1210743e-05      16020.125      2.1745     -1
     5     12      1543.1      1928.2   Coal      0     -1       25515409         758.79    2.97385e-05      16813.222      2.4064     -1
     5     13      1928.2      2409.6   Coal      0     -1       38003502        1062.74  2.7964265e-05      17879.962      2.7467     -1
     5     14      2409.6        3011   Coal      0     -1       56348514         1496.3  2.6554382e-05      18829.284      2.9662     -1
     5     15        3011      3762.6   Coal      0     -1       83114661        2050.77  2.4673986e-05      20264.257      3.9754     -1
     5     16      3762.6      4701.8   Coal      0     -1   1.220173e+08        2740.32  2.2458455e-05      22263.331      4.5619     -1
     5     17      4701.8      5875.5   Coal      0     -1  1.7579971e+08        4333.07  2.4647765e-05      20285.815      5.7069     -1
     5     18      5875.5      7342.1   Coal      0     -1  2.5175049e+08        5019.75  1.9939385e-05      25075.999      6.3393     -1
     5     19      7342.1      9174.7   Coal      0     -1  3.6411115e+08        5758.32  1.5814731e-05      31616.092      7.8427     -1
     5     20      9174.7       11465   Coal      0     -1  5.2748909e+08        7221.39  1.3690122e-05      36522.684      8.2138     -1
     5     21       11465       14327   Coal      0     -1  7.5547838e+08       10012.87  1.3253682e-05      37725.366      10.264     -1
     5     22       14327       17903   Coal      0     -1  1.0476321e+09       15269.79  1.4575527e-05      34304.076       12.37     -1
     5     23       17903       22372   Coal      0     -1  1.3670096e+09       24829.99  1.8163727e-05       27527.39      14.761     -1
     5     24       22372       27956   Coal      0     -1  1.6437688e+09        35512.1  2.1604072e-05      23143.785      18.181     -1
     5     25       27956       34934   Coal      0     -1  1.8030064e+09       46870.92  2.5995981e-05      19233.742      19.985     -1
     5     26       34934       43654   Coal      0     -1  1.8122591e+09       53758.09  2.9663578e-05      16855.688       23.28     -1
     5     27       43654       54551   Coal      0     -1   1.676439e+09       57008.67  3.4005813e-05      14703.369      26.854     -1
     5     28       54551       68167   Coal      0     -1  1.4532058e+09       51319.34  3.5314571e-05      14158.462       24.81     -1
     5     29       68167       85183   Coal      0     -1  1.2231676e+09       41152.08  3.3643861e-05      14861.552      28.898     -1
     5     30       85183  1.0645e+05   Coal      0     -1  1.2003564e+09       22728.71  1.8934968e-05       26406.17       26.97     -1
     5     31  1.0645e+05  1.3302e+05   Coal      0     -1  1.2225101e+09       23644.77  1.9341165e-05      25851.597      28.695     -1
     5     32  1.3302e+05       1e+99   Coal      0     -1  2.4821878e+09       49958.03  2.0126611e-05      24842.731      26.658     -1
     5     -1           0       1e+99  Delay     -1     -1  9.9999984e+08              0              0              0           1     -1
     5     -1           0       1e+99   LogL     -1     -1              1      -18026501      -18026501              0           1     -1
     5     -1           0       1e+99 Recomb     -1     -1           3300   9.900001e-06  3.0000003e-09              0           1     -1
     5     -1           0       1e+99 Resamp     -1     -1  9.9999984e+08        1139552   0.0011395522              0           1     -1
     4      0           0         133   Coal      0     -1      463668.47      8.7332231  1.8835059e-05       26546.24      1.0138     -1
     4      1         133       166.2   Coal      0     -1      237893.22      5.5501436  2.3330398e-05      21431.267      1.0241     -1
     4      2       166.2      207.68   Coal      0     -1      361565.17      4.6847288  1.2956803e-05      38589.766      1.0416     -1
     4      3      207.68      259.53   Coal      0     -1      561273.95      11.555137  2.0587338e-05      24286.772      1.0498     -1
     4      4      259.53      324.31   Coal      0     -1      875430.49      2.1910308  2.5028039e-06      199775.94      1.0836     -1
     4      5      324.31      405.26   Coal      0     -1      1356913.6      18.838568  1.3883395e-05      36014.245      1.1709     -1
