  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
     5      0           0         133   Coal      0     -1       493101.5      11.876203  2.4084702e-05      20760.066      1.0137     -1
     5      1         133       166.2   Coal      0     -1      249455.93  0.00027434331  1.0997666e-09  4.5464191e+08      1.0197     -1
     5      2       166.2      207.68   Coal      0     -1      384137.96      3.4911893  9.0883735e-06      55015.344      1.0434     -1
     5      3      207.68      259.53   Coal      0     -1      593783.97      3.7102362  6.2484614e-06      80019.699      1.0467     -1
     5      4      259.53      324.31   Coal      0     -1      913753.83      31.020818  3.3948769e-05      14728.074      1.1009     -1
     5      5      324.31      405.26   Coal      0     -1      1397768.1      15.535655  1.1114616e-05       44985.81      1.2388     -1
     5      6      405.26      506.42   Coal      0     -1      2146434.8      28.806162  1.3420469e-05      37256.522      1.2192     -1
     5      7      506.42      632.82   Coal      0     -1      3272562.7       63.31402  1.9346923e-05      25843.903      1.2948     -1
     5      8      632.82      790.79   Coal      0     -1      5029548.5      103.10719  2.0500287e-05      24389.903      1.3981     -1
     5      9      790.79      988.18   Coal      0     -1      7690884.4         228.29  2.9683192e-05       16844.55      1.6461     -1
     5     10      988.18      1234.8   Coal      0     -1       11672190         313.05   2.682016e-05      18642.692      2.0701     -1
     5     11      1234.8      1543.1   Coal      0     -1       17712939         414.54  2.3403231e-05      21364.572      2.0086     -1
     5     12      1543.1      1928.2   Coal      0     -1       26715559         760.73  2.8475167e-05       17559.16      2.2211     -1
     5     13      1928.2      2409.6   Coal      0     -1       39758744        1179.24  2.9659891e-05      16857.783      2.7862     -1
     5     14      2409.6        3011   Coal      0     -1       58160778         1815.6  3.1216914e-05      16016.958      3.0725     -1
     5     15        3011      3762.6   Coal      0     -1       83455444         2600.9  3.1165133e-05       16043.57         4.1     -1
     5     16      3762.6      4701.8   Coal      0     -1  1.1821421e+08        3874.61  3.2776178e-05      15254.982      4.8709     -1
     5     17      4701.8      5875.5   Coal      0     -1  1.6455652e+08        5373.39  3.2653766e-05      15312.169      4.9836     -1
     5     18      5875.5      7342.1   Coal      0     -1  2.2984939e+08        5677.84  2.4702437e-05      20240.918      5.8254     -1
     5     19      7342.1      9174.7   Coal      0     -1  3.2871842e+08        6019.85   1.831309e-05      27302.875      7.5522     -1
     5     20      9174.7       11465   Coal      0     -1  4.7537501e+08        7185.39  1.5115204e-05      33079.277      9.1284     -1
     5     21       11465       14327   Coal      0     -1  6.8325732e+08        9581.03  1.4022579e-05      35656.778      11.383     -1
     5     22       14327       17903   Coal      0     -1  9.5525042e+08       14368.97  1.5042098e-05      33240.045      13.311     -1
     5     23       17903       22372   Coal      0     -1  1.2587304e+09       23039.52  1.8303777e-05      27316.767      13.911     -1
     5     24       22372       27956   Coal      0     -1  1.5304053e+09       33096.08  2.1625696e-05      23120.643      18.494     -1
     5     25       27956       34934   Coal      0     -1  1.7020603e+09       44072.23   2.589346e-05      19309.895      18.697     -1
     5     26       34934       43654   Coal      0     -1  1.7331124e+09        51306.5  2.9603677e-05      16889.794      22.666     -1
     5     27       43654       54551   Coal      0     -1  1.6110375e+09        55000.4   3.413974e-05      14645.689      25.544     -1
     5     28       54551       68167   Coal      0     -1  1.3978325e+09       49694.84  3.5551354e-05      14064.162       26.26     -1
     5     29       68167       85183   Coal      0     -1  1.1727208e+09       39721.12   3.387091e-05       14761.93      24.079     -1
     5     30       85183  1.0645e+05   Coal      0     -1  1.1433156e+09       21744.75  1.9019026e-05      26289.463      26.682     -1
