  Iter  Epoch       Start         End   Type   From     To            Opp          Count           Rate             Ne         ESS  Clump
    20      0           0         133   Coal      0     -1      113422.07     0.46242777  4.0770528e-06      122637.61      1.3774     -1
    20      1         133       166.2   Coal      0     -1       58860.74      0.7018644  1.1924152e-05      41931.704      2.0293     -1
    20      2       166.2      207.68   Coal      0     -1       91679.75     0.42995792  4.6897807e-06      106614.79      2.0199     -1
    20      3      207.68      259.53   Coal      0     -1      143868.26     0.55590463  3.8639839e-06      129400.13      2.7486     -1
    20      4      259.53      324.31   Coal      0     -1      226338.84     0.36421735  1.6091686e-06      310719.47      3.1184     -1
    20      5      324.31      405.26   Coal      0     -1      351223.57      1.2736264  3.6262555e-06      137883.28       3.682     -1
    20      6      405.26      506.42   Coal      0     -1      545139.38      6.7913551  1.2458016e-05      40134.802      4.3628     -1
    20      7      506.42      632.82   Coal      0     -1      848782.39      10.754313  1.2670283e-05      39462.418      5.6589     -1
    20      8      632.82      790.79   Coal      0     -1      1300331.5          86.95  6.6867563e-05      7477.4671      6.0618     -1
    20      9      790.79      988.18   Coal      0     -1      1975780.5         172.91  8.7514783e-05      5713.3204      6.7456     -1
    20     10      988.18      1234.8   Coal      0     -1      2962525.7         229.13  7.7342789e-05      6464.7268       8.671     -1
    20     11      1234.8      1543.1   Coal      0     -1      4466172.5         252.29  5.6489085e-05      8851.2674      10.988     -1
    20     12      1543.1      1928.2   Coal      0     -1        6781624         281.06   4.144435e-05      12064.371      14.391     -1
    20     13      1928.2      2409.6   Coal      0     -1       10395591         281.75  2.7102835e-05      18448.254       15.27     -1
    20     14      2409.6        3011   Coal      0     -1       16037555          329.5  2.0545525e-05      24336.199      17.464     -1
    20     15        3011      3762.6   Coal      0     -1       24753442         388.02  1.5675396e-05      31897.122      24.934     -1
    20     16      3762.6      4701.8   Coal      0     -1       38016613         639.57  1.6823435e-05      29720.447      28.311     -1
    20     17      4701.8      5875.5   Coal      0     -1       57726280        1123.23  1.9457862e-05      25696.553      33.449     -1
    20     18      5875.5      7342.1   Coal      0     -1       87018723        1500.39  1.7242151e-05      28998.701      40.303     -1
    20     19      7342.1      9174.7   Coal      0     -1  1.3079523e+08        1966.87  1.5037781e-05      33249.586          49     -1
    20     20      9174.7       11465   Coal      0     -1  1.9583733e+08        2683.76  1.3704027e-05      36485.626      62.129     -1
    20     21       11465       14327   Coal      0     -1  2.8972847e+08        4052.04  1.3985647e-05      35750.939        71.4     -1
    20     22       14327       17903   Coal      0     -1  4.1877493e+08        6522.97  1.5576315e-05      32100.019      89.016     -1
    20     23       17903       22372   Coal      0     -1  5.7962506e+08       11199.32  1.9321663e-05       25877.69      99.444     -1
    20     24       22372       27956   Coal      0     -1  7.5423117e+08       17111.87  2.2687832e-05      22038.245      115.12     -1
    20     25       27956       34934   Coal      0     -1  9.0514728e+08       24396.62  2.6953205e-05       18550.67      130.41     -1
    20     26       34934       43654   Coal      0     -1  9.9403728e+08        29607.9  2.9785503e-05       16786.69      145.96     -1
    20     27       43654       54551   Coal      0     -1  9.9031175e+08       32850.29  3.3171665e-05      15073.105      145.12     -1
    20     28       54551       68167   Coal      0     -1  8.9942243e+08       30884.49  3.4338136e-05       14561.07      159.05     -1
    20     29       68167       85183   Coal      0     -1  7.6856153e+08       25060.83  3.2607448e-05       15333.92      141.21     -1
    20     30       85183  1.0645e+05   Coal      0     -1  7.4865857e+08       13577.78  1.8136145e-05      27569.255      130.76     -1
    20     31  1.0645e+05  1.3302e+05   Coal      0     -1  7.5790557e+08        14243.8  1.8793634e-05      26604.753      129.34     -1
    20     32  1.3302e+05       1e+99   Coal      0     -1  1.4897571e+09       30143.02  2.0233513e-05      24711.478      86.341     -1
    20     -1           0       1e+99  Delay     -1     -1  9.9999998e+08              0              0              0           1     -1
    20     -1           0       1e+99   LogL     -1     -1              1     -9995692.6     -9995692.6              0           1     -1
    20     -1           0       1e+99 Recomb     -1     -1           3300   9.900001e-06  3.0000003e-09              0           1     -1
    20     -1           0       1e+99 Resamp     -1     -1  9.9999998e+08         585738  0.00058573801              0           1     -1
    19      0           0         133   Coal      0     -1      109055.65      1.0002886  9.1722771e-06       54512.09      1.3931     -1
    19      1         133       166.2   Coal      0     -1       57389.36       1.274387   2.220598e-05      22516.458      1.9889     -1
    19      2       166.2      207.68   Coal      0     -1       90143.43      1.0543607  1.1696479e-05      42747.908      2.6085     -1
    19      3      207.68      259.53   Coal      0     -1      141005.69     0.33585034  2.3818212e-06       209923.4      2.5657     -1
    19      4      259.53      324.31   Coal      0     -1      219263.49      1.1401662  5.1999818e-06      96154.183      3.0911     -1
    19      5      324.31      405.26   Coal      0     -1      345627.24      1.7593621  5.0903455e-06      98225.159       3.516     -1
    19      6      405.26      506.42   Coal      0     -1      541860.88      7.4272939  1.3707013e-05      36477.679      4.5113     -1
    19      7      506.42      632.82   Coal      0     -1      842853.64      9.3876737  1.1137964e-05      44891.507      5.4483     -1
    19      8      632.82      790.79   Coal      0     -1      1291115.6          89.59  6.9389604e-05      7205.6903      6.0047     -1
    19      9      790.79      988.18   Coal      0     -1      1956481.6         161.67  8.2633029e-05      6050.8492      7.3369     -1
    19     10      988.18      1234.8   Coal      0     -1      2948010.8         226.33  7.6773802e-05      6512.6382      9.2105     -1
    19     11      1234.8      1543.1   Coal      0     -1      4458298.9         262.45  5.8867744e-05      8493.6158      10.542     -1
    19     12      1543.1      1928.2   Coal      0     -1      6779162.1          290.4  4.2837152e-05      11672.111      14.306     -1
    19     13      1928.2      2409.6   Coal      0     -1       10381201         279.29  2.6903438e-05      18584.985      14.465     -1
    19     14      2409.6        3011   Coal      0     -1       16035658          327.8  2.0441942e-05      24459.516      18.577     -1
    19     15        3011      3762.6   Coal      0     -1       24781018          387.6  1.5641004e-05      31967.258      21.641     -1
    19     16      3762.6      4701.8   Coal      0     -1       38084213         657.59  1.7266735e-05      28957.415      29.549     -1
    19     17      4701.8      5875.5   Coal      0     -1       57777957        1136.06  1.9662516e-05      25429.096      38.467     -1
    19     18      5875.5      7342.1   Coal      0     -1       86946463         1512.5  1.7395762e-05      28742.632      42.442     -1
    19     19      7342.1      9174.7   Coal      0     -1   1.305801e+08        1965.78  1.5054208e-05      33213.305      56.124     -1
    19     20      9174.7       11465   Coal      0     -1  1.9537342e+08        2680.19  1.3718294e-05       36447.68      57.458     -1
    19     21       11465       14327   Coal      0     -1  2.8931216e+08        4043.98  1.3977912e-05      35770.721      70.115     -1
    19     22       14327       17903   Coal      0     -1  4.1867904e+08        6508.14  1.5544461e-05      32165.798      87.866     -1
    19     23       17903       22372   Coal      0     -1  5.7968601e+08       11189.52  1.9302726e-05      25903.078      98.031     -1
    19     24       22372       27956   Coal      0     -1  7.5425106e+08       17097.03  2.2667559e-05      22057.956      115.91     -1
    19     25       27956       34934   Coal      0     -1  9.0547657e+08       24371.18  2.6915307e-05       18576.79      136.14     -1
    19     26       34934       43654   Coal      0     -1  9.9459059e+08       29595.39  2.9756354e-05      16803.134      148.06     -1
    19     27       43654       54551   Coal      0     -1  9.9083836e+08       32882.16    3.31862e-05      15066.504      148.17     -1
    19     28       54551       68167   Coal      0     -1  8.9912926e+08       30933.41  3.4403741e-05      14533.303      158.46     -1
    19     29       68167       85183   Coal      0     -1  7.6748028e+08       25064.31   3.265792e-05      15310.222      135.48     -1
    19     30       85183  1.0645e+05   Coal      0     -1  7.4764797e+08        13567.3  1.8146642e-05      27553.307      131.29     -1
    19     31  1.0645e+05  1.3302e+05   Coal      0     -1   7.569697e+08       14219.94  1.8785349e-05      26616.487      125.59     -1
    19     32  1.3302e+05       1e+99   Coal      0     -1  1.4885529e+09       30104.04  2.0223694e-05      24723.475       84.96     -1
    19     -1           0       1e+99  Delay     -1     -1  9.9999998e+08              0              0              0           1     -1
    19     -1           0       1e+99   LogL     -1     -1              1     -9995758.2     -9995758.2              0           1     -1
    19     -1           0       1e+99 Recomb     -1     -1           3300   9.900001e-06  3.0000003e-09              0           1     -1
    19     -1           0       1e+99 Resamp     -1     -1  9.9999998e+08         585317  0.00058531701              0           1     -1
    18      0           0         133   Coal      0     -1      114426.55  0.00029040452   2.537912e-09  1.9701234e+08      1.3862     -1
    18      1         133       166.2   Coal      0     -1        58877.2     0.34116692  5.7945507e-06      86287.966       1.897     -1
