time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.60324e-06	27685
1	4.60324e-06	9.98789e-06	27685
2	9.98789e-06	1.62866e-05	15070.1
3	1.62866e-05	2.36545e-05	16157.7
4	2.36545e-05	3.2273e-05	12447.6
5	3.2273e-05	4.23546e-05	8328.1
6	4.23546e-05	5.41476e-05	5315.55
7	5.41476e-05	6.79424e-05	3404.92
8	6.79424e-05	8.40788e-05	2337.88
9	8.40788e-05	0.000102954	1769.5
10	0.000102954	0.000125034	1446.48
11	0.000125034	0.000150862	1287.9
12	0.000150862	0.000181074	1282.46
13	0.000181074	0.000216415	1398.17
14	0.000216415	0.000257754	1605.91
15	0.000257754	0.000306111	1873.32
16	0.000306111	0.000362677	2148.2
17	0.000362677	0.000428844	2380.75
18	0.000428844	0.000506244	2540.16
19	0.000506244	0.000596782	2623.61
20	0.000596782	0.000702689	2653.59
21	0.000702689	0.000826574	2646.29
22	0.000826574	0.000971488	2569.98
23	0.000971488	0.001141	2343.25
24	0.001141	0.00133929	1937.45
25	0.00133929	0.00157124	1476.6
26	0.00157124	0.00184256	1126
27	0.00184256	0.00215993	916.188
28	0.00215993	0.00253119	916.188
29	0.00253119	0.00296546	1795.77
30	0.00296546	0.00347345	1795.77
31	0.00347345	inf	1795.77
