time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.89034e-06	1186.5
1	2.89034e-06	6.42046e-06	1186.5
2	6.42046e-06	1.0732e-05	3.85161
3	1.0732e-05	1.59978e-05	56.9832
4	1.59978e-05	2.24293e-05	474.272
5	2.24293e-05	3.02843e-05	1478.05
6	3.02843e-05	3.9878e-05	2195.35
7	3.9878e-05	5.15954e-05	1944.98
8	5.15954e-05	6.59063e-05	1618.45
9	6.59063e-05	8.33849e-05	1414.53
10	8.33849e-05	0.000104732	1288.37
11	0.000104732	0.000130805	1240.68
12	0.000130805	0.000162649	1263.61
13	0.000162649	0.000201542	1399.92
14	0.000201542	0.000249043	1617.26
15	0.000249043	0.000307059	1954.92
16	0.000307059	0.000377917	2295.81
17	0.000377917	0.000464459	2520.19
18	0.000464459	0.000570156	2640.79
19	0.000570156	0.00069925	2668.89
20	0.00069925	0.000856919	2608.6
21	0.000856919	0.00104949	2513.22
22	0.00104949	0.00128468	2104.67
23	0.00128468	0.00157193	1575.53
24	0.00157193	0.00192277	1208.63
25	0.00192277	0.00235127	1083.63
26	0.00235127	0.00287461	1141.28
27	0.00287461	0.00351379	1194.01
28	0.00351379	0.00429445	1194.01
29	0.00429445	0.00524792	697.642
30	0.00524792	0.00641243	697.642
31	0.00641243	inf	697.642
