time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.62879e-06	4407.49
1	5.62879e-06	1.22131e-05	4407.49
2	1.22131e-05	1.9915e-05	11830
3	1.9915e-05	2.89244e-05	13090
4	2.89244e-05	3.94631e-05	10455.7
5	3.94631e-05	5.17907e-05	6455.13
6	5.17907e-05	6.6211e-05	3544.76
7	6.6211e-05	8.30791e-05	2201.21
8	8.30791e-05	0.000102811	1699.13
9	0.000102811	0.000125891	1533.42
10	0.000125891	0.00015289	1489.68
11	0.00015289	0.000184472	1517.65
12	0.000184472	0.000221415	1635.14
13	0.000221415	0.000264629	1841.38
14	0.000264629	0.000315179	2092.95
15	0.000315179	0.000374309	2327.3
16	0.000374309	0.000443477	2515.94
17	0.000443477	0.000524386	2656.13
18	0.000524386	0.000619029	2741.27
19	0.000619029	0.000729738	2765.13
20	0.000729738	0.00085924	2706.68
21	0.00085924	0.00101072	2519.27
22	0.00101072	0.00118792	2175.98
23	0.00118792	0.0013952	1735.39
24	0.0013952	0.00163767	1350.82
25	0.00163767	0.00192129	1133.61
26	0.00192129	0.00225306	1088.34
27	0.00225306	0.00264114	1251.94
28	0.00264114	0.0030951	1251.94
29	0.0030951	0.00362613	2643.17
30	0.00362613	0.00424729	2643.17
31	0.00424729	inf	2643.17
