time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.65644e-06	6689.96
1	2.65644e-06	5.90089e-06	6689.96
2	5.90089e-06	9.86349e-06	2169.62
3	9.86349e-06	1.47032e-05	1619.15
4	1.47032e-05	2.06142e-05	2000.69
5	2.06142e-05	2.78336e-05	2903.43
6	2.78336e-05	3.66509e-05	3459.87
7	3.66509e-05	4.742e-05	2964.71
8	4.742e-05	6.05729e-05	2203.76
9	6.05729e-05	7.66371e-05	1687.62
10	7.66371e-05	9.6257e-05	1436.72
11	9.6257e-05	0.00012022	1355.39
12	0.00012022	0.000149487	1364.52
13	0.000149487	0.000185232	1461.99
14	0.000185232	0.00022889	1673.53
15	0.00022889	0.000282211	1937.62
16	0.000282211	0.000347334	2240.35
17	0.000347334	0.000426873	2499.19
18	0.000426873	0.000524017	2660.43
19	0.000524017	0.000642664	2730.65
20	0.000642664	0.000787574	2689.54
21	0.000787574	0.000964559	2569.85
22	0.000964559	0.00118072	2263.1
23	0.00118072	0.00144473	1759
24	0.00144473	0.00176717	1323.04
25	0.00176717	0.00216099	1130.03
26	0.00216099	0.00264198	1164
27	0.00264198	0.00322944	1344.97
28	0.00322944	0.00394693	1344.97
29	0.00394693	0.00482323	1378.02
30	0.00482323	0.00589351	1378.02
31	0.00589351	inf	1378.02
