time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.6932e-06	6675.85
1	2.6932e-06	5.98254e-06	6675.85
2	5.98254e-06	9.99997e-06	2384.18
3	9.99997e-06	1.49067e-05	1753.23
4	1.49067e-05	2.08994e-05	2036.45
5	2.08994e-05	2.82187e-05	2694.88
6	2.82187e-05	3.71581e-05	2856.49
7	3.71581e-05	4.80762e-05	2466.1
8	4.80762e-05	6.1411e-05	2041.42
9	6.1411e-05	7.76975e-05	1696.49
10	7.76975e-05	9.7589e-05	1466.93
11	9.7589e-05	0.000121883	1367.52
12	0.000121883	0.000151555	1373.46
13	0.000151555	0.000187795	1456.9
14	0.000187795	0.000232057	1629.78
15	0.000232057	0.000286116	1901.39
16	0.000286116	0.00035214	2240.99
17	0.00035214	0.000432779	2493.64
18	0.000432779	0.000531268	2722
19	0.000531268	0.000651557	2722.76
20	0.000651557	0.000798472	2677.16
21	0.000798472	0.000977906	2539.59
22	0.000977906	0.00119706	2182.78
23	0.00119706	0.00146472	1728.77
24	0.00146472	0.00179163	1316.1
25	0.00179163	0.00219089	1128.23
26	0.00219089	0.00267854	1220.04
27	0.00267854	0.00327413	1401.53
28	0.00327413	0.00400154	1401.53
29	0.00400154	0.00488997	1184.1
30	0.00488997	0.00597506	1184.1
31	0.00597506	inf	1184.1
