time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.80605e-06	6485.78
1	2.80605e-06	6.23322e-06	6485.78
2	6.23322e-06	1.0419e-05	3328.88
3	1.0419e-05	1.55313e-05	2233.76
4	1.55313e-05	2.17752e-05	2032.13
5	2.17752e-05	2.94011e-05	1812.71
6	2.94011e-05	3.87151e-05	1574.61
7	3.87151e-05	5.00907e-05	1404.73
8	5.00907e-05	6.39843e-05	1283.18
9	6.39843e-05	8.09532e-05	1231.67
10	8.09532e-05	0.000101678	1248.51
11	0.000101678	0.000126991	1298.82
12	0.000126991	0.000157906	1377.98
13	0.000157906	0.000195664	1511.99
14	0.000195664	0.000241781	1734.29
15	0.000241781	0.000298105	2011.44
16	0.000298105	0.000366896	2289.71
17	0.000366896	0.000450914	2524.09
18	0.000450914	0.000553529	2719.48
19	0.000553529	0.000678859	2755.49
20	0.000678859	0.00083193	2648.8
21	0.00083193	0.00101888	2477.44
22	0.00101888	0.00124722	2129.97
23	0.00124722	0.00152609	1641.66
24	0.00152609	0.0018667	1252.09
25	0.0018667	0.0022827	1111.69
26	0.0022827	0.00279078	1197.16
27	0.00279078	0.00341132	1469.39
28	0.00341132	0.00416922	1469.39
29	0.00416922	0.00509488	878.892
30	0.00509488	0.00622543	878.892
31	0.00622543	inf	878.892
