time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.58531e-06	6582.67
1	2.58531e-06	5.74287e-06	6582.67
2	5.74287e-06	9.59935e-06	1970.22
3	9.59935e-06	1.43095e-05	1587.42
4	1.43095e-05	2.00622e-05	2329.38
5	2.00622e-05	2.70882e-05	3747.29
6	2.70882e-05	3.56695e-05	4311.06
7	3.56695e-05	4.61502e-05	3701.04
8	4.61502e-05	5.89508e-05	2627.68
9	5.89508e-05	7.45848e-05	1912.01
10	7.45848e-05	9.36794e-05	1534.23
11	9.36794e-05	0.000117001	1364.25
12	0.000117001	0.000145484	1398.6
13	0.000145484	0.000180272	1408.99
14	0.000180272	0.00022276	1578.29
15	0.00022276	0.000274653	1911.56
16	0.000274653	0.000338033	2214.56
17	0.000338033	0.000415441	2468.53
18	0.000415441	0.000509984	2638.68
19	0.000509984	0.000625454	2718.61
20	0.000625454	0.000766483	2717.31
21	0.000766483	0.000938729	2618.14
22	0.000938729	0.0011491	2333.24
23	0.0011491	0.00140604	1829.34
24	0.00140604	0.00171985	1380.33
25	0.00171985	0.00210312	1144.1
26	0.00210312	0.00257123	1172.17
27	0.00257123	0.00314296	1343.21
28	0.00314296	0.00384123	1343.21
29	0.00384123	0.00469407	1145.5
30	0.00469407	0.00573569	1145.5
31	0.00573569	inf	1145.5
