time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.2915e-06	4686.03
1	2.2915e-06	5.09023e-06	4686.03
2	5.09023e-06	8.50844e-06	1878.51
3	8.50844e-06	1.26833e-05	3408.28
4	1.26833e-05	1.77822e-05	5763.58
5	1.77822e-05	2.40098e-05	7262.84
6	2.40098e-05	3.16158e-05	7392.78
7	3.16158e-05	4.09055e-05	6337.79
8	4.09055e-05	5.22514e-05	4477
9	5.22514e-05	6.61087e-05	2909.92
10	6.61087e-05	8.30333e-05	2070.28
11	8.30333e-05	0.000103704	1677.77
12	0.000103704	0.00012895	1498.97
13	0.00012895	0.000159785	1430.01
14	0.000159785	0.000197445	1528.16
15	0.000197445	0.000243441	1736.02
16	0.000243441	0.000299617	2033.22
17	0.000299617	0.000368229	2327.12
18	0.000368229	0.000452028	2541.29
19	0.000452028	0.000554375	2653.02
20	0.000554375	0.000679377	2676.49
21	0.000679377	0.000832048	2617.21
22	0.000832048	0.00101851	2488.16
23	0.00101851	0.00124625	2125.07
24	0.00124625	0.0015244	1636.74
25	0.0015244	0.00186411	1261.6
26	0.00186411	0.00227903	1138.09
27	0.00227903	0.00278578	1343.29
28	0.00278578	0.0034047	1343.29
29	0.0034047	0.00416062	1163.28
30	0.00416062	0.00508386	1163.28
31	0.00508386	inf	1163.28
