time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.57e-06	6385.54
1	2.57e-06	5.70887e-06	6385.54
2	5.70887e-06	9.54253e-06	1707.39
3	9.54253e-06	1.42248e-05	1604.87
4	1.42248e-05	1.99434e-05	2390.06
5	1.99434e-05	2.69279e-05	3671
6	2.69279e-05	3.54583e-05	4515.55
7	3.54583e-05	4.5877e-05	3972.71
8	4.5877e-05	5.86018e-05	2812.34
9	5.86018e-05	7.41433e-05	1940.67
10	7.41433e-05	9.31248e-05	1559.78
11	9.31248e-05	0.000116308	1420.17
12	0.000116308	0.000144623	1391.98
13	0.000144623	0.000179205	1444.48
14	0.000179205	0.000221442	1604.31
15	0.000221442	0.000273027	1879.18
16	0.000273027	0.000336032	2210.42
17	0.000336032	0.000412982	2437.87
18	0.000412982	0.000506965	2616.23
19	0.000506965	0.000621752	2762.21
20	0.000621752	0.000761946	2665.48
21	0.000761946	0.000933172	2550.08
22	0.000933172	0.0011423	2313.31
23	0.0011423	0.00139772	1853.73
24	0.00139772	0.00170967	1406.07
25	0.00170967	0.00209067	1143.11
26	0.00209067	0.00255601	1149.89
27	0.00255601	0.00312435	1410.83
28	0.00312435	0.00381849	1410.83
29	0.00381849	0.00466628	1873.24
30	0.00466628	0.00570173	1873.24
31	0.00570173	inf	1873.24
