time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.06525e-06	5195.21
1	8.06525e-06	1.74996e-05	5195.21
2	1.74996e-05	2.85354e-05	1319.8
3	2.85354e-05	4.14445e-05	1864.46
4	4.14445e-05	5.6545e-05	1963.02
5	5.6545e-05	7.42088e-05	1688.91
6	7.42088e-05	9.48709e-05	1377.3
7	9.48709e-05	0.000119041	1247.81
8	0.000119041	0.000147313	1272.22
9	0.000147313	0.000180385	1411.13
10	0.000180385	0.00021907	1634.26
11	0.00021907	0.000264322	1906.42
12	0.000264322	0.000317256	2189.73
13	0.000317256	0.000379176	2442.89
14	0.000379176	0.000451606	2638.23
15	0.000451606	0.000536332	2756.47
16	0.000536332	0.000635439	2782.27
17	0.000635439	0.00075137	2726.5
18	0.00075137	0.00088698	2611.74
19	0.00088698	0.00104561	2414.05
20	0.00104561	0.00123117	2090.16
21	0.00123117	0.00144822	1691.66
22	0.00144822	0.00170213	1350.69
23	0.00170213	0.00199913	1160.19
24	0.00199913	0.00234654	1126.25
25	0.00234654	0.00275293	1196.98
26	0.00275293	0.00322831	1296.9
27	0.00322831	0.00378438	1349.87
28	0.00378438	0.00443484	1349.87
29	0.00443484	0.00519572	927.763
30	0.00519572	0.00608576	927.763
31	0.00608576	inf	927.763
