time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.58427e-06	6285.53
1	2.58427e-06	5.74057e-06	6285.53
2	5.74057e-06	9.59552e-06	1938.03
3	9.59552e-06	1.43037e-05	1692.73
4	1.43037e-05	2.00541e-05	2468.12
5	2.00541e-05	2.70774e-05	3875.13
6	2.70774e-05	3.56552e-05	4606.8
7	3.56552e-05	4.61317e-05	3859.61
8	4.61317e-05	5.89272e-05	2692.63
9	5.89272e-05	7.4555e-05	1936.29
10	7.4555e-05	9.36419e-05	1557.62
11	9.36419e-05	0.000116954	1406.67
12	0.000116954	0.000145426	1341.37
13	0.000145426	0.0001802	1384.5
14	0.0001802	0.000222671	1590.08
15	0.000222671	0.000274543	1798.26
16	0.000274543	0.000337898	2163.74
17	0.000337898	0.000415275	2488.5
18	0.000415275	0.00050978	2622.62
19	0.00050978	0.000625204	2691.42
20	0.000625204	0.000766177	2688.5
21	0.000766177	0.000938354	2575.94
22	0.000938354	0.00114864	2322.33
23	0.00114864	0.00140548	1867.94
24	0.00140548	0.00171916	1381.67
25	0.00171916	0.00210228	1122.55
26	0.00210228	0.0025702	1120.72
27	0.0025702	0.0031417	1329.44
28	0.0031417	0.0038397	1329.44
29	0.0038397	0.0046922	1569.61
30	0.0046922	0.00573339	1569.61
31	0.00573339	inf	1569.61
