time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.47216e-06	5687.92
1	2.47216e-06	5.49152e-06	5687.92
2	5.49152e-06	9.17922e-06	1969.39
3	9.17922e-06	1.36832e-05	2346
4	1.36832e-05	1.91841e-05	3590.45
5	1.91841e-05	2.59026e-05	5014.5
6	2.59026e-05	3.41083e-05	5476.13
7	3.41083e-05	4.41303e-05	4689.31
8	4.41303e-05	5.63707e-05	3374.03
9	5.63707e-05	7.13205e-05	2327.69
10	7.13205e-05	8.95793e-05	1756.44
11	8.95793e-05	0.00011188	1473.57
12	0.00011188	0.000139116	1359.97
13	0.000139116	0.000172382	1384.05
14	0.000172382	0.000213011	1545.79
15	0.000213011	0.000262633	1815.63
16	0.000262633	0.000323238	2122.28
17	0.000323238	0.000397259	2392.14
18	0.000397259	0.000487664	2588.06
19	0.000487664	0.00059808	2697.87
20	0.00059808	0.000732937	2707.53
21	0.000732937	0.000897644	2610.41
22	0.000897644	0.00109881	2364.38
23	0.00109881	0.0013445	1947.15
24	0.0013445	0.00164458	1491.67
25	0.00164458	0.00201108	1199.83
26	0.00201108	0.0024587	1145.43
27	0.0024587	0.0030054	1375.04
28	0.0030054	0.00367311	1375.04
29	0.00367311	0.00448863	867.405
30	0.00448863	0.00548465	867.405
31	0.00548465	inf	867.405
