time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.77149e-06	6819.18
1	2.77149e-06	6.15646e-06	6819.18
2	6.15646e-06	1.02907e-05	2978.52
3	1.02907e-05	1.534e-05	1860.21
4	1.534e-05	2.1507e-05	1802.16
5	2.1507e-05	2.9039e-05	2101.7
6	2.9039e-05	3.82383e-05	2266.45
7	3.82383e-05	4.94738e-05	1956.42
8	4.94738e-05	6.31963e-05	1589.62
9	6.31963e-05	7.99562e-05	1420.45
10	7.99562e-05	0.000100426	1367.82
11	0.000100426	0.000125427	1318.39
12	0.000125427	0.000155961	1343.01
13	0.000155961	0.000193255	1458.25
14	0.000193255	0.000238803	1685.83
15	0.000238803	0.000294433	1999.73
16	0.000294433	0.000362377	2246.59
17	0.000362377	0.000445361	2523.42
18	0.000445361	0.000546712	2625.2
19	0.000546712	0.000670498	2702.03
20	0.000670498	0.000821684	2629.66
21	0.000821684	0.00100633	2505.31
22	0.00100633	0.00123186	2195.53
23	0.00123186	0.0015073	1662.63
24	0.0015073	0.00184371	1235.25
25	0.00184371	0.00225458	1077.36
26	0.00225458	0.00275641	1203.98
27	0.00275641	0.00336931	1727.09
28	0.00336931	0.00411787	1727.09
29	0.00411787	0.00503213	454.472
30	0.00503213	0.00614876	454.472
31	0.00614876	inf	454.472
