time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.23707e-06	4915.55
1	2.23707e-06	4.96931e-06	4915.55
2	4.96931e-06	8.30634e-06	1381.82
3	8.30634e-06	1.2382e-05	2610.77
4	1.2382e-05	1.73598e-05	5522.07
5	1.73598e-05	2.34395e-05	8104.49
6	2.34395e-05	3.08649e-05	9063.59
7	3.08649e-05	3.99338e-05	7802.95
8	3.99338e-05	5.10102e-05	5254.22
9	5.10102e-05	6.45384e-05	3247.75
10	6.45384e-05	8.1061e-05	2098.03
11	8.1061e-05	0.000101241	1650.64
12	0.000101241	0.000125887	1462.48
13	0.000125887	0.00015599	1377.14
14	0.00015599	0.000192755	1441.84
15	0.000192755	0.000237658	1653.26
16	0.000237658	0.0002925	1969.13
17	0.0002925	0.000359482	2282.91
18	0.000359482	0.00044129	2456.69
19	0.00044129	0.000541207	2590.6
20	0.000541207	0.000663239	2742.08
21	0.000663239	0.000812284	2668.62
22	0.000812284	0.000994319	2525.25
23	0.000994319	0.00121665	2120.67
24	0.00121665	0.00148819	1694.9
25	0.00148819	0.00181984	1286.19
26	0.00181984	0.00222489	1126.73
27	0.00222489	0.00271961	1246.96
28	0.00271961	0.00332383	1246.96
29	0.00332383	0.00406179	1372.66
30	0.00406179	0.0049631	1372.66
31	0.0049631	inf	1372.66
