time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.5658e-06	6331.53
1	2.5658e-06	5.69953e-06	6331.53
2	5.69953e-06	9.52691e-06	1968.54
3	9.52691e-06	1.42015e-05	1734.22
4	1.42015e-05	1.99108e-05	2384.13
5	1.99108e-05	2.68838e-05	3642.64
6	2.68838e-05	3.54003e-05	4400.13
7	3.54003e-05	4.58019e-05	3890.66
8	4.58019e-05	5.85059e-05	2816.73
9	5.85059e-05	7.4022e-05	2010.48
10	7.4022e-05	9.29724e-05	1585.68
11	9.29724e-05	0.000116118	1394.7
12	0.000116118	0.000144386	1373.8
13	0.000144386	0.000178911	1450.57
14	0.000178911	0.000221079	1604.39
15	0.000221079	0.000272581	1873.69
16	0.000272581	0.000335482	2187.3
17	0.000335482	0.000412306	2437.03
18	0.000412306	0.000506136	2676.87
19	0.000506136	0.000620734	2749.11
20	0.000620734	0.000760699	2684.23
21	0.000760699	0.000931645	2604.23
22	0.000931645	0.00114043	2329.9
23	0.00114043	0.00139543	1834.36
24	0.00139543	0.00170687	1398.46
25	0.00170687	0.00208725	1168.53
26	0.00208725	0.00255183	1170.23
27	0.00255183	0.00311924	1401.31
28	0.00311924	0.00381225	1401.31
29	0.00381225	0.00465865	1024.45
30	0.00465865	0.0056924	1024.45
31	0.0056924	inf	1024.45
