time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.80846e-06	6294.2
1	2.80846e-06	6.23856e-06	6294.2
2	6.23856e-06	1.04279e-05	3381.25
3	1.04279e-05	1.55446e-05	2257.93
4	1.55446e-05	2.17938e-05	1970.05
5	2.17938e-05	2.94263e-05	1840.28
6	2.94263e-05	3.87483e-05	1577.82
7	3.87483e-05	5.01336e-05	1379.76
8	5.01336e-05	6.40391e-05	1268.89
9	6.40391e-05	8.10226e-05	1250.5
10	8.10226e-05	0.000101765	1265.85
11	0.000101765	0.000127099	1287.29
12	0.000127099	0.000158041	1355.27
13	0.000158041	0.000195832	1490.42
14	0.000195832	0.000241988	1708.26
15	0.000241988	0.00029836	2032.37
16	0.00029836	0.00036721	2310.13
17	0.00036721	0.0004513	2533.33
18	0.0004513	0.000554004	2682.31
19	0.000554004	0.00067944	2717.66
20	0.00067944	0.000832642	2668.61
21	0.000832642	0.00101976	2491.07
22	0.00101976	0.00124829	2131
23	0.00124829	0.0015274	1638.27
24	0.0015274	0.0018683	1242.84
25	0.0018683	0.00228465	1113
26	0.00228465	0.00279317	1216.69
27	0.00279317	0.00341424	2521.68
28	0.00341424	0.00417279	2521.68
29	0.00417279	0.00509924	33.6151
30	0.00509924	0.00623076	33.6151
31	0.00623076	inf	33.6151
