time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.06153e-06	4374.54
1	2.06153e-06	4.57937e-06	4374.54
2	4.57937e-06	7.65454e-06	2418.74
3	7.65454e-06	1.14104e-05	4484.28
4	1.14104e-05	1.59976e-05	7545.63
5	1.59976e-05	2.16002e-05	10382.6
6	2.16002e-05	2.84429e-05	11350
7	2.84429e-05	3.68002e-05	9368.75
8	3.68002e-05	4.70075e-05	6447.77
9	4.70075e-05	5.94741e-05	4028.98
10	5.94741e-05	7.47001e-05	2609.8
11	7.47001e-05	9.32965e-05	1922.45
12	9.32965e-05	0.000116009	1577.23
13	0.000116009	0.000143749	1454.97
14	0.000143749	0.000177629	1499.06
15	0.000177629	0.000219009	1583.03
16	0.000219009	0.000269548	1838.12
17	0.000269548	0.000331274	2158
18	0.000331274	0.000406662	2427.18
19	0.000406662	0.000498738	2605.15
20	0.000498738	0.000611195	2674.61
21	0.000611195	0.000748544	2668.06
22	0.000748544	0.000916295	2599.44
23	0.000916295	0.00112118	2330.44
24	0.00112118	0.00137141	1896.58
25	0.00137141	0.00167703	1406.5
26	0.00167703	0.00205031	1147.99
27	0.00205031	0.0025062	1173.06
28	0.0025062	0.00306301	1173.06
29	0.00306301	0.00374306	1780.89
30	0.00374306	0.00457365	1780.89
31	0.00457365	inf	1780.89
