time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.42388e-06	5763.44
1	7.42388e-06	1.6108e-05	5763.44
2	1.6108e-05	2.62662e-05	3779.69
3	2.62662e-05	3.81487e-05	4863.76
4	3.81487e-05	5.20483e-05	3612.05
5	5.20483e-05	6.83074e-05	2336.64
6	6.83074e-05	8.73264e-05	1701.89
7	8.73264e-05	0.000109574	1423.54
8	0.000109574	0.000135598	1355.35
9	0.000135598	0.00016604	1422.53
10	0.00016604	0.000201649	1570.06
11	0.000201649	0.000243303	1788.04
12	0.000243303	0.000292027	2054.49
13	0.000292027	0.000349022	2314.16
14	0.000349022	0.000415693	2519.4
15	0.000415693	0.000493681	2653.69
16	0.000493681	0.000584907	2712.9
17	0.000584907	0.000691618	2704.91
18	0.000691618	0.000816444	2654.83
19	0.000816444	0.00096246	2546.4
20	0.00096246	0.00113326	2308.58
21	0.00113326	0.00133306	1933.75
22	0.00133306	0.00156677	1535.48
23	0.00156677	0.00184015	1242.31
24	0.00184015	0.00215994	1107.1
25	0.00215994	0.00253401	1118.42
26	0.00253401	0.00297158	1256.5
27	0.00297158	0.00348343	1522.69
28	0.00348343	0.00408217	1522.69
29	0.00408217	0.00478254	1057.62
30	0.00478254	0.0056018	1057.62
31	0.0056018	inf	1057.62
