time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.43535e-06	3544.47
1	5.43535e-06	1.17933e-05	3544.47
2	1.17933e-05	1.92306e-05	16171.3
3	1.92306e-05	2.79304e-05	16693.7
4	2.79304e-05	3.81069e-05	11336.6
5	3.81069e-05	5.00109e-05	6977.27
6	5.00109e-05	6.39355e-05	4218.19
7	6.39355e-05	8.02239e-05	2676.72
8	8.02239e-05	9.92773e-05	1893.52
9	9.92773e-05	0.000121565	1527.94
10	0.000121565	0.000147636	1393.21
11	0.000147636	0.000178133	1403.4
12	0.000178133	0.000213806	1534.54
13	0.000213806	0.000255535	1770.36
14	0.000255535	0.000304347	2050.3
15	0.000304347	0.000361445	2302.28
16	0.000361445	0.000428236	2501.24
17	0.000428236	0.000506364	2649.22
18	0.000506364	0.000597755	2734.07
19	0.000597755	0.000704659	2746.37
20	0.000704659	0.00082971	2688.26
21	0.00082971	0.000975989	2540.32
22	0.000975989	0.0011471	2264.93
23	0.0011471	0.00134725	1880.35
24	0.00134725	0.00158139	1493.47
25	0.00158139	0.00185526	1225.09
26	0.00185526	0.00217563	1133.48
27	0.00217563	0.00255037	1263.1
28	0.00255037	0.00298874	1263.1
29	0.00298874	0.00350151	1755.1
30	0.00350151	0.00410132	1755.1
31	0.00410132	inf	1755.1
