time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.81814e-06	6262.48
1	2.81814e-06	6.26008e-06	6262.48
2	6.26008e-06	1.04639e-05	3469.9
3	1.04639e-05	1.55982e-05	2388.56
4	1.55982e-05	2.1869e-05	1970.55
5	2.1869e-05	2.95278e-05	1719.74
6	2.95278e-05	3.88819e-05	1479.83
7	3.88819e-05	5.03065e-05	1371.89
8	5.03065e-05	6.426e-05	1274.65
9	6.426e-05	8.1302e-05	1263.9
10	8.1302e-05	0.000102116	1283.53
11	0.000102116	0.000127538	1292.46
12	0.000127538	0.000158586	1345.65
13	0.000158586	0.000196507	1490.69
14	0.000196507	0.000242822	1725.99
15	0.000242822	0.000299389	2016.91
16	0.000299389	0.000368477	2301.84
17	0.000368477	0.000452857	2503.56
18	0.000452857	0.000555914	2682.13
19	0.000555914	0.000681784	2733.68
20	0.000681784	0.000835514	2679.45
21	0.000835514	0.00102327	2496.74
22	0.00102327	0.00125259	2105.22
23	0.00125259	0.00153267	1617.62
24	0.00153267	0.00187474	1257.49
25	0.00187474	0.00229253	1110.09
26	0.00229253	0.0028028	1207.85
27	0.0028028	0.00342602	1992.05
28	0.00342602	0.00418718	1992.05
29	0.00418718	0.00511683	162.17
30	0.00511683	0.00625225	162.17
31	0.00625225	inf	162.17
