time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.43479e-06	3561.25
1	5.43479e-06	1.17921e-05	3561.25
2	1.17921e-05	1.92286e-05	15786.7
3	1.92286e-05	2.79275e-05	16818.6
4	2.79275e-05	3.81029e-05	11393
5	3.81029e-05	5.00057e-05	6895.95
6	5.00057e-05	6.3929e-05	4156.94
7	6.3929e-05	8.02157e-05	2646.86
8	8.02157e-05	9.92671e-05	1883.31
9	9.92671e-05	0.000121552	1527.32
10	0.000121552	0.000147621	1394.75
11	0.000147621	0.000178114	1404.17
12	0.000178114	0.000213784	1534.59
13	0.000213784	0.000255508	1769.16
14	0.000255508	0.000304316	2046.7
15	0.000304316	0.000361408	2294.74
16	0.000361408	0.000428192	2486.49
17	0.000428192	0.000506312	2621.04
18	0.000506312	0.000597693	2690.64
19	0.000597693	0.000704586	2699.1
20	0.000704586	0.000829625	2651.43
21	0.000829625	0.000975888	2518.85
22	0.000975888	0.00114698	2256.61
23	0.00114698	0.00134711	1877.84
24	0.00134711	0.00158122	1493.83
25	0.00158122	0.00185507	1229.71
26	0.00185507	0.0021754	1135.42
27	0.0021754	0.00255011	1218.73
28	0.00255011	0.00298843	1218.73
29	0.00298843	0.00350115	1903.72
30	0.00350115	0.0041009	1903.72
31	0.0041009	inf	1903.72
