time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.57393e-06	6301.57
1	2.57393e-06	5.71759e-06	6301.57
2	5.71759e-06	9.5571e-06	1789.21
3	9.5571e-06	1.42465e-05	1749.07
4	1.42465e-05	1.99739e-05	2581.98
5	1.99739e-05	2.6969e-05	3872.49
6	2.6969e-05	3.55125e-05	4466.58
7	3.55125e-05	4.5947e-05	3779
8	4.5947e-05	5.86913e-05	2846.68
9	5.86913e-05	7.42565e-05	2008.75
10	7.42565e-05	9.3267e-05	1566
11	9.3267e-05	0.000116486	1422.84
12	0.000116486	0.000144843	1324.18
13	0.000144843	0.000179478	1370.49
14	0.000179478	0.00022178	1603.09
15	0.00022178	0.000273444	1884.44
16	0.000273444	0.000336545	2169.05
17	0.000336545	0.000413613	2375.48
18	0.000413613	0.000507739	2607.11
19	0.000507739	0.000622701	2733.26
20	0.000622701	0.000763109	2723.45
21	0.000763109	0.000934597	2614.97
22	0.000934597	0.00114404	2284.23
23	0.00114404	0.00139985	1867.87
24	0.00139985	0.00171228	1353.4
25	0.00171228	0.00209386	1084.63
26	0.00209386	0.00255991	1157.21
27	0.00255991	0.00312912	1366.27
28	0.00312912	0.00382433	1366.27
29	0.00382433	0.00467341	1902.18
30	0.00467341	0.00571044	1902.18
31	0.00571044	inf	1902.18
