time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.69262e-06	6697.53
1	2.69262e-06	5.98125e-06	6697.53
2	5.98125e-06	9.99781e-06	2234.59
3	9.99781e-06	1.49034e-05	1727.25
4	1.49034e-05	2.08949e-05	2142.13
5	2.08949e-05	2.82126e-05	2943.09
6	2.82126e-05	3.71501e-05	3214.95
7	3.71501e-05	4.80658e-05	2729.43
8	4.80658e-05	6.13978e-05	2065.14
9	6.13978e-05	7.76807e-05	1606.93
10	7.76807e-05	9.75679e-05	1404.42
11	9.75679e-05	0.000121857	1346.8
12	0.000121857	0.000151523	1356.53
13	0.000151523	0.000187755	1436.7
14	0.000187755	0.000232007	1625.47
15	0.000232007	0.000286054	1908.22
16	0.000286054	0.000352064	2221.69
17	0.000352064	0.000432686	2493.82
18	0.000432686	0.000531153	2665.69
19	0.000531153	0.000651416	2713.37
20	0.000651416	0.000798299	2672.83
21	0.000798299	0.000977694	2561.11
22	0.000977694	0.0011968	2254.88
23	0.0011968	0.0014644	1744.82
24	0.0014644	0.00179124	1303.56
25	0.00179124	0.00219042	1110.98
26	0.00219042	0.00267796	1160.85
27	0.00267796	0.00327342	1356.96
28	0.00327342	0.00400068	1356.96
29	0.00400068	0.00488892	1326.24
30	0.00488892	0.00597377	1326.24
31	0.00597377	inf	1326.24
