time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.63187e-06	6562.06
1	2.63187e-06	5.8463e-06	6562.06
2	5.8463e-06	9.77225e-06	1997.72
3	9.77225e-06	1.45672e-05	1638.16
4	1.45672e-05	2.04235e-05	2362.31
5	2.04235e-05	2.75761e-05	3587.52
6	2.75761e-05	3.63119e-05	4025.71
7	3.63119e-05	4.69814e-05	3420.22
8	4.69814e-05	6.00126e-05	2417.36
9	6.00126e-05	7.59281e-05	1789.32
10	7.59281e-05	9.53666e-05	1464.77
11	9.53666e-05	0.000119108	1343.18
12	0.000119108	0.000148104	1319.41
13	0.000148104	0.000183519	1418.28
14	0.000183519	0.000226772	1608.83
15	0.000226772	0.0002796	1891.78
16	0.0002796	0.000344121	2165.02
17	0.000344121	0.000422924	2468.49
18	0.000422924	0.00051917	2661.02
19	0.00051917	0.000636719	2695.89
20	0.000636719	0.000780288	2692.52
21	0.000780288	0.000955636	2586.36
22	0.000955636	0.0011698	2273.46
23	0.0011698	0.00143136	1816.31
24	0.00143136	0.00175083	1323.74
25	0.00175083	0.002141	1098.93
26	0.002141	0.00261754	1151.47
27	0.00261754	0.00319956	1424.36
28	0.00319956	0.00391042	1424.36
29	0.00391042	0.00477862	995.702
30	0.00477862	0.00583899	995.702
31	0.00583899	inf	995.702
