time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.79141e-06	4719.62
1	7.79141e-06	1.69054e-05	4719.62
2	1.69054e-05	2.75665e-05	3575.67
3	2.75665e-05	4.00373e-05	4054.17
4	4.00373e-05	5.46251e-05	2592.57
5	5.46251e-05	7.16891e-05	1671.68
6	7.16891e-05	9.16497e-05	1347.83
7	9.16497e-05	0.000114999	1290.4
8	0.000114999	0.000142311	1318.39
9	0.000142311	0.00017426	1412.56
10	0.00017426	0.000211632	1601.2
11	0.000211632	0.000255348	1869.4
12	0.000255348	0.000306484	2165.65
13	0.000306484	0.000366301	2419.15
14	0.000366301	0.000436272	2584.45
15	0.000436272	0.000518121	2668.5
16	0.000518121	0.000613863	2702.44
17	0.000613863	0.000725858	2700.37
18	0.000725858	0.000856864	2646.66
19	0.000856864	0.00101011	2504.29
20	0.00101011	0.00118936	2223.68
21	0.00118936	0.00139905	1816.72
22	0.00139905	0.00164433	1419.44
23	0.00164433	0.00193125	1163.23
24	0.00193125	0.00226687	1081.59
25	0.00226687	0.00265946	1154.67
26	0.00265946	0.00311869	1365.42
27	0.00311869	0.00365588	1873.74
28	0.00365588	0.00428426	1873.74
29	0.00428426	0.00501931	316.709
30	0.00501931	0.00587912	316.709
31	0.00587912	inf	316.709
