time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.23703e-06	5108.83
1	2.23703e-06	4.96922e-06	5108.83
2	4.96922e-06	8.30618e-06	1441.29
3	8.30618e-06	1.23818e-05	2689.49
4	1.23818e-05	1.73595e-05	5082.38
5	1.73595e-05	2.3439e-05	7870.95
6	2.3439e-05	3.08643e-05	9159.16
7	3.08643e-05	3.99331e-05	7833.97
8	3.99331e-05	5.10092e-05	5133.67
9	5.10092e-05	6.45371e-05	3197.24
10	6.45371e-05	8.10594e-05	2073.67
11	8.10594e-05	0.000101239	1571.33
12	0.000101239	0.000125885	1431.6
13	0.000125885	0.000155987	1404.32
14	0.000155987	0.000192751	1452.57
15	0.000192751	0.000237653	1643.24
16	0.000237653	0.000292495	1963.96
17	0.000292495	0.000359475	2329.34
18	0.000359475	0.000441282	2504.2
19	0.000441282	0.000541196	2599.01
20	0.000541196	0.000663227	2647.63
21	0.000663227	0.000812268	2634.04
22	0.000812268	0.0009943	2518.74
23	0.0009943	0.00121662	2154.95
24	0.00121662	0.00148816	1645.76
25	0.00148816	0.0018198	1310.7
26	0.0018198	0.00222485	1137.43
27	0.00222485	0.00271955	1262.62
28	0.00271955	0.00332376	1262.62
29	0.00332376	0.00406171	1357.58
30	0.00406171	0.004963	1357.58
31	0.004963	inf	1357.58
