time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.38287e-06	5313.28
1	2.38287e-06	5.29318e-06	5313.28
2	5.29318e-06	8.84768e-06	1549.24
3	8.84768e-06	1.3189e-05	2233.3
4	1.3189e-05	1.84912e-05	4221.92
5	1.84912e-05	2.49671e-05	6254.16
6	2.49671e-05	3.28764e-05	6781.71
7	3.28764e-05	4.25364e-05	5750.74
8	4.25364e-05	5.43347e-05	4056.2
9	5.43347e-05	6.87445e-05	2697.77
10	6.87445e-05	8.63439e-05	1906.06
11	8.63439e-05	0.000107839	1516.56
12	0.000107839	0.000134092	1362.71
13	0.000134092	0.000166156	1371.62
14	0.000166156	0.000205317	1512.95
15	0.000205317	0.000253147	1736.83
16	0.000253147	0.000311563	2032.49
17	0.000311563	0.00038291	2293.59
18	0.00038291	0.00047005	2535.31
19	0.00047005	0.000576478	2656.43
20	0.000576478	0.000706464	2692.19
21	0.000706464	0.000865222	2633.65
22	0.000865222	0.00105912	2452.63
23	0.00105912	0.00129594	2083.77
24	0.00129594	0.00158518	1596.98
25	0.00158518	0.00193844	1244.01
26	0.00193844	0.00236989	1115.42
27	0.00236989	0.00289685	1245.32
28	0.00289685	0.00354045	1245.32
29	0.00354045	0.00432651	1178.43
30	0.00432651	0.00528656	1178.43
31	0.00528656	inf	1178.43
