time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.73721e-06	6354.13
1	6.73721e-06	1.46181e-05	6354.13
2	1.46181e-05	2.38367e-05	4180.44
3	2.38367e-05	3.46201e-05	6232.5
4	3.46201e-05	4.72341e-05	4838.48
5	4.72341e-05	6.19893e-05	2951.22
6	6.19893e-05	7.92492e-05	1973.45
7	7.92492e-05	9.9439e-05	1596.07
8	9.9439e-05	0.000123056	1408.73
9	0.000123056	0.000150682	1357.99
10	0.000150682	0.000182997	1458.03
11	0.000182997	0.000220798	1661.99
12	0.000220798	0.000265016	1915.1
13	0.000265016	0.00031674	2181.42
14	0.00031674	0.000377243	2424.3
15	0.000377243	0.000448018	2599.98
16	0.000448018	0.000530806	2689.02
17	0.000530806	0.000627647	2708.14
18	0.000627647	0.000740928	2681.94
19	0.000740928	0.000873437	2608.95
20	0.000873437	0.00102844	2457.55
21	0.00102844	0.00120976	2183.65
22	0.00120976	0.00142185	1797.38
23	0.00142185	0.00166994	1417.32
24	0.00166994	0.00196015	1171.4
25	0.00196015	0.00229963	1086.11
26	0.00229963	0.00269673	1109.97
27	0.00269673	0.00316123	1205.86
28	0.00316123	0.00370459	1205.86
29	0.00370459	0.00434018	1892.51
30	0.00434018	0.00508366	1892.51
31	0.00508366	inf	1892.51
