time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.61159e-06	6396.98
1	2.61159e-06	5.80125e-06	6396.98
2	5.80125e-06	9.69694e-06	2036.26
3	9.69694e-06	1.44549e-05	1830.08
4	1.44549e-05	2.02661e-05	2426.35
5	2.02661e-05	2.73636e-05	3431.81
6	2.73636e-05	3.60321e-05	4177.66
7	3.60321e-05	4.66193e-05	3725.01
8	4.66193e-05	5.95501e-05	2659.51
9	5.95501e-05	7.5343e-05	1860.71
10	7.5343e-05	9.46317e-05	1507.64
11	9.46317e-05	0.00011819	1350.84
12	0.00011819	0.000146963	1304.75
13	0.000146963	0.000182104	1406.67
14	0.000182104	0.000225025	1589.94
15	0.000225025	0.000277445	1867.39
16	0.000277445	0.000341469	2166.54
17	0.000341469	0.000419665	2447.98
18	0.000419665	0.000515169	2618.66
19	0.000515169	0.000631812	2700.3
20	0.000631812	0.000774275	2737.57
21	0.000774275	0.000948272	2566.99
22	0.000948272	0.00116078	2265.29
23	0.00116078	0.00142033	1823.28
24	0.00142033	0.00173733	1352.93
25	0.00173733	0.0021245	1106.2
26	0.0021245	0.00259737	1116.63
27	0.00259737	0.00317491	1470.45
28	0.00317491	0.00388028	1470.45
29	0.00388028	0.00474179	1320.53
30	0.00474179	0.00579399	1320.53
31	0.00579399	inf	1320.53
