time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.55564e-06	6151.04
1	2.55564e-06	5.67697e-06	6151.04
2	5.67697e-06	9.4892e-06	1923.66
3	9.4892e-06	1.41453e-05	1905.01
4	1.41453e-05	1.98319e-05	2673.68
5	1.98319e-05	2.67774e-05	3990.64
6	2.67774e-05	3.52602e-05	4600.36
7	3.52602e-05	4.56206e-05	3859.44
8	4.56206e-05	5.82743e-05	2772.44
9	5.82743e-05	7.37289e-05	1978.99
10	7.37289e-05	9.26044e-05	1549.2
11	9.26044e-05	0.000115658	1376.46
12	0.000115658	0.000143814	1351.9
13	0.000143814	0.000178203	1433.45
14	0.000178203	0.000220204	1615.09
15	0.000220204	0.000271502	1885.96
16	0.000271502	0.000334154	2194.6
17	0.000334154	0.000410674	2458.98
18	0.000410674	0.000504132	2639.1
19	0.000504132	0.000618277	2717.76
20	0.000618277	0.000757688	2697.42
21	0.000757688	0.000927957	2577.57
22	0.000927957	0.00113591	2326.52
23	0.00113591	0.0013899	1873.98
24	0.0013899	0.00170011	1424.22
25	0.00170011	0.00207899	1181.64
26	0.00207899	0.00254173	1156.07
27	0.00254173	0.00310689	1330.86
28	0.00310689	0.00379715	1330.86
29	0.00379715	0.00464021	1471.98
30	0.00464021	0.00566987	1471.98
31	0.00566987	inf	1471.98
