time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.25369e-06	5989.64
1	6.25369e-06	1.35689e-05	5989.64
2	1.35689e-05	2.2126e-05	8325.84
3	2.2126e-05	3.21355e-05	9347.84
4	3.21355e-05	4.38442e-05	6734.35
5	4.38442e-05	5.75405e-05	4243.08
6	5.75405e-05	7.35616e-05	2592.01
7	7.35616e-05	9.23024e-05	1855.53
8	9.23024e-05	0.000114224	1542.61
9	0.000114224	0.000139868	1419.53
10	0.000139868	0.000169864	1436.3
11	0.000169864	0.000204952	1569
12	0.000204952	0.000245996	1788.08
13	0.000245996	0.000294008	2051.57
14	0.000294008	0.000350169	2304.32
15	0.000350169	0.000415864	2498
16	0.000415864	0.000492711	2618.46
17	0.000492711	0.000582602	2678.22
18	0.000582602	0.000687753	2699.8
19	0.000687753	0.000810752	2676.47
20	0.000810752	0.000954631	2557.46
21	0.000954631	0.00112293	2303.18
22	0.00112293	0.0013198	1938.49
23	0.0013198	0.0015501	1564.18
24	0.0015501	0.00181948	1287.21
25	0.00181948	0.00213459	1152.92
26	0.00213459	0.00250319	1149.56
27	0.00250319	0.00293436	1286.09
28	0.00293436	0.00343872	1286.09
29	0.00343872	0.00402869	1528.91
30	0.00402869	0.00471882	1528.91
31	0.00471882	inf	1528.91
