time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.62897e-06	4398.3
1	5.62897e-06	1.22135e-05	4398.3
2	1.22135e-05	1.99157e-05	11749
3	1.99157e-05	2.89253e-05	13159.1
4	2.89253e-05	3.94644e-05	10581.2
5	3.94644e-05	5.17924e-05	6483.87
6	5.17924e-05	6.62132e-05	3554.02
7	6.62132e-05	8.30818e-05	2206.81
8	8.30818e-05	0.000102814	1700.76
9	0.000102814	0.000125896	1532.74
10	0.000125896	0.000152895	1487.51
11	0.000152895	0.000184478	1516.88
12	0.000184478	0.000221422	1637.22
13	0.000221422	0.000264638	1845.15
14	0.000264638	0.000315189	2097
15	0.000315189	0.000374321	2333.34
16	0.000374321	0.000443491	2526.44
17	0.000443491	0.000524403	2667.11
18	0.000524403	0.000619049	2743.78
19	0.000619049	0.000729762	2756.66
20	0.000729762	0.000859268	2700.27
21	0.000859268	0.00101076	2529.78
22	0.00101076	0.00118796	2199.09
23	0.00118796	0.00139525	1758.03
24	0.00139525	0.00163772	1365.93
25	0.00163772	0.00192135	1144.62
26	0.00192135	0.00225313	1103.14
27	0.00225313	0.00264123	1265.48
28	0.00264123	0.0030952	1265.48
29	0.0030952	0.00362624	2468.78
30	0.00362624	0.00424743	2468.78
31	0.00424743	inf	2468.78
