time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.65754e-06	6515.16
1	2.65754e-06	5.90331e-06	6515.16
2	5.90331e-06	9.86754e-06	2069.15
3	9.86754e-06	1.47092e-05	1657.44
4	1.47092e-05	2.06227e-05	2172.58
5	2.06227e-05	2.7845e-05	3075.75
6	2.7845e-05	3.6666e-05	3366.38
7	3.6666e-05	4.74395e-05	2911.04
8	4.74395e-05	6.05978e-05	2194.1
9	6.05978e-05	7.66686e-05	1693.96
10	7.66686e-05	9.62966e-05	1536.17
11	9.62966e-05	0.000120269	1387.1
12	0.000120269	0.000149548	1364.74
13	0.000149548	0.000185308	1464.84
14	0.000185308	0.000228984	1642.31
15	0.000228984	0.000282327	1892.31
16	0.000282327	0.000347477	2195.73
17	0.000347477	0.000427048	2532.47
18	0.000427048	0.000524232	2712.34
19	0.000524232	0.000642928	2698.16
20	0.000642928	0.000787897	2667.42
21	0.000787897	0.000964955	2559.03
22	0.000964955	0.0011812	2249.85
23	0.0011812	0.00144532	1744.11
24	0.00144532	0.0017679	1308.68
25	0.0017679	0.00216188	1115.13
26	0.00216188	0.00264307	1195.3
27	0.00264307	0.00323077	1369.45
28	0.00323077	0.00394855	1369.45
29	0.00394855	0.00482522	1173.26
30	0.00482522	0.00589593	1173.26
31	0.00589593	inf	1173.26
