time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.55036e-06	6132.37
1	2.55036e-06	5.66525e-06	6132.37
2	5.66525e-06	9.46961e-06	1852.17
3	9.46961e-06	1.41161e-05	1948.86
4	1.41161e-05	1.9791e-05	2939.09
5	1.9791e-05	2.67221e-05	4045.16
6	2.67221e-05	3.51874e-05	4383.75
7	3.51874e-05	4.55264e-05	3889.18
8	4.55264e-05	5.8154e-05	2888.19
9	5.8154e-05	7.35768e-05	2050.96
10	7.35768e-05	9.24133e-05	1605.66
11	9.24133e-05	0.000115419	1410.78
12	0.000115419	0.000143518	1350.01
13	0.000143518	0.000177835	1410.28
14	0.000177835	0.000219749	1597.29
15	0.000219749	0.000270941	1885.44
16	0.000270941	0.000333464	2202.82
17	0.000333464	0.000409826	2464.43
18	0.000409826	0.000503092	2634.65
19	0.000503092	0.000617001	2709.69
20	0.000617001	0.000756124	2690.87
21	0.000756124	0.000926042	2586.49
22	0.000926042	0.00113357	2336.11
23	0.00113357	0.00138704	1890.43
24	0.00138704	0.00169661	1432.16
25	0.00169661	0.0020747	1181.95
26	0.0020747	0.00253648	1172.95
27	0.00253648	0.00310048	1421.36
28	0.00310048	0.00378932	1421.36
29	0.00378932	0.00463063	764.303
30	0.00463063	0.00565817	764.303
31	0.00565817	inf	764.303
