time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.54345e-06	6177.07
1	2.54345e-06	5.6499e-06	6177.07
2	5.6499e-06	9.44395e-06	1802.98
3	9.44395e-06	1.40778e-05	1713.5
4	1.40778e-05	1.97374e-05	2565.57
5	1.97374e-05	2.66497e-05	3999.76
6	2.66497e-05	3.5092e-05	4782.82
7	3.5092e-05	4.54031e-05	4072.2
8	4.54031e-05	5.79964e-05	2824.39
9	5.79964e-05	7.33773e-05	1987.67
10	7.33773e-05	9.21628e-05	1614.35
11	9.21628e-05	0.000115106	1469.77
12	0.000115106	0.000143129	1394.1
13	0.000143129	0.000177353	1426.79
14	0.000177353	0.000219154	1591
15	0.000219154	0.000270207	1854.56
16	0.000270207	0.00033256	2158.52
17	0.00033256	0.000408716	2437.97
18	0.000408716	0.000501728	2638.64
19	0.000501728	0.000615329	2740.35
20	0.000615329	0.000754075	2718.59
21	0.000754075	0.000923532	2590.2
22	0.000923532	0.0011305	2326.04
23	0.0011305	0.00138328	1843.59
24	0.00138328	0.00169201	1413.6
25	0.00169201	0.00206907	1173.43
26	0.00206907	0.00252961	1170.98
27	0.00252961	0.00309208	1369.83
28	0.00309208	0.00377905	1369.83
29	0.00377905	0.00461808	1276.87
30	0.00461808	0.00564283	1276.87
31	0.00564283	inf	1276.87
