time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.56128e-06	6255.23
1	2.56128e-06	5.68949e-06	6255.23
2	5.68949e-06	9.51014e-06	1887.92
3	9.51014e-06	1.41765e-05	1867.83
4	1.41765e-05	1.98757e-05	2635.68
5	1.98757e-05	2.68365e-05	3934.49
6	2.68365e-05	3.5338e-05	4562.87
7	3.5338e-05	4.57213e-05	3916.17
8	4.57213e-05	5.84029e-05	2804.05
9	5.84029e-05	7.38916e-05	1966.22
10	7.38916e-05	9.28087e-05	1571.71
11	9.28087e-05	0.000115913	1405.95
12	0.000115913	0.000144132	1353.56
13	0.000144132	0.000178596	1423.05
14	0.000178596	0.00022069	1614.55
15	0.00022069	0.000272101	1899.78
16	0.000272101	0.000334891	2190.95
17	0.000334891	0.00041158	2439.6
18	0.00041158	0.000505245	2627.67
19	0.000505245	0.000619641	2711.98
20	0.000619641	0.00075936	2696.84
21	0.00075936	0.000930004	2603.91
22	0.000930004	0.00113842	2329.89
23	0.00113842	0.00139297	1852.69
24	0.00139297	0.00170387	1406.03
25	0.00170387	0.00208358	1156.8
26	0.00208358	0.00254733	1146.97
27	0.00254733	0.00311375	1362.9
28	0.00311375	0.00380553	1362.9
29	0.00380553	0.00465045	1117.15
30	0.00465045	0.00568238	1117.15
31	0.00568238	inf	1117.15
