time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.41891e-06	5447.71
1	2.41891e-06	5.37325e-06	5447.71
2	5.37325e-06	8.98153e-06	1927.94
3	8.98153e-06	1.33885e-05	2387.47
4	1.33885e-05	1.87709e-05	3841.37
5	1.87709e-05	2.53448e-05	5318.86
6	2.53448e-05	3.33737e-05	5917.54
7	3.33737e-05	4.31799e-05	5169.28
8	4.31799e-05	5.51566e-05	3689.79
9	5.51566e-05	6.97844e-05	2529.02
10	6.97844e-05	8.76501e-05	1848.25
11	8.76501e-05	0.00010947	1547.07
12	0.00010947	0.00013612	1429.6
13	0.00013612	0.000168669	1427.01
14	0.000168669	0.000208423	1583.33
15	0.000208423	0.000256976	1820.96
16	0.000256976	0.000316277	2110.03
17	0.000316277	0.000388703	2385.38
18	0.000388703	0.000477161	2594.74
19	0.000477161	0.000585199	2709.7
20	0.000585199	0.000717151	2718.11
21	0.000717151	0.000878311	2622.4
22	0.000878311	0.00107514	2385.73
23	0.00107514	0.00131554	1979.39
24	0.00131554	0.00160916	1515.11
25	0.00160916	0.00196776	1176.3
26	0.00196776	0.00240574	1133.07
27	0.00240574	0.00294067	1867.75
28	0.00294067	0.00359401	1867.75
29	0.00359401	0.00439196	316.007
30	0.00439196	0.00536653	316.007
31	0.00536653	inf	316.007
