time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.48521e-06	4811.73
1	7.48521e-06	1.6241e-05	4811.73
2	1.6241e-05	2.64832e-05	3281.69
3	2.64832e-05	3.84639e-05	4760.67
4	3.84639e-05	5.24784e-05	3414.79
5	5.24784e-05	6.88718e-05	2268.13
6	6.88718e-05	8.8048e-05	1691.31
7	8.8048e-05	0.000110479	1480.26
8	0.000110479	0.000136718	1415.82
9	0.000136718	0.000167412	1435.44
10	0.000167412	0.000203315	1553.62
11	0.000203315	0.000245313	1761.92
12	0.000245313	0.00029444	2036.96
13	0.00029444	0.000351906	2327.41
14	0.000351906	0.000419127	2574.02
15	0.000419127	0.000497759	2732.01
16	0.000497759	0.000589739	2780.05
17	0.000589739	0.000697333	2741.82
18	0.000697333	0.00082319	2663.87
19	0.00082319	0.000970412	2537.67
20	0.000970412	0.00114262	2293.46
21	0.00114262	0.00134407	1915.55
22	0.00134407	0.00157971	1505.47
23	0.00157971	0.00185535	1195.7
24	0.00185535	0.00217778	1043.85
25	0.00217778	0.00255495	1041.34
26	0.00255495	0.00299613	1210.47
27	0.00299613	0.00351221	3626.5
28	0.00351221	0.0041159	3626.5
29	0.0041159	0.00482205	7.80133
30	0.00482205	0.00564808	7.80133
31	0.00564808	inf	7.80133
