time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.74355e-06	6907.65
1	2.74355e-06	6.09437e-06	6907.65
2	6.09437e-06	1.01869e-05	3054.91
3	1.01869e-05	1.51853e-05	1850.75
4	1.51853e-05	2.12901e-05	1714.47
5	2.12901e-05	2.87462e-05	2067.87
6	2.87462e-05	3.78527e-05	2327.07
7	3.78527e-05	4.89749e-05	2112.47
8	4.89749e-05	6.2559e-05	1741.64
9	6.2559e-05	7.91499e-05	1502.2
10	7.91499e-05	9.94132e-05	1389.26
11	9.94132e-05	0.000124162	1341.78
12	0.000124162	0.000154388	1362.82
13	0.000154388	0.000191306	1468.38
14	0.000191306	0.000236395	1676.73
15	0.000236395	0.000291464	1971.76
16	0.000291464	0.000358723	2286.26
17	0.000358723	0.000440869	2538.22
18	0.000440869	0.000541199	2677.31
19	0.000541199	0.000663736	2711.67
20	0.000663736	0.000813397	2667.83
21	0.000813397	0.000996186	2515.01
22	0.000996186	0.00121943	2177.53
23	0.00121943	0.0014921	1701.43
24	0.0014921	0.00182512	1299.17
25	0.00182512	0.00223185	1132.78
26	0.00223185	0.00272861	1211.09
27	0.00272861	0.00333533	1501
28	0.00333533	0.00407634	1501
29	0.00407634	0.00498138	771.269
30	0.00498138	0.00608675	771.269
31	0.00608675	inf	771.269
