time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.43478e-06	3631.27
1	5.43478e-06	1.17921e-05	3631.27
2	1.17921e-05	1.92286e-05	15819.5
3	1.92286e-05	2.79275e-05	16873
4	2.79275e-05	3.81029e-05	11366.2
5	3.81029e-05	5.00057e-05	6936.11
6	5.00057e-05	6.39289e-05	4199.53
7	6.39289e-05	8.02156e-05	2681.62
8	8.02156e-05	9.9267e-05	1899.59
9	9.9267e-05	0.000121552	1530.05
10	0.000121552	0.000147621	1392.57
11	0.000147621	0.000178114	1401.65
12	0.000178114	0.000213784	1532.87
13	0.000213784	0.000255508	1769.82
14	0.000255508	0.000304316	2052.09
15	0.000304316	0.000361408	2305.91
16	0.000361408	0.000428192	2504.58
17	0.000428192	0.000506312	2650.26
18	0.000506312	0.000597693	2733.73
19	0.000597693	0.000704586	2748.85
20	0.000704586	0.000829624	2696.21
21	0.000829624	0.000975888	2552.95
22	0.000975888	0.00114698	2279.06
23	0.00114698	0.00134711	1891.41
24	0.00134711	0.00158122	1500.2
25	0.00158122	0.00185507	1228.95
26	0.00185507	0.0021754	1131.16
27	0.0021754	0.00255011	1216.89
28	0.00255011	0.00298843	1216.89
29	0.00298843	0.00350115	1656.94
30	0.00350115	0.0041009	1656.94
31	0.0041009	inf	1656.94
