time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.54841e-06	6259.21
1	2.54841e-06	5.66091e-06	6259.21
2	5.66091e-06	9.46235e-06	1806.89
3	9.46235e-06	1.41052e-05	1668.15
4	1.41052e-05	1.97758e-05	2463.75
5	1.97758e-05	2.67016e-05	3924.1
6	2.67016e-05	3.51604e-05	4907.75
7	3.51604e-05	4.54915e-05	4160.34
8	4.54915e-05	5.81095e-05	2960.04
9	5.81095e-05	7.35204e-05	2127.52
10	7.35204e-05	9.23424e-05	1678.36
11	9.23424e-05	0.000115331	1421.61
12	0.000115331	0.000143408	1327.1
13	0.000143408	0.000177699	1374.86
14	0.000177699	0.000219581	1550.99
15	0.000219581	0.000270734	1852.99
16	0.000270734	0.000333209	2167.66
17	0.000333209	0.000409512	2432.78
18	0.000409512	0.000502706	2606.92
19	0.000502706	0.000616528	2695.82
20	0.000616528	0.000755544	2709.48
21	0.000755544	0.000925332	2619.46
22	0.000925332	0.0011327	2332.92
23	0.0011327	0.00138597	1851.44
24	0.00138597	0.0016953	1390.9
25	0.0016953	0.00207311	1151.67
26	0.00207311	0.00253454	1163.59
27	0.00253454	0.0030981	1590.6
28	0.0030981	0.00378641	1590.6
29	0.00378641	0.00462708	767.101
30	0.00462708	0.00565383	767.101
31	0.00565383	inf	767.101
