time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.62192e-06	6452.63
1	2.62192e-06	5.8242e-06	6452.63
2	5.8242e-06	9.7353e-06	1986.27
3	9.7353e-06	1.45121e-05	1714.15
4	1.45121e-05	2.03463e-05	2448.65
5	2.03463e-05	2.74718e-05	3588.93
6	2.74718e-05	3.61746e-05	4099.96
7	3.61746e-05	4.68038e-05	3429.04
8	4.68038e-05	5.97857e-05	2381.72
9	5.97857e-05	7.56411e-05	1745.76
10	7.56411e-05	9.50061e-05	1449.19
11	9.50061e-05	0.000118658	1342.97
12	0.000118658	0.000147544	1349.78
13	0.000147544	0.000182825	1438.43
14	0.000182825	0.000225915	1615.1
15	0.000225915	0.000278543	1881.68
16	0.000278543	0.00034282	2185.73
17	0.00034282	0.000421325	2452.8
18	0.000421325	0.000517207	2631.19
19	0.000517207	0.000634312	2708.96
20	0.000634312	0.000777338	2701.75
21	0.000777338	0.000952024	2594.65
22	0.000952024	0.00116538	2308.57
23	0.00116538	0.00142595	1833.83
24	0.00142595	0.00174421	1373.24
25	0.00174421	0.00213291	1135.63
26	0.00213291	0.00260765	1137.7
27	0.00260765	0.00318747	1344.81
28	0.00318747	0.00389563	1344.81
29	0.00389563	0.00476055	1469.14
30	0.00476055	0.00581692	1469.14
31	0.00581692	inf	1469.14
